Gene	KEGG_pathwayID	Annotation
V1033557	map05010	Alzheimer's disease
V1338863	map04930	Type II diabetes mellitus
V1204502	map00240	Pyrimidine metabolism
V1033079	map00680	Methane metabolism
V1034259	map04626	Plant-pathogen interaction
V1872766	map00240	Pyrimidine metabolism
V1033549	map03018	RNA degradation
V1032617	map02010	ABC transporters
V1033097	map00250	Alanine, aspartate and glutamate metabolism
V1033096	map03020	RNA polymerase
V1033500	map00710	Carbon fixation in photosynthetic organisms
V1032631	map02030	Bacterial chemotaxis
V1765286	map00710	Carbon fixation in photosynthetic organisms
V1032618	map02020	Two-component system
V1033558	map00710	Carbon fixation in photosynthetic organisms
V1032513	map03010	Ribosome
V1885172	map00195	Photosynthesis
V1032825	map03070	Bacterial secretion system
V1033629	map05152	Tuberculosis
V1032814	map03010	Ribosome
V1033444	map04141	Protein processing in endoplasmic reticulum
V1032826	map00230	Purine metabolism
V1032815	map03010	Ribosome
V1046995	map00195	Photosynthesis
V1032616	map02010	ABC transporters
V1033003	map02060	Phosphotransferase system (PTS)
V1872734	map03010	Ribosome
V1032619	map02020	Two-component system
V1033091	map03010	Ribosome
V1032309	map05152	Tuberculosis
V1806605	map00500	Starch and sucrose metabolism
V1032615	map02010	ABC transporters
V1828832	map02020	Two-component system
V1032614	map05152	Tuberculosis
V1046993	map00195	Photosynthesis
V1032629	map00500	Starch and sucrose metabolism
V1150427	map00710	Carbon fixation in photosynthetic organisms
V1033428	map02060	Phosphotransferase system (PTS)
V1884596	map03440	Homologous recombination
V1806611	map00620	Pyruvate metabolism
V1882237	map00710	Carbon fixation in photosynthetic organisms
V1046991	map00195	Photosynthesis
V1552772	map04930	Type II diabetes mellitus
V1032341	map00195	Photosynthesis
V1033464	map04724	Glutamatergic synapse
V1033332	map00740	Riboflavin metabolism
V1032342	map00195	Photosynthesis
V1034296	map00620	Pyruvate metabolism
V1884566	map00710	Carbon fixation in photosynthetic organisms
V1032750	map03010	Ribosome
V1884638	map04930	Type II diabetes mellitus
V1047060	map02010	ABC transporters
V1033129	map02060	Phosphotransferase system (PTS)
V1032407	map00520	Amino sugar and nucleotide sugar metabolism
V1884576	map00195	Photosynthesis
V1032818	map03010	Ribosome
V1883121	map00195	Photosynthesis
V1032829	map03010	Ribosome
V1032630	map02010	ABC transporters
V1033331	map00740	Riboflavin metabolism
V1033098	map00250	Alanine, aspartate and glutamate metabolism
V1884555	map00970	Aminoacyl-tRNA biosynthesis
V1891370	map00620	Pyruvate metabolism
V1033559	map00710	Carbon fixation in photosynthetic organisms
V1806575	map00740	Riboflavin metabolism
V1032374	map05150	Staphylococcus aureus infection
V1755587	map03010	Ribosome
V1883097	map00520	Amino sugar and nucleotide sugar metabolism
V1032984	map03010	Ribosome
V1424927	map03010	Ribosome
V1032807	map03010	Ribosome
V1033392	map00730	Thiamine metabolism
V1552800	map03010	Ribosome
V1338860	map00970	Aminoacyl-tRNA biosynthesis
V1033869	map04626	Plant-pathogen interaction
V1882317	map04626	Plant-pathogen interaction
V1032349	map00240	Pyrimidine metabolism
V1032808	map03010	Ribosome
V1684175	map05150	Staphylococcus aureus infection
V1032526	map00061	Fatty acid biosynthesis
V1032372	map05150	Staphylococcus aureus infection
V1032620	map00240	Pyrimidine metabolism
V1033346	map00970	Aminoacyl-tRNA biosynthesis
V1046994	map00195	Photosynthesis
V1034179	map05010	Alzheimer's disease
V1034213	map00680	Methane metabolism
V1032601	map02060	Phosphotransferase system (PTS)
V1033902	map05010	Alzheimer's disease
V1032819	map03010	Ribosome
V1034346	map00730	Thiamine metabolism
V1033413	map00250	Alanine, aspartate and glutamate metabolism
V1032820	map03010	Ribosome
V1033474	map04626	Plant-pathogen interaction
V1806647	map03030	DNA replication
V1032632	map02010	ABC transporters
V1887313	map03010	Ribosome
V1032301	map00970	Aminoacyl-tRNA biosynthesis
V1796904	map00480	Glutathione metabolism
V1033782	map04930	Type II diabetes mellitus
V1033426	map02060	Phosphotransferase system (PTS)
V1032715	map00970	Aminoacyl-tRNA biosynthesis
V1032670	map00520	Amino sugar and nucleotide sugar metabolism
V1808000	map00970	Aminoacyl-tRNA biosynthesis
V1163789	map00230	Purine metabolism
V1206514	map00230	Purine metabolism
V1684155	map03020	RNA polymerase
V1684154	map03020	RNA polymerase
V1891261	map03020	RNA polymerase
V1032473	map00550	Peptidoglycan biosynthesis
V1033302	map03070	Bacterial secretion system
V1033050	map02020	Two-component system
V1032397	map03440	Homologous recombination
V1203697	map00720	Carbon fixation pathways in prokaryotes
V1032822	map03010	Ribosome
V1033126	map02010	ABC transporters
V1032681	map00640	Propanoate metabolism
V1884563	map00710	Carbon fixation in photosynthetic organisms
V1032299	map03430	Mismatch repair
V1882253	map05152	Tuberculosis
