Gene	KEGG_pathwayID	Annotation
V1013092	map00650	Butanoate metabolism
V1042479	map05010	Alzheimer's disease
V1042097	map04626	Plant-pathogen interaction
V1008495	map00650	Butanoate metabolism
V1013090	map00710	Carbon fixation in photosynthetic organisms
V1067188	map03010	Ribosome
V1594291	map04626	Plant-pathogen interaction
V1151091	map04621	NOD-like receptor signaling pathway
V1011312	map00720	Carbon fixation pathways in prokaryotes
V1083372	map05152	Tuberculosis
V1070014	map04626	Plant-pathogen interaction
V1369387	map04626	Plant-pathogen interaction
V1230453	map00710	Carbon fixation in photosynthetic organisms
V1067673	map04626	Plant-pathogen interaction
V1584957	map04626	Plant-pathogen interaction
V1357096	map02030	Bacterial chemotaxis
V1467629	map04626	Plant-pathogen interaction
V1436641	map00650	Butanoate metabolism
V1368199	map04626	Plant-pathogen interaction
V1015220	map03010	Ribosome
V1007060	map05010	Alzheimer's disease
V1042478	map03018	RNA degradation
V1168235	map04626	Plant-pathogen interaction
V1052940	map03010	Ribosome
V1042531	map03010	Ribosome
V1040877	map00710	Carbon fixation in photosynthetic organisms
V1074835	map05010	Alzheimer's disease
V1039342	map03010	Ribosome
V1013431	map00650	Butanoate metabolism
V1145959	map00650	Butanoate metabolism
V1232403	map04626	Plant-pathogen interaction
V1393635	map04626	Plant-pathogen interaction
V1010067	map00195	Photosynthesis
V1010069	map00195	Photosynthesis
V1039005	map00511	Other glycan degradation
V1066646	map02030	Bacterial chemotaxis
V1513559	map00650	Butanoate metabolism
V1238174	map03010	Ribosome
V1014358	map04930	Type II diabetes mellitus
V1069595	map03010	Ribosome
V1011783	map00650	Butanoate metabolism
V1007076	map02030	Bacterial chemotaxis
V1012671	map00680	Methane metabolism
V1042555	map00720	Carbon fixation pathways in prokaryotes
V1012818	map00650	Butanoate metabolism
V1012333	map03018	RNA degradation
V1015867	map03010	Ribosome
V1594514	map00195	Photosynthesis
V1067311	map00710	Carbon fixation in photosynthetic organisms
V1040402	map00195	Photosynthesis
V1067810	map00910	Nitrogen metabolism
V1042989	map03010	Ribosome
V1041703	map03020	RNA polymerase
V1506464	map04626	Plant-pathogen interaction
V1067936	map00650	Butanoate metabolism
V1041590	map03010	Ribosome
V1014867	map02060	Phosphotransferase system (PTS)
V1585250	map03010	Ribosome
V1237635	map04626	Plant-pathogen interaction
V1040177	map04910	Insulin signaling pathway
V1595708	map03440	Homologous recombination
V1069350	map05010	Alzheimer's disease
V1039792	map03010	Ribosome
V1184334	map04626	Plant-pathogen interaction
V1430967	map03010	Ribosome
V1037687	map05152	Tuberculosis
V1018031	map03010	Ribosome
V1013432	map00362	Benzoate degradation
V1067144	map05152	Tuberculosis
V1153346	map03010	Ribosome
V1200593	map02010	ABC transporters
V1066779	map03010	Ribosome
V1394807	map04626	Plant-pathogen interaction
V1012423	map03010	Ribosome
V1010065	map00195	Photosynthesis
V1042495	map03010	Ribosome
V1011423	map00860	Porphyrin and chlorophyll metabolism
V1041069	map03010	Ribosome
V1640376	map03010	Ribosome
V1007059	map00710	Carbon fixation in photosynthetic organisms
V1039702	map03070	Bacterial secretion system
V1042496	map03010	Ribosome
V1014079	map03010	Ribosome
V1548048	map03020	RNA polymerase
V1384350	map03010	Ribosome
V1015279	map03010	Ribosome
V1330982	map02030	Bacterial chemotaxis
V1070983	map03010	Ribosome
V1067672	map03010	Ribosome
V1561626	map03018	RNA degradation
V1016739	map03010	Ribosome
V1007084	map03010	Ribosome
V1230718	map03010	Ribosome
