Gene	KEGG_module_number	Annotation
V1238174	M00179	Ribosome, archaea
V1015867	M00179	Ribosome, archaea
V1015868	M00179	Ribosome, archaea
V1884213	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1384350	M00179	Ribosome, archaea
V1367057	M00183	RNA polymerase, bacteria
V1012925	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1039764	M00178	Ribosome, bacteria
V1010209	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1012602	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1012852	M00183	RNA polymerase, bacteria
V1013990	M00178	Ribosome, bacteria
V1018464	M00179	Ribosome, archaea
V1266145	M00368	Ethylene biosynthesis, methionine => ethylene
V1016890	M00178	Ribosome, bacteria
V1553674	M00179	Ribosome, archaea
V1576738	M00376	3-Hydroxypropionate bi-cycle
V1884198	M00375	Hydroxypropionate-hydroxybutylate cycle
V1820405	M00335	Sec (secretion) system
V1011016	M00164	ATP synthase
V1373952	M00183	RNA polymerase, bacteria
V1012850	M00179	Ribosome, archaea
V1011014	M00164	ATP synthase
V1201514	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1014932	M00239	Peptides/nickel transport system
V1013406	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1010860	M00179	Ribosome, archaea
V1017590	M00033	Ectoine biosynthesis, aspartate => ectoine
V1011015	M00164	ATP synthase
V1200366	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1553673	M00179	Ribosome, archaea
V1016290	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1020418	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1009869	M00178	Ribosome, bacteria
V1553605	M00120	Coenzyme A biosynthesis, pantothenate => CoA
V1200824	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1820497	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1482495	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
V1011950	M00335	Sec (secretion) system
V1009870	M00179	Ribosome, archaea
V1374340	M00335	Sec (secretion) system
V1037878	M00375	Hydroxypropionate-hydroxybutylate cycle
V1373836	M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
V1373951	M00179	Ribosome, archaea
V1011011	M00164	ATP synthase
V1038297	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
V1010898	M00035	Methionine degradation
V1011012	M00164	ATP synthase
V1564708	M00242	Zinc transport system
V1268242	M00335	Sec (secretion) system
V1009865	M00179	Ribosome, archaea
V1012846	M00179	Ribosome, archaea
V1009868	M00179	Ribosome, archaea
V1553606	M00179	Ribosome, archaea
V1014820	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1373773	M00029	Urea cycle
V1012853	M00178	Ribosome, bacteria
V1373915	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1820421	M00144	NADH:quinone oxidoreductase, prokaryotes
V1200397	M00179	Ribosome, archaea
V1014819	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1011765	M00376	3-Hydroxypropionate bi-cycle
V1576098	M00089	Triacylglycerol biosynthesis
V1553602	M00083	Fatty acid biosynthesis, elongation
V1015734	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1009864	M00178	Ribosome, bacteria
V1011013	M00164	ATP synthase
V1014250	M00374	Dicarboxylate-hydroxybutyrate cycle
V1042447	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1013988	M00178	Ribosome, bacteria
V1015123	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1102142	M00121	Heme biosynthesis, glutamate => protoheme/siroheme
V1037601	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
V1363297	M00346	Formaldehyde assimilation, serine pathway
V1820375	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1040139	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1463838	M00183	RNA polymerase, bacteria
V1013149	M00260	DNA polymerase III complex, bacteria
V1400067	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1373888	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1265185	M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
V1553675	M00179	Ribosome, archaea
V1230296	M00029	Urea cycle
V1553698	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1009867	M00179	Ribosome, archaea
V1010710	M00335	Sec (secretion) system
V1820401	M00335	Sec (secretion) system
V1200370	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1440378	M00179	Ribosome, archaea
V1458783	M00034	Methionine salvage pathway
V1013500	M00227	Glutamine transport system
V1010163	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1018324	M00178	Ribosome, bacteria
V1240173	M00179	Ribosome, archaea
V1013208	M00017	Methionine biosynthesis, apartate => homoserine => methionine
V1012550	M00179	Ribosome, archaea
V1011409	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1560889	M00179	Ribosome, archaea
V1036638	M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
V1015869	M00178	Ribosome, bacteria
V1010705	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1012847	M00179	Ribosome, archaea
V1040864	M00178	Ribosome, bacteria
V1010325	M00246	Nickel transport system
V1009708	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
V1011411	M00020	Serine biosynthesis, glycerate-3P => serine
V1820407	M00179	Ribosome, archaea
V1012374	M00346	Formaldehyde assimilation, serine pathway
V1010825	M00178	Ribosome, bacteria
V1553600	M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
V1015864	M00178	Ribosome, bacteria
V1375515	M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P
V1036200	M00179	Ribosome, archaea
V1009863	M00179	Ribosome, archaea
V1013878	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
V1012700	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
V1458724	M00179	Ribosome, archaea
V1038364	M00083	Fatty acid biosynthesis, elongation
V1200413	M00164	ATP synthase
V1036811	M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
V1015052	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1103173	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
V1013324	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
V1010863	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1482531	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
V1463662	M00376	3-Hydroxypropionate bi-cycle
V1037221	M00064	ADP-L-glycero-D-manno-heptose biosynthesis
V1459827	M00178	Ribosome, bacteria
V1559952	M00183	RNA polymerase, bacteria
V1010711	M00335	Sec (secretion) system
V1014275	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1017232	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
V1013315	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
V1459087	M00034	Methionine salvage pathway
V1482499	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1013880	M00260	DNA polymerase III complex, bacteria
V1011998	M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
V1482460	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1102385	M00120	Coenzyme A biosynthesis, pantothenate => CoA
V1482587	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1368737	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
V1102143	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1009866	M00179	Ribosome, archaea
