Gene	KEGG_module_number	Annotation
V1073455	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1000004	M00183	RNA polymerase, bacteria
V1000546	M00197	Putative fructooligosaccharide transport system
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1013684	M00207	Putative multiple sugar transport system
V1392272	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1368901	M00197	Putative fructooligosaccharide transport system
V1010661	M00164	ATP synthase
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1576144	M00335	Sec (secretion) system
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1075033	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1010659	M00164	ATP synthase
V1000018	M00179	Ribosome, archaea
V1430275	M00164	ATP synthase
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000943	M00179	Ribosome, archaea
V1043485	M00179	Ribosome, archaea
V1394389	M00197	Putative fructooligosaccharide transport system
V1431607	M00178	Ribosome, bacteria
V1313717	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1464170	M00164	ATP synthase
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1000545	M00197	Putative fructooligosaccharide transport system
V1036256	M00197	Putative fructooligosaccharide transport system
V1164548	M00183	RNA polymerase, bacteria
V1884207	M00197	Putative fructooligosaccharide transport system
V1000017	M00178	Ribosome, bacteria
V1073967	M00179	Ribosome, archaea
V1010660	M00164	ATP synthase
V1000842	M00164	ATP synthase
V1000886	M00207	Putative multiple sugar transport system
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000171	M00239	Peptides/nickel transport system
V1072266	M00346	Formaldehyde assimilation, serine pathway
V1145548	M00178	Ribosome, bacteria
V1000841	M00164	ATP synthase
V1482595	M00178	Ribosome, bacteria
V1574099	M00276	PTS system, mannose-specific II component
V1362785	M00197	Putative fructooligosaccharide transport system
V1000021	M00179	Ribosome, archaea
V1001368	M00276	PTS system, mannose-specific II component
V1036606	M00164	ATP synthase
V1015279	M00179	Ribosome, archaea
V1144210	M00179	Ribosome, archaea
V1580898	M00179	Ribosome, archaea
V1152427	M00374	Dicarboxylate-hydroxybutyrate cycle
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1081813	M00164	ATP synthase
V1640334	M00183	RNA polymerase, bacteria
V1158426	M00276	PTS system, mannose-specific II component
V1366835	M00179	Ribosome, archaea
V1000641	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1010662	M00164	ATP synthase
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1306539	M00179	Ribosome, archaea
V1006020	M00179	Ribosome, archaea
V1603838	M00183	RNA polymerase, bacteria
V1010664	M00164	ATP synthase
V1375699	M00207	Putative multiple sugar transport system
V1038252	M00164	ATP synthase
V1484064	M00197	Putative fructooligosaccharide transport system
V1000840	M00164	ATP synthase
V1491714	M00178	Ribosome, bacteria
V1051831	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1000080	M00178	Ribosome, bacteria
V1077152	M00179	Ribosome, archaea
V1138313	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1852084	M00179	Ribosome, archaea
V1010658	M00164	ATP synthase
V1138842	M00178	Ribosome, bacteria
V1000547	M00197	Putative fructooligosaccharide transport system
V1016739	M00179	Ribosome, archaea
V1152905	M00164	ATP synthase
V1139283	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
V1140098	M00164	ATP synthase
V1000944	M00179	Ribosome, archaea
V1011312	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1000003	M00178	Ribosome, bacteria
V1073738	M00179	Ribosome, archaea
V1368877	M00197	Putative fructooligosaccharide transport system
V1519450	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1886416	M00002	Glycolysis, core module involving three-carbon compounds
V1000845	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1265052	M00346	Formaldehyde assimilation, serine pathway
V1852083	M00179	Ribosome, archaea
V1886558	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1499048	M00183	RNA polymerase, bacteria
V1687741	M00197	Putative fructooligosaccharide transport system
V1445419	M00002	Glycolysis, core module involving three-carbon compounds
V1481366	M00178	Ribosome, bacteria
V1640376	M00179	Ribosome, archaea
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1000011	M00179	Ribosome, archaea
V1272241	M00179	Ribosome, archaea
V1836804	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1592992	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1340164	M00164	ATP synthase
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1266177	M00239	Peptides/nickel transport system
V1081021	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033803	M00164	ATP synthase
V1886409	M00335	Sec (secretion) system
V1000013	M00179	Ribosome, archaea
V1000005	M00179	Ribosome, archaea
V1010943	M00183	RNA polymerase, bacteria
V1139649	M00183	RNA polymerase, bacteria
V1009516	M00346	Formaldehyde assimilation, serine pathway
V1074700	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1391945	M00276	PTS system, mannose-specific II component
V1364027	M00197	Putative fructooligosaccharide transport system
V1368958	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1526141	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1006727	M00178	Ribosome, bacteria
V1381099	M00164	ATP synthase
V1595332	M00164	ATP synthase
V1010180	M00083	Fatty acid biosynthesis, elongation
V1085162	M00020	Serine biosynthesis, glycerate-3P => serine
V1013685	M00207	Putative multiple sugar transport system
V1560186	M00368	Ethylene biosynthesis, methionine => ethylene
V1237835	M00239	Peptides/nickel transport system
V1469327	M00207	Putative multiple sugar transport system
V1000528	M00179	Ribosome, archaea
V1073798	M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
V1144133	M00197	Putative fructooligosaccharide transport system
V1440841	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1265517	M00206	Cellobiose transport system
V1364188	M00164	ATP synthase
V1000630	M00335	Sec (secretion) system
V1000326	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000040	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1554521	M00207	Putative multiple sugar transport system
V1000168	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1016738	M00179	Ribosome, archaea
V1000601	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1143984	M00346	Formaldehyde assimilation, serine pathway
V1033302	M00335	Sec (secretion) system
V1095854	M00179	Ribosome, archaea
V1010317	M00374	Dicarboxylate-hydroxybutyrate cycle
V1430573	M00197	Putative fructooligosaccharide transport system
V1009402	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1036261	M00197	Putative fructooligosaccharide transport system
V1080826	M00179	Ribosome, archaea
V1036227	M00239	Peptides/nickel transport system
V1000144	M00179	Ribosome, archaea
V1889488	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1145239	M00179	Ribosome, archaea
V1500737	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1514705	M00207	Putative multiple sugar transport system
V1879882	M00179	Ribosome, archaea
V1356383	M00197	Putative fructooligosaccharide transport system
V1037422	M00164	ATP synthase
V1042355	M00276	PTS system, mannose-specific II component
V1037423	M00164	ATP synthase
V1640305	M00335	Sec (secretion) system
V1384044	M00197	Putative fructooligosaccharide transport system
V1301930	M00178	Ribosome, bacteria
V1585543	M00178	Ribosome, bacteria
V1014267	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1008512	M00260	DNA polymerase III complex, bacteria
V1043350	M00239	Peptides/nickel transport system
V1083710	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1010313	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1073737	M00179	Ribosome, archaea
V1603920	M00178	Ribosome, bacteria
V1587324	M00376	3-Hydroxypropionate bi-cycle
V1357847	M00164	ATP synthase
V1001468	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1277310	M00335	Sec (secretion) system
V1008929	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1469282	M00239	Peptides/nickel transport system
V1640373	M00178	Ribosome, bacteria
V1613141	M00179	Ribosome, archaea
V1000014	M00179	Ribosome, archaea
V1327984	M00374	Dicarboxylate-hydroxybutyrate cycle
V1000012	M00179	Ribosome, archaea
