Gene	KEGG_module_number	Annotation
V1073455	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1013684	M00207	Putative multiple sugar transport system
V1392272	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1075033	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1079141	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1368901	M00197	Putative fructooligosaccharide transport system
V1394389	M00197	Putative fructooligosaccharide transport system
V1077152	M00179	Ribosome, archaea
V1884207	M00197	Putative fructooligosaccharide transport system
V1073738	M00179	Ribosome, archaea
V1145548	M00178	Ribosome, bacteria
V1375699	M00207	Putative multiple sugar transport system
V1081813	M00164	ATP synthase
V1272241	M00179	Ribosome, archaea
V1138842	M00178	Ribosome, bacteria
V1072266	M00346	Formaldehyde assimilation, serine pathway
V1499048	M00183	RNA polymerase, bacteria
V1080826	M00179	Ribosome, archaea
V1139649	M00183	RNA polymerase, bacteria
V1152427	M00374	Dicarboxylate-hydroxybutyrate cycle
V1073737	M00179	Ribosome, archaea
V1036256	M00197	Putative fructooligosaccharide transport system
V1081021	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1366835	M00179	Ribosome, archaea
V1277310	M00335	Sec (secretion) system
V1554521	M00207	Putative multiple sugar transport system
V1037518	M00178	Ribosome, bacteria
V1038252	M00164	ATP synthase
V1083488	M00179	Ribosome, archaea
V1238174	M00179	Ribosome, archaea
V1484064	M00197	Putative fructooligosaccharide transport system
V1368958	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1152905	M00164	ATP synthase
V1140098	M00164	ATP synthase
V1577002	M00179	Ribosome, archaea
V1076810	M00178	Ribosome, bacteria
V1613141	M00179	Ribosome, archaea
V1082180	M00376	3-Hydroxypropionate bi-cycle
V1074700	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1139283	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
V1265052	M00346	Formaldehyde assimilation, serine pathway
V1076102	M00179	Ribosome, archaea
V1014932	M00239	Peptides/nickel transport system
V1806795	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1138313	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1080453	M00335	Sec (secretion) system
V1075073	M00179	Ribosome, archaea
V1073923	M00183	RNA polymerase, bacteria
V1617409	M00178	Ribosome, bacteria
V1266177	M00239	Peptides/nickel transport system
V1015867	M00179	Ribosome, archaea
V1080488	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
V1500737	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1036227	M00239	Peptides/nickel transport system
V1526141	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1036261	M00197	Putative fructooligosaccharide transport system
V1441127	M00179	Ribosome, archaea
V1034175	M00197	Putative fructooligosaccharide transport system
V1075480	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1884213	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1138253	M00376	3-Hydroxypropionate bi-cycle
V1073922	M00179	Ribosome, archaea
V1269313	M00179	Ribosome, archaea
V1089092	M00178	Ribosome, bacteria
V1138614	M00179	Ribosome, archaea
V1038267	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1083487	M00179	Ribosome, archaea
V1841419	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1440841	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1384350	M00179	Ribosome, archaea
V1037422	M00164	ATP synthase
V1266145	M00368	Ethylene biosynthesis, methionine => ethylene
V1177532	M00179	Ribosome, archaea
V1012925	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1291747	M00376	3-Hydroxypropionate bi-cycle
V1368877	M00197	Putative fructooligosaccharide transport system
V1076928	M00178	Ribosome, bacteria
V1269402	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1037423	M00164	ATP synthase
V1612264	M00178	Ribosome, bacteria
V1432853	M00178	Ribosome, bacteria
V1294043	M00179	Ribosome, archaea
V1139917	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1728061	M00179	Ribosome, archaea
V1085162	M00020	Serine biosynthesis, glycerate-3P => serine
V1445419	M00002	Glycolysis, core module involving three-carbon compounds
V1076929	M00178	Ribosome, bacteria
V1013685	M00207	Putative multiple sugar transport system
V1073414	M00164	ATP synthase
V1327984	M00374	Dicarboxylate-hydroxybutyrate cycle
V1015868	M00179	Ribosome, archaea
V1036784	M00244	Putative zinc/manganese transport system
V1073798	M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
V1000004	M00183	RNA polymerase, bacteria
V1500100	M00178	Ribosome, bacteria
V1079230	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1012602	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1076103	M00179	Ribosome, archaea
V1038324	M00248	Antibiotic transport system
V1249122	M00179	Ribosome, archaea
V1000546	M00197	Putative fructooligosaccharide transport system
