Gene	KEGG_module_number	Annotation
V1000004	M00183	RNA polymerase, bacteria
V1000546	M00197	Putative fructooligosaccharide transport system
V1576144	M00335	Sec (secretion) system
V1043485	M00179	Ribosome, archaea
V1000943	M00179	Ribosome, archaea
V1000018	M00179	Ribosome, archaea
V1073967	M00179	Ribosome, archaea
V1431607	M00178	Ribosome, bacteria
V1000017	M00178	Ribosome, bacteria
V1013090	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1000021	M00179	Ribosome, archaea
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1000545	M00197	Putative fructooligosaccharide transport system
V1164548	M00183	RNA polymerase, bacteria
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1482595	M00178	Ribosome, bacteria
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1464170	M00164	ATP synthase
V1144210	M00179	Ribosome, archaea
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1430275	M00164	ATP synthase
V1154539	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1006020	M00179	Ribosome, archaea
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1852084	M00179	Ribosome, archaea
V1000886	M00207	Putative multiple sugar transport system
V1010069	M00164	ATP synthase
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000840	M00164	ATP synthase
V1000842	M00164	ATP synthase
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000005	M00179	Ribosome, archaea
V1001368	M00276	PTS system, mannose-specific II component
V1000841	M00164	ATP synthase
V1000080	M00178	Ribosome, bacteria
V1574099	M00276	PTS system, mannose-specific II component
V1036606	M00164	ATP synthase
V1066646	M00197	Putative fructooligosaccharide transport system
V1580898	M00179	Ribosome, archaea
V1012671	M00159	V/A-type ATPase, prokaryotes
V1051831	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1010067	M00164	ATP synthase
V1007060	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000011	M00179	Ribosome, archaea
V1852083	M00179	Ribosome, archaea
V1306539	M00179	Ribosome, archaea
V1141150	M00346	Formaldehyde assimilation, serine pathway
V1099396	M00197	Putative fructooligosaccharide transport system
V1000013	M00179	Ribosome, archaea
V1000003	M00178	Ribosome, bacteria
V1594514	M00164	ATP synthase
V1140670	M00164	ATP synthase
V1074835	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000014	M00179	Ribosome, archaea
V1185257	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000528	M00179	Ribosome, archaea
V1420584	M00279	PTS system, galactitol-specific II component
V1491714	M00178	Ribosome, bacteria
V1108928	M00164	ATP synthase
V1073455	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1008929	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1095854	M00179	Ribosome, archaea
V1481366	M00178	Ribosome, bacteria
V1158426	M00276	PTS system, mannose-specific II component
V1014358	M00002	Glycolysis, core module involving three-carbon compounds
V1099189	M00179	Ribosome, archaea
V1836804	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000012	M00179	Ribosome, archaea
V1357096	M00197	Putative fructooligosaccharide transport system
V1052940	M00179	Ribosome, archaea
V1886409	M00335	Sec (secretion) system
V1000944	M00179	Ribosome, archaea
V1592992	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000171	M00239	Peptides/nickel transport system
V1013969	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
V1200593	M00197	Putative fructooligosaccharide transport system
V1139691	M00335	Sec (secretion) system
V1238174	M00179	Ribosome, archaea
V1000547	M00197	Putative fructooligosaccharide transport system
V1144133	M00197	Putative fructooligosaccharide transport system
V1012672	M00159	V/A-type ATPase, prokaryotes
V1012333	M00346	Formaldehyde assimilation, serine pathway
V1006727	M00178	Ribosome, bacteria
V1297375	M00179	Ribosome, archaea
V1000040	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1394176	M00279	PTS system, galactitol-specific II component
V1099054	M00239	Peptides/nickel transport system
V1430573	M00197	Putative fructooligosaccharide transport system
V1139821	M00159	V/A-type ATPase, prokaryotes
V1015220	M00179	Ribosome, archaea
V1436794	M00197	Putative fructooligosaccharide transport system
V1000641	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1400258	M00002	Glycolysis, core module involving three-carbon compounds
V1000009	M00179	Ribosome, archaea
V1000326	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033803	M00164	ATP synthase
V1000630	M00335	Sec (secretion) system
V1143984	M00346	Formaldehyde assimilation, serine pathway
V1033302	M00335	Sec (secretion) system
V1381099	M00164	ATP synthase
V1000010	M00179	Ribosome, archaea
V1198530	M00279	PTS system, galactitol-specific II component
