Gene	KEGG_module_number	Annotation
V1338863	M00002	Glycolysis, core module involving three-carbon compounds
V1033079	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1033557	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1033096	M00183	RNA polymerase, bacteria
V1032513	M00179	Ribosome, archaea
V1872766	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1032825	M00335	Sec (secretion) system
V1032815	M00178	Ribosome, bacteria
V1032814	M00179	Ribosome, archaea
V1032826	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1204502	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033549	M00346	Formaldehyde assimilation, serine pathway
V1872734	M00179	Ribosome, archaea
V1033091	M00179	Ribosome, archaea
V1885172	M00164	ATP synthase
V1032750	M00179	Ribosome, archaea
V1033558	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1033097	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1032818	M00179	Ribosome, archaea
V1032984	M00179	Ribosome, archaea
V1032631	M00197	Putative fructooligosaccharide transport system
V1046995	M00164	ATP synthase
V1033500	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1765286	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1424927	M00179	Ribosome, archaea
V1887313	M00178	Ribosome, bacteria
V1046993	M00164	ATP synthase
V1032807	M00179	Ribosome, archaea
V1032819	M00179	Ribosome, archaea
V1032808	M00178	Ribosome, bacteria
V1755587	M00179	Ribosome, archaea
V1032617	M00222	Phosphate transport system
V1032820	M00179	Ribosome, archaea
V1046991	M00164	ATP synthase
V1032829	M00178	Ribosome, bacteria
V1032822	M00179	Ribosome, archaea
V1032341	M00164	ATP synthase
V1047060	M00239	Peptides/nickel transport system
V1032342	M00164	ATP synthase
V1338860	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1552800	M00178	Ribosome, bacteria
V1033302	M00335	Sec (secretion) system
V1884576	M00164	ATP synthase
V1883121	M00164	ATP synthase
V1032809	M00179	Ribosome, archaea
V1033428	M00276	PTS system, mannose-specific II component
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1032824	M00179	Ribosome, archaea
V1884560	M00178	Ribosome, bacteria
V1032713	M00179	Ribosome, archaea
V1032821	M00179	Ribosome, archaea
V1884555	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033346	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1882359	M00179	Ribosome, archaea
V1033034	M00178	Ribosome, bacteria
V1033559	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1150427	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1046994	M00164	ATP synthase
V1032979	M00178	Ribosome, bacteria
V1047181	M00207	Putative multiple sugar transport system
V1884638	M00002	Glycolysis, core module involving three-carbon compounds
V1684154	M00183	RNA polymerase, bacteria
V1032817	M00179	Ribosome, archaea
V1882237	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1032641	M00260	DNA polymerase III complex, bacteria
V1032715	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1684155	M00183	RNA polymerase, bacteria
V1891261	M00183	RNA polymerase, bacteria
V1610069	M00179	Ribosome, archaea
V1032333	M00179	Ribosome, archaea
V1883097	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1684153	M00179	Ribosome, archaea
V1033667	M00368	Ethylene biosynthesis, methionine => ethylene
V1033276	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1034213	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1032616	M00222	Phosphate transport system
V1884566	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1203697	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1032714	M00179	Ribosome, archaea
V1032630	M00197	Putative fructooligosaccharide transport system
V1882372	M00178	Ribosome, bacteria
V1032632	M00197	Putative fructooligosaccharide transport system
V1047007	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033614	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033134	M00244	Putative zinc/manganese transport system
V1033085	M00258	Putative ABC transport system
V1032514	M00178	Ribosome, bacteria
V1032620	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1032983	M00179	Ribosome, archaea
