Gene	KEGG_pathwayID	Annotation
V1067936	map00650	Butanoate metabolism
V1066646	map02030	Bacterial chemotaxis
V1074069	map05152	Tuberculosis
V1073455	map00710	Carbon fixation in photosynthetic organisms
V1357153	map04626	Plant-pathogen interaction
V1200593	map02010	ABC transporters
V1392272	map00710	Carbon fixation in photosynthetic organisms
V1294607	map04626	Plant-pathogen interaction
V1485691	map04626	Plant-pathogen interaction
V1576661	map00910	Nitrogen metabolism
V1233016	map04626	Plant-pathogen interaction
V1067114	map00450	Selenocompound metabolism
V1500439	map04626	Plant-pathogen interaction
V1268218	map04626	Plant-pathogen interaction
V1421438	map05010	Alzheimer's disease
V1075033	map05010	Alzheimer's disease
V1067559	map00710	Carbon fixation in photosynthetic organisms
V1421347	map04626	Plant-pathogen interaction
V1065438	map05152	Tuberculosis
V1138803	map05152	Tuberculosis
V1436641	map00650	Butanoate metabolism
V1574166	map04626	Plant-pathogen interaction
V1235913	map00195	Photosynthesis
V1067558	map05010	Alzheimer's disease
V1557734	map03018	RNA degradation
V1066640	map04626	Plant-pathogen interaction
V1554033	map00650	Butanoate metabolism
V1138842	map03010	Ribosome
V1337358	map04621	NOD-like receptor signaling pathway
V1072266	map03018	RNA degradation
V1292575	map04626	Plant-pathogen interaction
V1553877	map02060	Phosphotransferase system (PTS)
V1422203	map00982	Drug metabolism - cytochrome P450
V1080812	map05215	Prostate cancer
V1067037	map00982	Drug metabolism - cytochrome P450
V1190266	map02040	Flagellar assembly
V1065923	map00195	Photosynthesis
V1066648	map03020	RNA polymerase
V1079141	map00720	Carbon fixation pathways in prokaryotes
V1067061	map00970	Aminoacyl-tRNA biosynthesis
V1088211	map04626	Plant-pathogen interaction
V1235912	map04626	Plant-pathogen interaction
V1152427	map00720	Carbon fixation pathways in prokaryotes
V1109394	map04626	Plant-pathogen interaction
V1081813	map00195	Photosynthesis
V1380123	map00195	Photosynthesis
V1077152	map03010	Ribosome
V1067088	map00710	Carbon fixation in photosynthetic organisms
V1499048	map03020	RNA polymerase
V1066613	map02060	Phosphotransferase system (PTS)
V1068288	map00650	Butanoate metabolism
V1066925	map02010	ABC transporters
V1073738	map03010	Ribosome
V1464834	map00650	Butanoate metabolism
V1086903	map05152	Tuberculosis
V1201556	map03020	RNA polymerase
V1272241	map03010	Ribosome
V1138313	map00520	Amino sugar and nucleotide sugar metabolism
V1374743	map03018	RNA degradation
V1202264	map04626	Plant-pathogen interaction
V1290782	map00511	Other glycan degradation
V1081021	map00970	Aminoacyl-tRNA biosynthesis
V1582926	map04626	Plant-pathogen interaction
V1080453	map03070	Bacterial secretion system
V1152905	map00195	Photosynthesis
V1173647	map04626	Plant-pathogen interaction
V1237629	map04626	Plant-pathogen interaction
V1139649	map03020	RNA polymerase
V1393635	map04626	Plant-pathogen interaction
V1067099	map00680	Methane metabolism
V1356603	map04626	Plant-pathogen interaction
