Gene	EC_number	EC_Annotation
V1012818	ec:1.3.8.1	 short-chain acyl-CoA dehydrogenase; butyryl-CoA dehydrogenase; butanoyl-CoA dehydrogenase; butyryl dehydrogenase; unsaturated acyl-CoA reductase; ethylene reductase; enoyl-coenzyme A reductase; unsaturated acyl coenzyme A reductase; butyryl coenzyme A dehydrogenase; short-chain acyl CoA dehydrogenase; short-chain acyl-coenzyme A dehydrogenase; 3-hydroxyacyl CoA reductase; butanoyl-CoA:(acceptor) 2,3-oxidoreductase; ACADS (gene name). ec:1.3.8.10 cyclohex-1-ene-1-carbonyl-CoA dehydrogenase ec:1.3.8.11 cyclohexane-1-carbonyl-CoA dehydrogenase ec:1.3.8.12 (2S)-methylsuccinyl-CoA dehydrogenase; Mcd ec:1.3.8.13 crotonobetainyl-CoA reductase; caiA (gene name) ec:1.3.99.2 Transferred to 1.3.8.1
V1201618	ec:2.3.1.54	 formate C-acetyltransferase; pyruvate formate-lyase; pyruvic formate-lyase; formate acetyltransferase
V1013795	ec:3.6.1.8	 ATP diphosphatase; ATPase (ambiguous); ATP pyrophosphatase; adenosine triphosphate pyrophosphatase; ATP diphosphohydrolase (ambiguous)
V1367057	ec:2.7.7.6	 DNA-directed RNA polymerase; RNA polymerase; RNA nucleotidyltransferase (DNA-directed); RNA polymerase I; RNA polymerase II; RNA polymerase III; C RNA formation factors; deoxyribonucleic acid-dependent ribonucleic acid polymerase; DNA-dependent ribonucleate nucleotidyltransferase; DNA-dependent RNA nucleotidyltransferase; DNA-dependent RNA polymerase; ribonucleate nucleotidyltransferase; ribonucleate polymerase; C ribonucleic acid formation factors; ribonucleic acid nucleotidyltransferase; ribonucleic acid polymerase; ribonucleic acid transcriptase; ribonucleic polymerase; ribonucleic transcriptase; RNA nucleotidyltransferase; RNA transcriptase; transcriptase; RNA nucleotidyltransferase I ec:2.7.7.60 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase; MEP cytidylyltransferase ec:2.7.7.61 citrate lyase holo-[acyl-carrier protein] synthase; 2'-(5''-phosphoribosyl)-3'-dephospho-CoA transferase; 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase; CitX; holo-ACP synthase (ambiguous); 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase adenylyltransferase; 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA transferase; 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate-lyase adenylyltransferase; holo-citrate lyase synthase (incorrect) ec:2.7.7.62 adenosylcobinamide-phosphate guanylyltransferase; CobU; adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase; AdoCbi kinase/AdoCbi-phosphate guanylyltransferase ec:2.7.7.63 Transferred to 6.3.1.20 ec:2.7.7.64 UTP-monosaccharide-1-phosphate uridylyltransferase; UDP-sugar pyrophosphorylase; PsUSP ec:2.7.7.65 diguanylate cyclase; DGC; PleD ec:2.7.7.66 malonate decarboxylase holo-[acyl-carrier protein] synthase; holo ACP synthase (ambiguous); 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo ACP 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA transferase; MdcG; 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-malonate-decarboxylase adenylyltransferase; holo-malonate-decarboxylase synthase (incorrect) ec:2.7.7.67 CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase; carS (gene name); CDP-2,3-di-O-geranylgeranyl-sn-glycerol synthase; CTP:2,3-GG-GP ether cytidylyltransferase; CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase; CDP-2,3-bis-O-(geranylgeranyl)-sn-glycerol synthase; CTP:2,3-bis-O-(geranylgeranyl)-sn-glycero-1-phosphate cytidylyltransferase; CDP-unsaturated archaeol synthase; CDP-archaeol synthase (incorrect) ec:2.7.7.68 2-phospho-L-lactate guanylyltransferase; CofC; MJ0887 ec:2.7.7.69 GDP-L-galactose phosphorylase; VTC2; VTC5
V1012925	ec:2.3.1.8	 phosphate acetyltransferase; phosphotransacetylase; phosphoacylase; PTA ec:2.3.1.80 cysteine-S-conjugate N-acetyltransferase ec:2.3.1.81 aminoglycoside 3-N-acetyltransferase; 3-aminoglycoside acetyltransferase; 3-N-aminoglycoside acetyltransferase; aminoglycoside N3-acetyltransferase; acetyl-CoA:2-deoxystreptamine-antibiotic N3'-acetyltransferase (incorrect); aminoglycoside N3'-acetyltransferase (incorrect) ec:2.3.1.82 aminoglycoside 6'-N-acetyltransferase; aminoglycoside N6'-acetyltransferase; aminoglycoside-6'-acetyltransferase; aminoglycoside-6-N-acetyltransferase; kanamycin acetyltransferase ec:2.3.1.83 phosphatidylcholine---dolichol O-acyltransferase ec:2.3.1.84 alcohol O-acetyltransferase; alcohol acetyltransferase ec:2.3.1.85 fatty-acid synthase; FASN (gene name) ec:2.3.1.86 fatty-acyl-CoA synthase; yeast fatty acid synthase; FAS1 (gene name); FAS2 (gene name) ec:2.3.1.87 aralkylamine N-acetyltransferase; serotonin acetyltransferase; serotonin acetylase; arylalkylamine N-acetyltransferase; serotonin N-acetyltransferase; AANAT; melatonin rhythm enzyme ec:2.3.1.88 Transferred to 2.3.1.254 and 2.3.1.255 and 2.3.1.256 and 2.3.1.257 and 2.3.1.258 and 2.3.1.259 ec:2.3.1.89 tetrahydrodipicolinate N-acetyltransferase; tetrahydrodipicolinate acetylase; tetrahydrodipicolinate:acetyl-CoA acetyltransferase; acetyl-CoA:L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase; acetyl-CoA:(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate 2-N-acetyltransferase
V1036980	ec:2.8.3.8	 acetate CoA-transferase; acetate coenzyme A-transferase; butyryl CoA:acetate CoA transferase; butyryl coenzyme A transferase; succinyl-CoA:acetate CoA transferase
V1038350	ec:1.1.1.157	 3-hydroxybutyryl-CoA dehydrogenase; beta-hydroxybutyryl coenzyme A dehydrogenase; L(+)-3-hydroxybutyryl-CoA dehydrogenase; BHBD; dehydrogenase, L-3-hydroxybutyryl coenzyme A (nicotinamide adenine dinucleotide phosphate); L-(+)-3-hydroxybutyryl-CoA dehydrogenase; beta-hydroxybutyryl-CoA dehydrogenase
V1010209	ec:6.1.1.5	 isoleucine---tRNA ligase; isoleucyl-tRNA synthetase; isoleucyl-transfer ribonucleate synthetase; isoleucyl-transfer RNA synthetase; isoleucine-transfer RNA ligase; isoleucine-tRNA synthetase; isoleucine translase
V1012602	ec:2.7.2.1	 acetate kinase; acetokinase; AckA; AK; acetic kinase; acetate kinase (phosphorylating) ec:2.7.2.10 phosphoglycerate kinase (GTP) ec:2.7.2.11 glutamate 5-kinase; ATP-L-glutamate 5-phosphotransferase; ATP:gamma-L-glutamate phosphotransferase; gamma-glutamate kinase; gamma-glutamyl kinase; glutamate kinase ec:2.7.2.12 acetate kinase (diphosphate); pyrophosphate-acetate phosphotransferase ec:2.7.2.13 glutamate 1-kinase ec:2.7.2.14 branched-chain-fatty-acid kinase; isobutyrate kinase ec:2.7.2.15 propionate kinase; PduW; TdcD; propionate/acetate kinase
V1012852	ec:2.7.7.6	 DNA-directed RNA polymerase; RNA polymerase; RNA nucleotidyltransferase (DNA-directed); RNA polymerase I; RNA polymerase II; RNA polymerase III; C RNA formation factors; deoxyribonucleic acid-dependent ribonucleic acid polymerase; DNA-dependent ribonucleate nucleotidyltransferase; DNA-dependent RNA nucleotidyltransferase; DNA-dependent RNA polymerase; ribonucleate nucleotidyltransferase; ribonucleate polymerase; C ribonucleic acid formation factors; ribonucleic acid nucleotidyltransferase; ribonucleic acid polymerase; ribonucleic acid transcriptase; ribonucleic polymerase; ribonucleic transcriptase; RNA nucleotidyltransferase; RNA transcriptase; transcriptase; RNA nucleotidyltransferase I ec:2.7.7.60 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase; MEP cytidylyltransferase ec:2.7.7.61 citrate lyase holo-[acyl-carrier protein] synthase; 2'-(5''-phosphoribosyl)-3'-dephospho-CoA transferase; 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase; CitX; holo-ACP synthase (ambiguous); 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase adenylyltransferase; 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA transferase; 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate-lyase adenylyltransferase; holo-citrate lyase synthase (incorrect) ec:2.7.7.62 adenosylcobinamide-phosphate guanylyltransferase; CobU; adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase; AdoCbi kinase/AdoCbi-phosphate guanylyltransferase ec:2.7.7.63 Transferred to 6.3.1.20 ec:2.7.7.64 UTP-monosaccharide-1-phosphate uridylyltransferase; UDP-sugar pyrophosphorylase; PsUSP ec:2.7.7.65 diguanylate cyclase; DGC; PleD ec:2.7.7.66 malonate decarboxylase holo-[acyl-carrier protein] synthase; holo ACP synthase (ambiguous); 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo ACP 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA transferase; MdcG; 2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-malonate-decarboxylase adenylyltransferase; holo-malonate-decarboxylase synthase (incorrect) ec:2.7.7.67 CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase; carS (gene name); CDP-2,3-di-O-geranylgeranyl-sn-glycerol synthase; CTP:2,3-GG-GP ether cytidylyltransferase; CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase; CDP-2,3-bis-O-(geranylgeranyl)-sn-glycerol synthase; CTP:2,3-bis-O-(geranylgeranyl)-sn-glycero-1-phosphate cytidylyltransferase; CDP-unsaturated archaeol synthase; CDP-archaeol synthase (incorrect) ec:2.7.7.68 2-phospho-L-lactate guanylyltransferase; CofC; MJ0887 ec:2.7.7.69 GDP-L-galactose phosphorylase; VTC2; VTC5
