Gene	KEGG_module_number	Annotation
V1136163	M00179	Ribosome, archaea
V1203576	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1211201	M00335	Sec (secretion) system
V1886387	M00183	RNA polymerase, bacteria
V1136510	M00179	Ribosome, archaea
V1597389	M00179	Ribosome, archaea
V1136440	M00178	Ribosome, bacteria
V1136121	M00178	Ribosome, bacteria
V1136465	M00179	Ribosome, archaea
V1448327	M00164	ATP synthase
V1211229	M00164	ATP synthase
V1872766	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1213484	M00197	Putative fructooligosaccharide transport system
V1213705	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1136388	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1154974	M00178	Ribosome, bacteria
V1799342	M00183	RNA polymerase, bacteria
V1154972	M00179	Ribosome, archaea
V1213559	M00239	Peptides/nickel transport system
V1136462	M00179	Ribosome, archaea
V1448519	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1237698	M00179	Ribosome, archaea
V1157115	M00346	Formaldehyde assimilation, serine pathway
V1154969	M00179	Ribosome, archaea
V1136049	M00179	Ribosome, archaea
V1203478	M00276	PTS system, mannose-specific II component
V1136437	M00179	Ribosome, archaea
V1211184	M00183	RNA polymerase, bacteria
V1211334	M00346	Formaldehyde assimilation, serine pathway
V1799340	M00179	Ribosome, archaea
V1156179	M00178	Ribosome, bacteria
V1211345	M00164	ATP synthase
V1886547	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1136438	M00179	Ribosome, archaea
V1599158	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1158332	M00002	Glycolysis, core module involving three-carbon compounds
V1213485	M00197	Putative fructooligosaccharide transport system
V1136463	M00179	Ribosome, archaea
V1212427	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1203570	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1136573	M00179	Ribosome, archaea
V1136448	M00276	PTS system, mannose-specific II component
V1597118	M00164	ATP synthase
V1009516	M00346	Formaldehyde assimilation, serine pathway
V1211182	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1301930	M00178	Ribosome, bacteria
V1599309	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1136382	M00178	Ribosome, bacteria
V1213499	M00164	ATP synthase
V1334911	M00179	Ribosome, archaea
V1136304	M00197	Putative fructooligosaccharide transport system
V1423938	M00346	Formaldehyde assimilation, serine pathway
V1880284	M00179	Ribosome, archaea
V1599322	M00179	Ribosome, archaea
V1136546	M00239	Peptides/nickel transport system
V1599242	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
V1140472	M00179	Ribosome, archaea
V1384044	M00197	Putative fructooligosaccharide transport system
V1154970	M00179	Ribosome, archaea
V1136045	M00179	Ribosome, archaea
V1213504	M00179	Ribosome, archaea
V1136324	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1156008	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1886721	M00002	Glycolysis, core module involving three-carbon compounds
V1136076	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1211402	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1600693	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1238011	M00178	Ribosome, bacteria
V1136387	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1599149	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1203477	M00276	PTS system, mannose-specific II component
V1211250	M00239	Peptides/nickel transport system
V1430373	M00178	Ribosome, bacteria
V1136681	M00164	ATP synthase
V1136297	M00153	Cytochrome d ubiquinol oxidase
V1891385	M00179	Ribosome, archaea
V1203419	M00153	Cytochrome d ubiquinol oxidase
V1136556	M00178	Ribosome, bacteria
V1136115	M00335	Sec (secretion) system
V1154976	M00179	Ribosome, archaea
V1599276	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1237789	M00179	Ribosome, archaea
V1211371	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1237406	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1136464	M00179	Ribosome, archaea
V1885246	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1425581	M00179	Ribosome, archaea
V1213492	M00134	Polyamine biosynthesis, arginine => ornithine => putrescine
V1600206	M00335	Sec (secretion) system
V1880211	M00179	Ribosome, archaea
V1159480	M00179	Ribosome, archaea
V1167759	M00002	Glycolysis, core module involving three-carbon compounds
V1687741	M00197	Putative fructooligosaccharide transport system
V1448368	M00239	Peptides/nickel transport system
V1203664	M00279	PTS system, galactitol-specific II component
V1136511	M00179	Ribosome, archaea
V1599150	M00260	DNA polymerase III complex, bacteria
V1448858	M00164	ATP synthase
V1136439	M00179	Ribosome, archaea
V1016650	M00164	ATP synthase
V1600196	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1136081	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1599159	M00126	Tetrahydrofolate biosynthesis, GTP => THF
V1445299	M00239	Peptides/nickel transport system
V1448291	M00239	Peptides/nickel transport system
V1714616	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1136418	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1227353	M00002	Glycolysis, core module involving three-carbon compounds
V1136553	M00366	C10-C20 isoprenoid biosynthesis, plants
