Gene	KEGG_module_number	Annotation
V1000004	M00183	RNA polymerase, bacteria
V1000546	M00197	Putative fructooligosaccharide transport system
V1576144	M00335	Sec (secretion) system
V1043485	M00179	Ribosome, archaea
V1000018	M00179	Ribosome, archaea
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1164548	M00183	RNA polymerase, bacteria
V1006020	M00179	Ribosome, archaea
V1000017	M00178	Ribosome, bacteria
V1000943	M00179	Ribosome, archaea
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1000545	M00197	Putative fructooligosaccharide transport system
V1073967	M00179	Ribosome, archaea
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1093074	M00197	Putative fructooligosaccharide transport system
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1464170	M00164	ATP synthase
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1580898	M00179	Ribosome, archaea
V1431607	M00178	Ribosome, bacteria
V1430275	M00164	ATP synthase
V1000886	M00207	Putative multiple sugar transport system
V1482595	M00178	Ribosome, bacteria
V1000021	M00179	Ribosome, archaea
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1306539	M00179	Ribosome, archaea
V1036606	M00164	ATP synthase
V1001368	M00276	PTS system, mannose-specific II component
V1000841	M00164	ATP synthase
V1852083	M00179	Ribosome, archaea
V1852084	M00179	Ribosome, archaea
V1000842	M00164	ATP synthase
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1000080	M00178	Ribosome, bacteria
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000003	M00178	Ribosome, bacteria
V1000944	M00179	Ribosome, archaea
V1158426	M00276	PTS system, mannose-specific II component
V1000013	M00179	Ribosome, archaea
V1581637	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000011	M00179	Ribosome, archaea
V1836804	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000547	M00197	Putative fructooligosaccharide transport system
V1000840	M00164	ATP synthase
V1574099	M00276	PTS system, mannose-specific II component
V1491714	M00178	Ribosome, bacteria
V1000641	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1886409	M00335	Sec (secretion) system
V1000845	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1144133	M00197	Putative fructooligosaccharide transport system
V1006727	M00178	Ribosome, bacteria
V1852094	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1000528	M00179	Ribosome, archaea
V1000005	M00179	Ribosome, archaea
V1000009	M00179	Ribosome, archaea
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1033302	M00335	Sec (secretion) system
V1430573	M00197	Putative fructooligosaccharide transport system
V1000040	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1886466	M00179	Ribosome, archaea
V1592992	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1886416	M00002	Glycolysis, core module involving three-carbon compounds
V1381099	M00164	ATP synthase
V1481366	M00178	Ribosome, bacteria
V1380652	M00179	Ribosome, archaea
V1394389	M00197	Putative fructooligosaccharide transport system
V1391945	M00276	PTS system, mannose-specific II component
V1851977	M00254	ABC-2 type transport system
V1266177	M00239	Peptides/nickel transport system
V1000012	M00179	Ribosome, archaea
V1879882	M00179	Ribosome, archaea
V1014932	M00239	Peptides/nickel transport system
V1000144	M00179	Ribosome, archaea
V1886399	M00178	Ribosome, bacteria
V1356383	M00197	Putative fructooligosaccharide transport system
V1000630	M00335	Sec (secretion) system
V1884213	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1144210	M00179	Ribosome, archaea
V1033803	M00164	ATP synthase
V1000014	M00179	Ribosome, archaea
V1006021	M00179	Ribosome, archaea
V1000326	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1381169	M00183	RNA polymerase, bacteria
V1256156	M00276	PTS system, mannose-specific II component
V1851978	M00207	Putative multiple sugar transport system
V1577140	M00183	RNA polymerase, bacteria
V1364188	M00164	ATP synthase
V1000010	M00179	Ribosome, archaea
V1000020	M00179	Ribosome, archaea
V1143984	M00346	Formaldehyde assimilation, serine pathway
V1042355	M00276	PTS system, mannose-specific II component
V1000001	M00179	Ribosome, archaea
V1064534	M00183	RNA polymerase, bacteria
V1000594	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1000601	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1886464	M00179	Ribosome, archaea
V1879918	M00179	Ribosome, archaea
V1000168	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1144304	M00179	Ribosome, archaea
V1095854	M00179	Ribosome, archaea
V1553618	M00335	Sec (secretion) system
V1886605	M00197	Putative fructooligosaccharide transport system
V1000315	M00276	PTS system, mannose-specific II component
V1238174	M00179	Ribosome, archaea
