Gene	KEGG_module_number	Annotation
V1000004	M00183	RNA polymerase, bacteria
V1000546	M00197	Putative fructooligosaccharide transport system
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1576144	M00335	Sec (secretion) system
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1093074	M00197	Putative fructooligosaccharide transport system
V1430275	M00164	ATP synthase
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1043485	M00179	Ribosome, archaea
V1000018	M00179	Ribosome, archaea
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000545	M00197	Putative fructooligosaccharide transport system
V1000886	M00207	Putative multiple sugar transport system
V1006020	M00179	Ribosome, archaea
V1464170	M00164	ATP synthase
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1164548	M00183	RNA polymerase, bacteria
V1000943	M00179	Ribosome, archaea
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000017	M00178	Ribosome, bacteria
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1000841	M00164	ATP synthase
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1036606	M00164	ATP synthase
V1073967	M00179	Ribosome, archaea
V1431607	M00178	Ribosome, bacteria
V1482595	M00178	Ribosome, bacteria
V1000842	M00164	ATP synthase
V1000021	M00179	Ribosome, archaea
V1306539	M00179	Ribosome, archaea
V1001368	M00276	PTS system, mannose-specific II component
V1000547	M00197	Putative fructooligosaccharide transport system
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1000641	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000080	M00178	Ribosome, bacteria
V1886416	M00002	Glycolysis, core module involving three-carbon compounds
V1000840	M00164	ATP synthase
V1000003	M00178	Ribosome, bacteria
V1886558	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1580898	M00179	Ribosome, archaea
V1574099	M00276	PTS system, mannose-specific II component
V1836804	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1852084	M00179	Ribosome, archaea
V1519450	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1144133	M00197	Putative fructooligosaccharide transport system
V1158426	M00276	PTS system, mannose-specific II component
V1852083	M00179	Ribosome, archaea
V1000326	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000944	M00179	Ribosome, archaea
V1000040	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1000106	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1000011	M00179	Ribosome, archaea
V1033803	M00164	ATP synthase
V1592992	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1430573	M00197	Putative fructooligosaccharide transport system
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1491714	M00178	Ribosome, bacteria
V1000528	M00179	Ribosome, archaea
V1000013	M00179	Ribosome, archaea
V1340164	M00164	ATP synthase
V1143984	M00346	Formaldehyde assimilation, serine pathway
V1886409	M00335	Sec (secretion) system
V1000845	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1000005	M00179	Ribosome, archaea
V1000014	M00179	Ribosome, archaea
V1006727	M00178	Ribosome, bacteria
V1033302	M00335	Sec (secretion) system
V1464441	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1886466	M00179	Ribosome, archaea
V1000594	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1000012	M00179	Ribosome, archaea
V1164541	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1000601	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1356383	M00197	Putative fructooligosaccharide transport system
V1481366	M00178	Ribosome, bacteria
V1000630	M00335	Sec (secretion) system
V1381099	M00164	ATP synthase
V1886605	M00197	Putative fructooligosaccharide transport system
V1880077	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1852094	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1000009	M00179	Ribosome, archaea
V1886399	M00178	Ribosome, bacteria
V1297375	M00179	Ribosome, archaea
V1000168	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1064534	M00183	RNA polymerase, bacteria
V1469282	M00239	Peptides/nickel transport system
V1581637	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000502	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1033557	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1042355	M00276	PTS system, mannose-specific II component
V1000144	M00179	Ribosome, archaea
V1491685	M00346	Formaldehyde assimilation, serine pathway
V1000300	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000171	M00239	Peptides/nickel transport system
V1380652	M00179	Ribosome, archaea
V1006021	M00179	Ribosome, archaea
V1607575	M00260	DNA polymerase III complex, bacteria
