Gene	KEGG_module_number	Annotation
V1042479	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1013090	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1067188	M00178	Ribosome, bacteria
V1011312	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1230453	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1357096	M00197	Putative fructooligosaccharide transport system
V1015220	M00179	Ribosome, archaea
V1007060	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1042478	M00346	Formaldehyde assimilation, serine pathway
V1052940	M00179	Ribosome, archaea
V1042531	M00179	Ribosome, archaea
V1040877	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1074835	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1039342	M00179	Ribosome, archaea
V1010067	M00164	ATP synthase
V1010069	M00164	ATP synthase
V1066646	M00197	Putative fructooligosaccharide transport system
V1238174	M00179	Ribosome, archaea
V1014358	M00002	Glycolysis, core module involving three-carbon compounds
V1069595	M00178	Ribosome, bacteria
V1007076	M00197	Putative fructooligosaccharide transport system
V1012671	M00159	V/A-type ATPase, prokaryotes
V1042555	M00374	Dicarboxylate-hydroxybutyrate cycle
V1012333	M00346	Formaldehyde assimilation, serine pathway
V1015867	M00179	Ribosome, archaea
V1594514	M00164	ATP synthase
V1067311	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1040402	M00164	ATP synthase
V1042989	M00178	Ribosome, bacteria
V1041703	M00183	RNA polymerase, bacteria
V1041590	M00178	Ribosome, bacteria
V1014867	M00276	PTS system, mannose-specific II component
V1585250	M00179	Ribosome, archaea
V1069350	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1039792	M00179	Ribosome, archaea
V1430967	M00179	Ribosome, archaea
V1018031	M00179	Ribosome, archaea
V1153346	M00179	Ribosome, archaea
V1200593	M00197	Putative fructooligosaccharide transport system
V1066779	M00179	Ribosome, archaea
V1012423	M00179	Ribosome, archaea
V1010065	M00164	ATP synthase
V1042495	M00179	Ribosome, archaea
V1011423	M00121	Heme biosynthesis, glutamate => protoheme/siroheme
V1041069	M00179	Ribosome, archaea
V1640376	M00179	Ribosome, archaea
V1007059	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1039702	M00335	Sec (secretion) system
V1042496	M00179	Ribosome, archaea
V1014079	M00179	Ribosome, archaea
V1548048	M00183	RNA polymerase, bacteria
V1384350	M00179	Ribosome, archaea
V1015279	M00179	Ribosome, archaea
V1330982	M00197	Putative fructooligosaccharide transport system
V1070983	M00178	Ribosome, bacteria
V1067672	M00178	Ribosome, bacteria
V1561626	M00346	Formaldehyde assimilation, serine pathway
V1016739	M00179	Ribosome, archaea
V1007084	M00178	Ribosome, bacteria
V1230718	M00178	Ribosome, bacteria
V1640334	M00183	RNA polymerase, bacteria
V1012424	M00179	Ribosome, archaea
V1559772	M00346	Formaldehyde assimilation, serine pathway
V1039790	M00179	Ribosome, archaea
V1041426	M00083	Fatty acid biosynthesis, elongation
V1884213	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1603838	M00183	RNA polymerase, bacteria
V1041961	M00179	Ribosome, archaea
V1041071	M00179	Ribosome, archaea
V1349964	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1152387	M00346	Formaldehyde assimilation, serine pathway
V1012417	M00178	Ribosome, bacteria
V1012030	M00179	Ribosome, archaea
V1012414	M00179	Ribosome, archaea
V1012672	M00159	V/A-type ATPase, prokaryotes
V1039764	M00178	Ribosome, bacteria
V1012032	M00183	RNA polymerase, bacteria
V1231595	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1331626	M00179	Ribosome, archaea
V1043227	M00179	Ribosome, archaea
V1549656	M00197	Putative fructooligosaccharide transport system
V1012419	M00179	Ribosome, archaea
V1041962	M00178	Ribosome, bacteria
V1010661	M00164	ATP synthase
V1069949	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1068208	M00179	Ribosome, archaea
V1012422	M00179	Ribosome, archaea
V1014869	M00276	PTS system, mannose-specific II component
V1012420	M00179	Ribosome, archaea
V1007054	M00183	RNA polymerase, bacteria
V1041490	M00179	Ribosome, archaea
V1585936	M00179	Ribosome, archaea
V1010659	M00164	ATP synthase
V1010068	M00164	ATP synthase
V1041068	M00179	Ribosome, archaea
V1271577	M00164	ATP synthase
V1067671	M00183	RNA polymerase, bacteria
V1313717	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1041070	M00179	Ribosome, archaea
V1042267	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1039794	M00179	Ribosome, archaea
V1069596	M00179	Ribosome, archaea
V1071534	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1375650	M00335	Sec (secretion) system
V1388020	M00179	Ribosome, archaea
V1040696	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1368386	M00179	Ribosome, archaea
V1007070	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1014359	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1039717	M00376	3-Hydroxypropionate bi-cycle
V1039789	M00335	Sec (secretion) system
V1103826	M00178	Ribosome, bacteria
V1068201	M00179	Ribosome, archaea
V1104099	M00183	RNA polymerase, bacteria
V1017017	M00178	Ribosome, bacteria
V1007073	M00197	Putative fructooligosaccharide transport system
V1012031	M00179	Ribosome, archaea
V1016738	M00179	Ribosome, archaea
V1042990	M00178	Ribosome, bacteria
V1585624	M00346	Formaldehyde assimilation, serine pathway
V1067559	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1039343	M00178	Ribosome, bacteria
V1066130	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1154539	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1516671	M00178	Ribosome, bacteria
