Gene	KEGG_module_number	Annotation
V1073455	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1392272	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1081813	M00164	ATP synthase
V1075033	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1152427	M00374	Dicarboxylate-hydroxybutyrate cycle
V1368901	M00197	Putative fructooligosaccharide transport system
V1077152	M00179	Ribosome, archaea
V1394389	M00197	Putative fructooligosaccharide transport system
V1073738	M00179	Ribosome, archaea
V1499048	M00183	RNA polymerase, bacteria
V1072266	M00346	Formaldehyde assimilation, serine pathway
V1138842	M00178	Ribosome, bacteria
V1000546	M00197	Putative fructooligosaccharide transport system
V1036256	M00197	Putative fructooligosaccharide transport system
V1079141	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1080826	M00179	Ribosome, archaea
V1139649	M00183	RNA polymerase, bacteria
V1013684	M00207	Putative multiple sugar transport system
V1081021	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1884213	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1073737	M00179	Ribosome, archaea
V1000545	M00197	Putative fructooligosaccharide transport system
V1000004	M00183	RNA polymerase, bacteria
V1272241	M00179	Ribosome, archaea
V1884207	M00197	Putative fructooligosaccharide transport system
V1152905	M00164	ATP synthase
V1238174	M00179	Ribosome, archaea
V1043485	M00179	Ribosome, archaea
V1277310	M00335	Sec (secretion) system
V1368958	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1576144	M00335	Sec (secretion) system
V1574099	M00276	PTS system, mannose-specific II component
V1484064	M00197	Putative fructooligosaccharide transport system
V1145548	M00178	Ribosome, bacteria
V1082180	M00376	3-Hydroxypropionate bi-cycle
V1076810	M00178	Ribosome, bacteria
V1139283	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
V1001368	M00276	PTS system, mannose-specific II component
V1500737	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1083488	M00179	Ribosome, archaea
V1000018	M00179	Ribosome, archaea
V1085162	M00020	Serine biosynthesis, glycerate-3P => serine
V1000017	M00178	Ribosome, bacteria
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1080488	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
V1000943	M00179	Ribosome, archaea
V1138313	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1076102	M00179	Ribosome, archaea
V1080453	M00335	Sec (secretion) system
V1384350	M00179	Ribosome, archaea
V1617409	M00178	Ribosome, bacteria
V1430275	M00164	ATP synthase
V1440841	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1089092	M00178	Ribosome, bacteria
V1613141	M00179	Ribosome, archaea
V1015867	M00179	Ribosome, archaea
V1269313	M00179	Ribosome, archaea
V1177532	M00179	Ribosome, archaea
V1577002	M00179	Ribosome, archaea
V1073923	M00183	RNA polymerase, bacteria
V1140098	M00164	ATP synthase
V1464170	M00164	ATP synthase
V1441127	M00179	Ribosome, archaea
V1038252	M00164	ATP synthase
V1000021	M00179	Ribosome, archaea
V1073967	M00179	Ribosome, archaea
V1432853	M00178	Ribosome, bacteria
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1000841	M00164	ATP synthase
V1093074	M00197	Putative fructooligosaccharide transport system
V1375699	M00207	Putative multiple sugar transport system
V1138253	M00376	3-Hydroxypropionate bi-cycle
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1158426	M00276	PTS system, mannose-specific II component
V1015868	M00179	Ribosome, archaea
V1080015	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
V1037518	M00178	Ribosome, bacteria
V1014932	M00239	Peptides/nickel transport system
V1269402	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1075073	M00179	Ribosome, archaea
V1482595	M00178	Ribosome, bacteria
V1154539	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1083710	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1138661	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1073415	M00164	ATP synthase
V1141150	M00346	Formaldehyde assimilation, serine pathway
V1038257	M00258	Putative ABC transport system
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1006020	M00179	Ribosome, archaea
V1266145	M00368	Ethylene biosynthesis, methionine => ethylene
V1366835	M00179	Ribosome, archaea
V1012602	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1140670	M00164	ATP synthase
V1612264	M00178	Ribosome, bacteria
V1431607	M00178	Ribosome, bacteria
V1357847	M00164	ATP synthase
V1806795	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1083487	M00179	Ribosome, archaea
V1073413	M00164	ATP synthase
V1076103	M00179	Ribosome, archaea
V1108928	M00164	ATP synthase
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1083489	M00335	Sec (secretion) system
V1073414	M00164	ATP synthase
V1291747	M00376	3-Hydroxypropionate bi-cycle
V1138984	M00179	Ribosome, archaea
V1081814	M00164	ATP synthase
V1436794	M00197	Putative fructooligosaccharide transport system
V1144133	M00197	Putative fructooligosaccharide transport system
V1074700	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1082561	M00178	Ribosome, bacteria
V1367869	M00206	Cellobiose transport system
V1073798	M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
V1073922	M00179	Ribosome, archaea
V1266177	M00239	Peptides/nickel transport system
V1265052	M00346	Formaldehyde assimilation, serine pathway
V1000003	M00178	Ribosome, bacteria
V1076928	M00178	Ribosome, bacteria
V1138844	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1012925	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1367057	M00183	RNA polymerase, bacteria
V1554521	M00207	Putative multiple sugar transport system
V1036261	M00197	Putative fructooligosaccharide transport system
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1249122	M00179	Ribosome, archaea
V1000842	M00164	ATP synthase
V1036227	M00239	Peptides/nickel transport system
V1841419	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1036606	M00164	ATP synthase
V1164548	M00183	RNA polymerase, bacteria
V1391945	M00276	PTS system, mannose-specific II component
V1076929	M00178	Ribosome, bacteria
V1580898	M00179	Ribosome, archaea
V1440527	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1144210	M00179	Ribosome, archaea
V1139917	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1364027	M00197	Putative fructooligosaccharide transport system
V1011014	M00164	ATP synthase
V1037422	M00164	ATP synthase
V1051831	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1384044	M00197	Putative fructooligosaccharide transport system
V1080858	M00335	Sec (secretion) system
V1000840	M00164	ATP synthase
V1501378	M00179	Ribosome, archaea
V1082432	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1430573	M00197	Putative fructooligosaccharide transport system
V1072215	M00144	NADH:quinone oxidoreductase, prokaryotes
V1038267	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1036826	M00374	Dicarboxylate-hydroxybutyrate cycle
V1000886	M00207	Putative multiple sugar transport system
V1011016	M00164	ATP synthase
V1526141	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1081266	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1138351	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1000080	M00178	Ribosome, bacteria
V1075480	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1383841	M00179	Ribosome, archaea
V1073739	M00179	Ribosome, archaea
V1374846	M00179	Ribosome, archaea
V1500210	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1265517	M00206	Cellobiose transport system
V1018464	M00179	Ribosome, archaea
V1074475	M00144	NADH:quinone oxidoreductase, prokaryotes
V1080997	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1356383	M00197	Putative fructooligosaccharide transport system
V1016890	M00178	Ribosome, bacteria
V1327984	M00374	Dicarboxylate-hydroxybutyrate cycle
V1037423	M00164	ATP synthase
V1249468	M00178	Ribosome, bacteria
V1306539	M00179	Ribosome, archaea
V1445419	M00002	Glycolysis, core module involving three-carbon compounds
V1074550	M00179	Ribosome, archaea
V1077624	M00179	Ribosome, archaea
V1368877	M00197	Putative fructooligosaccharide transport system
V1138617	M00115	NAD biosynthesis, aspartate => NAD
V1294043	M00179	Ribosome, archaea
V1080012	M00002	Glycolysis, core module involving three-carbon compounds
V1000011	M00179	Ribosome, archaea
V1380987	M00179	Ribosome, archaea
V1245732	M00346	Formaldehyde assimilation, serine pathway
V1000641	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1852084	M00179	Ribosome, archaea
V1039764	M00178	Ribosome, bacteria
V1362785	M00197	Putative fructooligosaccharide transport system
V1138614	M00179	Ribosome, archaea
V1084373	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1074548	M00179	Ribosome, archaea
V1172803	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1237403	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
V1139144	M00179	Ribosome, archaea
V1000547	M00197	Putative fructooligosaccharide transport system
V1852083	M00179	Ribosome, archaea
V1073924	M00178	Ribosome, bacteria
V1576738	M00376	3-Hydroxypropionate bi-cycle
V1011950	M00335	Sec (secretion) system
V1139691	M00335	Sec (secretion) system
V1000519	M00268	PTS system, alpha-glucoside-specific II component
V1009516	M00346	Formaldehyde assimilation, serine pathway
V1000944	M00179	Ribosome, archaea
V1080489	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1172076	M00206	Cellobiose transport system
V1081878	M00346	Formaldehyde assimilation, serine pathway
V1043301	M00179	Ribosome, archaea
V1033803	M00164	ATP synthase
V1012852	M00183	RNA polymerase, bacteria
V1146313	M00164	ATP synthase
V1073412	M00164	ATP synthase
V1084672	M00335	Sec (secretion) system
V1008929	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1079230	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1392259	M00183	RNA polymerase, bacteria
V1036784	M00244	Putative zinc/manganese transport system
V1530889	M00179	Ribosome, archaea
V1431760	M00179	Ribosome, archaea
V1038324	M00248	Antibiotic transport system
V1081088	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1282227	M00178	Ribosome, bacteria
V1074528	M00083	Fatty acid biosynthesis, elongation
V1879847	M00197	Putative fructooligosaccharide transport system
V1277970	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1576731	M00179	Ribosome, archaea
V1033302	M00335	Sec (secretion) system
V1564708	M00242	Zinc transport system
V1073589	M00178	Ribosome, bacteria
V1013990	M00178	Ribosome, bacteria
V1154707	M00159	V/A-type ATPase, prokaryotes
V1000009	M00179	Ribosome, archaea
V1392083	M00115	NAD biosynthesis, aspartate => NAD
V1036422	M00086	beta-Oxidation, acyl-CoA synthesis
V1010209	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1075539	M00083	Fatty acid biosynthesis, elongation
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1841399	M00144	NADH:quinone oxidoreductase, prokaryotes
V1000012	M00179	Ribosome, archaea
V1138642	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1038271	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1042355	M00276	PTS system, mannose-specific II component
V1499268	M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
V1139821	M00159	V/A-type ATPase, prokaryotes
V1297375	M00179	Ribosome, archaea
V1138734	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1074886	M00178	Ribosome, bacteria
V1381099	M00164	ATP synthase
V1275019	M00183	RNA polymerase, bacteria
V1072282	M00144	NADH:quinone oxidoreductase, prokaryotes
V1009870	M00179	Ribosome, archaea
V1006125	M00346	Formaldehyde assimilation, serine pathway
V1074141	M00335	Sec (secretion) system
V1253211	M00179	Ribosome, archaea
V1581637	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1392533	M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
V1000845	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1140341	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1249999	M00164	ATP synthase
V1158372	M00164	ATP synthase
V1268572	M00179	Ribosome, archaea
V1006265	M00178	Ribosome, bacteria
V1011015	M00164	ATP synthase
V1383824	M00239	Peptides/nickel transport system
V1185257	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1072214	M00144	NADH:quinone oxidoreductase, prokaryotes
V1337146	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
V1006021	M00179	Ribosome, archaea
V1000013	M00179	Ribosome, archaea
V1687741	M00197	Putative fructooligosaccharide transport system
V1017590	M00033	Ectoine biosynthesis, aspartate => ectoine
V1083902	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1074292	M00115	NAD biosynthesis, aspartate => NAD
V1380652	M00179	Ribosome, archaea
V1082647	M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
V1157569	M00164	ATP synthase
V1013406	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1080456	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1081148	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1374087	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1334911	M00179	Ribosome, archaea
V1082075	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
V1820421	M00144	NADH:quinone oxidoreductase, prokaryotes
V1074547	M00179	Ribosome, archaea
V1020418	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1083554	M00083	Fatty acid biosynthesis, elongation
V1313683	M00164	ATP synthase
V1247337	M00183	RNA polymerase, bacteria
V1000005	M00179	Ribosome, archaea
V1032060	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
V1592800	M00179	Ribosome, archaea
V1038272	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1200366	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1368681	M00183	RNA polymerase, bacteria
V1139685	M00178	Ribosome, bacteria
V1162256	M00179	Ribosome, archaea
V1154952	M00179	Ribosome, archaea
V1339706	M00276	PTS system, mannose-specific II component
V1279223	M00178	Ribosome, bacteria
V1011012	M00164	ATP synthase
V1253512	M00164	ATP synthase
V1139605	M00179	Ribosome, archaea
V1177861	M00183	RNA polymerase, bacteria
V1612381	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1354624	M00335	Sec (secretion) system
V1374419	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1081290	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1075074	M00179	Ribosome, archaea
V1141223	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1500012	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1016290	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1362039	M00083	Fatty acid biosynthesis, elongation
V1139078	M00239	Peptides/nickel transport system
V1138429	M00311	2-oxoglutarate:ferredoxin oxidoreductase
V1013685	M00207	Putative multiple sugar transport system
V1553674	M00179	Ribosome, archaea
V1018324	M00178	Ribosome, bacteria
V1145315	M00183	RNA polymerase, bacteria
V1500057	M00179	Ribosome, archaea
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1011011	M00164	ATP synthase
V1074108	M00311	2-oxoglutarate:ferredoxin oxidoreductase
V1074266	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1557302	M00121	Heme biosynthesis, glutamate => protoheme/siroheme
V1400258	M00002	Glycolysis, core module involving three-carbon compounds
V1083359	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1886409	M00335	Sec (secretion) system
V1154407	M00183	RNA polymerase, bacteria
V1156648	M00164	ATP synthase
V1879882	M00179	Ribosome, archaea
V1820405	M00335	Sec (secretion) system
V1036258	M00207	Putative multiple sugar transport system
V1375366	M00153	Cytochrome d ubiquinol oxidase
V1074549	M00179	Ribosome, archaea
V1440773	M00179	Ribosome, archaea
V1082181	M00376	3-Hydroxypropionate bi-cycle
V1491714	M00178	Ribosome, bacteria
V1162264	M00258	Putative ABC transport system
V1139151	M00260	DNA polymerase III complex, bacteria
V1558287	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1370956	M00206	Cellobiose transport system
V1500586	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1481186	M00178	Ribosome, bacteria
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1383863	M00178	Ribosome, bacteria
V1558995	M00335	Sec (secretion) system
V1036111	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1250750	M00164	ATP synthase
V1368264	M00197	Putative fructooligosaccharide transport system
V1440590	M00179	Ribosome, archaea
V1000171	M00239	Peptides/nickel transport system
V1361584	M00179	Ribosome, archaea
V1073609	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
V1006727	M00178	Ribosome, bacteria
V1411084	M00164	ATP synthase
V1069332	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1084463	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
V1445140	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1301930	M00178	Ribosome, bacteria
V1527021	M00002	Glycolysis, core module involving three-carbon compounds
V1237649	M00244	Putative zinc/manganese transport system
V1268948	M00183	RNA polymerase, bacteria
V1139033	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1886416	M00002	Glycolysis, core module involving three-carbon compounds
V1561884	M00178	Ribosome, bacteria
V1036407	M00188	NitT/TauT family transport system
V1841394	M00083	Fatty acid biosynthesis, elongation
V1139807	M00159	V/A-type ATPase, prokaryotes
V1082074	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000020	M00179	Ribosome, archaea
V1374340	M00335	Sec (secretion) system
V1009869	M00178	Ribosome, bacteria
V1000528	M00179	Ribosome, archaea
