Gene	KEGG_pathwayID	Annotation
V1872766	map00240	Pyrimidine metabolism
V1211201	map03070	Bacterial secretion system
V1886387	map03020	RNA polymerase
V1600200	map02060	Phosphotransferase system (PTS)
V1136163	map03010	Ribosome
V1136440	map03010	Ribosome
V1136510	map03010	Ribosome
V1597389	map03010	Ribosome
V1448284	map00710	Carbon fixation in photosynthetic organisms
V1136465	map03010	Ribosome
V1154972	map03010	Ribosome
V1213484	map02030	Bacterial chemotaxis
V1799342	map03020	RNA polymerase
V1136462	map03010	Ribosome
V1136121	map03010	Ribosome
V1154969	map03010	Ribosome
V1237698	map03010	Ribosome
V1136437	map03010	Ribosome
V1154974	map03010	Ribosome
V1213513	map00500	Starch and sucrose metabolism
V1203576	map00680	Methane metabolism
V1155228	map04626	Plant-pathogen interaction
V1448327	map00195	Photosynthesis
V1211229	map00195	Photosynthesis
V1136049	map03010	Ribosome
V1136573	map03010	Ribosome
V1880135	map04626	Plant-pathogen interaction
V1819423	map00030	Pentose phosphate pathway
V1157115	map03018	RNA degradation
V1156179	map03010	Ribosome
V1213485	map02010	ABC transporters
V1448519	map05010	Alzheimer's disease
V1211184	map03020	RNA polymerase
V1599264	map00720	Carbon fixation pathways in prokaryotes
V1136305	map00500	Starch and sucrose metabolism
V1136438	map03010	Ribosome
V1136463	map03010	Ribosome
V1799340	map03010	Ribosome
V1136265	map03440	Homologous recombination
V1203556	map00061	Fatty acid biosynthesis
V1203335	map00300	Lysine biosynthesis
V1136304	map02010	ABC transporters
V1212427	map00230	Purine metabolism
V1615058	map00760	Nicotinate and nicotinamide metabolism
V1136388	map00710	Carbon fixation in photosynthetic organisms
V1136418	map00710	Carbon fixation in photosynthetic organisms
V1448286	map00051	Fructose and mannose metabolism
V1213705	map00710	Carbon fixation in photosynthetic organisms
V1136122	map03440	Homologous recombination
V1886547	map05010	Alzheimer's disease
V1819486	map03070	Bacterial secretion system
V1203570	map00520	Amino sugar and nucleotide sugar metabolism
V1136447	map00710	Carbon fixation in photosynthetic organisms
V1211345	map00195	Photosynthesis
V1212665	map00620	Pyruvate metabolism
V1203478	map02060	Phosphotransferase system (PTS)
V1136252	map00521	Streptomycin biosynthesis
V1599322	map03010	Ribosome
V1912376	map00620	Pyruvate metabolism
V1136479	map00910	Nitrogen metabolism
V1880284	map03010	Ribosome
V1599149	map00970	Aminoacyl-tRNA biosynthesis
V1154970	map03010	Ribosome
V1599332	map03018	RNA degradation
V1601156	map00010	Glycolysis / Gluconeogenesis
V1136045	map03010	Ribosome
V1423938	map03018	RNA degradation
V1599150	map03440	Homologous recombination
