Gene	KEGG_pathwayID	Annotation
V1000546	map02030	Bacterial chemotaxis
V1000122	map04626	Plant-pathogen interaction
V1000549	map00500	Starch and sucrose metabolism
V1000545	map02010	ABC transporters
V1464571	map04626	Plant-pathogen interaction
V1000004	map03020	RNA polymerase
V1073455	map00710	Carbon fixation in photosynthetic organisms
V1436641	map00650	Butanoate metabolism
V1000171	map02010	ABC transporters
V1093074	map02030	Bacterial chemotaxis
V1001368	map02060	Phosphotransferase system (PTS)
V1000548	map00500	Starch and sucrose metabolism
V1464170	map00195	Photosynthesis
V1430275	map00195	Photosynthesis
V1577228	map05152	Tuberculosis
V1000116	map04930	Type II diabetes mellitus
V1000639	map05010	Alzheimer's disease
V1574099	map02060	Phosphotransferase system (PTS)
V1391945	map02060	Phosphotransferase system (PTS)
V1576144	map03070	Bacterial secretion system
V1485691	map04626	Plant-pathogen interaction
V1164548	map03020	RNA polymerase
V1158426	map02060	Phosphotransferase system (PTS)
V1000018	map03010	Ribosome
V1075033	map05010	Alzheimer's disease
V1073967	map03010	Ribosome
V1912442	map00680	Methane metabolism
V1033869	map04626	Plant-pathogen interaction
V1431607	map03010	Ribosome
V1138842	map03010	Ribosome
V1000841	map00195	Photosynthesis
V1000943	map03010	Ribosome
V1000008	map00230	Purine metabolism
V1000547	map02010	ABC transporters
V1010320	map00630	Glyoxylate and dicarboxylate metabolism
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1000021	map03010	Ribosome
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1306539	map03010	Ribosome
V1000840	map00195	Photosynthesis
V1500439	map04626	Plant-pathogen interaction
V1482595	map03010	Ribosome
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1392272	map00710	Carbon fixation in photosynthetic organisms
V1072266	map03018	RNA degradation
V1000017	map03010	Ribosome
V1036606	map00195	Photosynthesis
V1000305	map03018	RNA degradation
V1292575	map04626	Plant-pathogen interaction
V1356383	map02010	ABC transporters
V1077152	map03010	Ribosome
V1580898	map03010	Ribosome
V1339929	map00640	Propanoate metabolism
V1491714	map03010	Ribosome
V1000842	map00195	Photosynthesis
V1000040	map00240	Pyrimidine metabolism
V1499048	map03020	RNA polymerase
V1144210	map03010	Ribosome
V1006727	map03010	Ribosome
V1074069	map05152	Tuberculosis
V1481435	map02060	Phosphotransferase system (PTS)
V1071037	map02010	ABC transporters
