Gene	KEGG_pathwayID	Annotation
V1136163	map03010	Ribosome
V1203576	map00680	Methane metabolism
V1211201	map03070	Bacterial secretion system
V1886387	map03020	RNA polymerase
V1136510	map03010	Ribosome
V1597389	map03010	Ribosome
V1136440	map03010	Ribosome
V1136121	map03010	Ribosome
V1136465	map03010	Ribosome
V1448327	map00195	Photosynthesis
V1211229	map00195	Photosynthesis
V1872766	map00240	Pyrimidine metabolism
V1600200	map02060	Phosphotransferase system (PTS)
V1213484	map02030	Bacterial chemotaxis
V1213705	map00710	Carbon fixation in photosynthetic organisms
V1136388	map00710	Carbon fixation in photosynthetic organisms
V1154974	map03010	Ribosome
V1799342	map03020	RNA polymerase
V1154972	map03010	Ribosome
V1213559	map02010	ABC transporters
V1448309	map00630	Glyoxylate and dicarboxylate metabolism
V1136462	map03010	Ribosome
V1448519	map05010	Alzheimer's disease
V1237698	map03010	Ribosome
V1157115	map03018	RNA degradation
V1154969	map03010	Ribosome
V1155228	map04626	Plant-pathogen interaction
V1136049	map03010	Ribosome
V1203478	map02060	Phosphotransferase system (PTS)
V1213513	map00500	Starch and sucrose metabolism
V1136437	map03010	Ribosome
V1211184	map03020	RNA polymerase
V1211334	map03018	RNA degradation
V1799340	map03010	Ribosome
V1880135	map04626	Plant-pathogen interaction
V1156179	map03010	Ribosome
V1211345	map00195	Photosynthesis
V1886547	map05010	Alzheimer's disease
V1615058	map00760	Nicotinate and nicotinamide metabolism
V1136438	map03010	Ribosome
V1599158	map00670	One carbon pool by folate
V1158332	map04930	Type II diabetes mellitus
V1203556	map00061	Fatty acid biosynthesis
V1213485	map02010	ABC transporters
V1136463	map03010	Ribosome
V1212427	map00230	Purine metabolism
V1203570	map00520	Amino sugar and nucleotide sugar metabolism
V1136573	map03010	Ribosome
V1136448	map02060	Phosphotransferase system (PTS)
V1597118	map00195	Photosynthesis
V1009516	map03018	RNA degradation
V1211182	map00970	Aminoacyl-tRNA biosynthesis
V1136305	map00500	Starch and sucrose metabolism
V1301930	map03010	Ribosome
V1136122	map03440	Homologous recombination
V1599309	map00970	Aminoacyl-tRNA biosynthesis
V1136382	map03010	Ribosome
V1213499	map00195	Photosynthesis
V1334911	map03010	Ribosome
V1136304	map02010	ABC transporters
V1136272	map00620	Pyruvate metabolism
V1136265	map03440	Homologous recombination
V1423938	map03018	RNA degradation
V1880284	map03010	Ribosome
V1599322	map03010	Ribosome
V1136546	map02010	ABC transporters
V1599154	map05152	Tuberculosis
V1599242	map04146	Peroxisome
V1294914	map03440	Homologous recombination
V1211279	map00480	Glutathione metabolism
V1136133	map05152	Tuberculosis
V1140472	map03010	Ribosome
V1885262	map00650	Butanoate metabolism
V1885690	map05150	Staphylococcus aureus infection
V1384044	map02030	Bacterial chemotaxis
V1154970	map03010	Ribosome
V1136045	map03010	Ribosome
V1213504	map03010	Ribosome
V1136324	map00970	Aminoacyl-tRNA biosynthesis
V1136252	map00521	Streptomycin biosynthesis
V1015704	map00650	Butanoate metabolism
V1156008	map00680	Methane metabolism
V1886721	map04930	Type II diabetes mellitus
V1136076	map00520	Amino sugar and nucleotide sugar metabolism
