Gene	KEGG_pathwayID	Annotation
V1008495	map00650	Butanoate metabolism
V1464571	map04626	Plant-pathogen interaction
V1013431	map00650	Butanoate metabolism
V1000122	map04626	Plant-pathogen interaction
V1013311	map00630	Glyoxylate and dicarboxylate metabolism
V1073455	map00710	Carbon fixation in photosynthetic organisms
V1000004	map03020	RNA polymerase
V1000546	map02030	Bacterial chemotaxis
V1000639	map05010	Alzheimer's disease
V1074069	map05152	Tuberculosis
V1200468	map04141	Protein processing in endoplasmic reticulum
V1008596	map05152	Tuberculosis
V1594291	map04626	Plant-pathogen interaction
V1577228	map05152	Tuberculosis
V1392272	map00710	Carbon fixation in photosynthetic organisms
V1013304	map00450	Selenocompound metabolism
V1015375	map05152	Tuberculosis
V1368901	map02030	Bacterial chemotaxis
V1010661	map00195	Photosynthesis
V1000116	map04930	Type II diabetes mellitus
V1138803	map05152	Tuberculosis
V1576144	map03070	Bacterial secretion system
V1000549	map00500	Starch and sucrose metabolism
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1075033	map05010	Alzheimer's disease
V1010659	map00195	Photosynthesis
V1000018	map03010	Ribosome
V1430275	map00195	Photosynthesis
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1576661	map00910	Nitrogen metabolism
V1000943	map03010	Ribosome
V1043485	map03010	Ribosome
V1394389	map02030	Bacterial chemotaxis
V1431607	map03010	Ribosome
V1313717	map00720	Carbon fixation pathways in prokaryotes
V1464170	map00195	Photosynthesis
V1501870	map05152	Tuberculosis
V1912442	map00680	Methane metabolism
V1000642	map03018	RNA degradation
V1000545	map02010	ABC transporters
V1166924	map05152	Tuberculosis
V1145082	map04973	Carbohydrate digestion and absorption
V1036256	map02010	ABC transporters
V1164548	map03020	RNA polymerase
V1884207	map02010	ABC transporters
V1000017	map03010	Ribosome
V1073967	map03010	Ribosome
V1010660	map00195	Photosynthesis
V1000842	map00195	Photosynthesis
V1500439	map04626	Plant-pathogen interaction
V1000008	map00230	Purine metabolism
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1231237	map00643	Styrene degradation
V1000171	map02010	ABC transporters
V1436641	map00650	Butanoate metabolism
V1072266	map03018	RNA degradation
V1485691	map04626	Plant-pathogen interaction
V1033869	map04626	Plant-pathogen interaction
V1000548	map00500	Starch and sucrose metabolism
V1036164	map05152	Tuberculosis
V1145548	map03010	Ribosome
V1000841	map00195	Photosynthesis
V1482595	map03010	Ribosome
V1353182	map05152	Tuberculosis
V1337358	map04621	NOD-like receptor signaling pathway
V1574099	map02060	Phosphotransferase system (PTS)
V1362785	map02010	ABC transporters
V1000021	map03010	Ribosome
V1001368	map02060	Phosphotransferase system (PTS)
V1007013	map00626	Naphthalene degradation
V1036606	map00195	Photosynthesis
V1080812	map05215	Prostate cancer
V1015279	map03010	Ribosome
V1144210	map03010	Ribosome
V1339929	map00640	Propanoate metabolism
V1580898	map03010	Ribosome
V1152427	map00720	Carbon fixation pathways in prokaryotes
V1036259	map00500	Starch and sucrose metabolism
V1000305	map03018	RNA degradation
V1081813	map00195	Photosynthesis
V1640334	map03020	RNA polymerase
V1158426	map02060	Phosphotransferase system (PTS)
V1038361	map04626	Plant-pathogen interaction
V1366835	map03010	Ribosome
V1000641	map00710	Carbon fixation in photosynthetic organisms
V1009088	map00650	Butanoate metabolism
V1152674	map05152	Tuberculosis
V1013092	map00650	Butanoate metabolism
V1327667	map05152	Tuberculosis
V1010662	map00195	Photosynthesis
V1000534	map00680	Methane metabolism
V1306539	map03010	Ribosome
V1006020	map03010	Ribosome
V1375318	map05152	Tuberculosis
V1603838	map03020	RNA polymerase
V1010664	map00195	Photosynthesis
V1038252	map00195	Photosynthesis
V1249839	map05152	Tuberculosis
V1484064	map02030	Bacterial chemotaxis
V1292575	map04626	Plant-pathogen interaction
V1000840	map00195	Photosynthesis
V1491714	map03010	Ribosome
V1051831	map00710	Carbon fixation in photosynthetic organisms
V1000080	map03010	Ribosome
V1481435	map02060	Phosphotransferase system (PTS)
V1578774	map04626	Plant-pathogen interaction
V1000596	map05152	Tuberculosis
V1086903	map05152	Tuberculosis
V1265462	map05152	Tuberculosis
V1077152	map03010	Ribosome
V1015704	map00650	Butanoate metabolism
V1138313	map00520	Amino sugar and nucleotide sugar metabolism
V1852084	map03010	Ribosome
V1013434	map04011	MAPK signaling pathway - yeast
V1010658	map00195	Photosynthesis
V1595708	map03440	Homologous recombination
V1138842	map03010	Ribosome
V1000547	map02010	ABC transporters
V1076687	map00860	Porphyrin and chlorophyll metabolism
V1011843	map04626	Plant-pathogen interaction
V1295196	map04112	Cell cycle - Caulobacter
V1016739	map03010	Ribosome
V1152905	map00195	Photosynthesis
V1541236	map04626	Plant-pathogen interaction
V1576868	map05152	Tuberculosis
V1006798	map05215	Prostate cancer
V1139283	map00524	Butirosin and neomycin biosynthesis
V1140098	map00195	Photosynthesis
V1000944	map03010	Ribosome
V1011312	map00720	Carbon fixation pathways in prokaryotes
V1000003	map03010	Ribosome
V1013432	map00362	Benzoate degradation
V1073738	map03010	Ribosome
V1368877	map02030	Bacterial chemotaxis
V1519450	map00710	Carbon fixation in photosynthetic organisms
V1434355	map00910	Nitrogen metabolism
V1576655	map00903	Limonene and pinene degradation
V1297356	map04626	Plant-pathogen interaction
V1886416	map04930	Type II diabetes mellitus
V1000845	map00520	Amino sugar and nucleotide sugar metabolism
V1265052	map03018	RNA degradation
V1852083	map03010	Ribosome
V1886558	map00710	Carbon fixation in photosynthetic organisms
V1340131	map00520	Amino sugar and nucleotide sugar metabolism
V1499048	map03020	RNA polymerase
V1687741	map02010	ABC transporters
V1445419	map04930	Type II diabetes mellitus
V1481366	map03010	Ribosome
V1640376	map03010	Ribosome
V1068939	map00500	Starch and sucrose metabolism
V1552772	map04930	Type II diabetes mellitus
V1000011	map03010	Ribosome
V1272241	map03010	Ribosome
V1138616	map04910	Insulin signaling pathway
V1836804	map00970	Aminoacyl-tRNA biosynthesis
V1592992	map00970	Aminoacyl-tRNA biosynthesis
V1340164	map00195	Photosynthesis
V1033902	map05010	Alzheimer's disease
V1266177	map02010	ABC transporters
V1081021	map00970	Aminoacyl-tRNA biosynthesis
V1594574	map05152	Tuberculosis
V1033803	map00195	Photosynthesis
V1018936	map00480	Glutathione metabolism
V1011879	map03018	RNA degradation
V1886409	map03070	Bacterial secretion system
V1000013	map03010	Ribosome
V1000005	map03010	Ribosome
V1010943	map03020	RNA polymerase
V1392216	map05152	Tuberculosis
V1139649	map03020	RNA polymerase
V1007899	map00620	Pyruvate metabolism
V1009516	map03018	RNA degradation
V1074700	map00710	Carbon fixation in photosynthetic organisms
V1391945	map02060	Phosphotransferase system (PTS)
V1364027	map02010	ABC transporters
V1368958	map05010	Alzheimer's disease
V1162245	map04910	Insulin signaling pathway
V1173647	map04626	Plant-pathogen interaction
V1526141	map00970	Aminoacyl-tRNA biosynthesis
V1006727	map03010	Ribosome
V1381099	map00195	Photosynthesis
V1230964	map04112	Cell cycle - Caulobacter
V1101641	map00500	Starch and sucrose metabolism
V1595332	map00195	Photosynthesis
V1010180	map00061	Fatty acid biosynthesis
V1085162	map00680	Methane metabolism
V1484106	map05152	Tuberculosis
V1081232	map00650	Butanoate metabolism
V1560186	map00270	Cysteine and methionine metabolism
V1237835	map02010	ABC transporters
V1000528	map03010	Ribosome
V1073798	map00750	Vitamin B6 metabolism
V1144133	map02010	ABC transporters
V1806808	map00710	Carbon fixation in photosynthetic organisms
V1440841	map00710	Carbon fixation in photosynthetic organisms
V1265517	map02010	ABC transporters
V1364188	map00195	Photosynthesis
