Gene	KEGG_module_number	Annotation
V1872766	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1211201	M00335	Sec (secretion) system
V1886387	M00183	RNA polymerase, bacteria
V1136163	M00179	Ribosome, archaea
V1136440	M00178	Ribosome, bacteria
V1136510	M00179	Ribosome, archaea
V1597389	M00179	Ribosome, archaea
V1136465	M00179	Ribosome, archaea
V1154972	M00179	Ribosome, archaea
V1213484	M00197	Putative fructooligosaccharide transport system
V1799342	M00183	RNA polymerase, bacteria
V1136462	M00179	Ribosome, archaea
V1136121	M00178	Ribosome, bacteria
V1154969	M00179	Ribosome, archaea
V1237698	M00179	Ribosome, archaea
V1136437	M00179	Ribosome, archaea
V1154974	M00178	Ribosome, bacteria
V1203576	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1448327	M00164	ATP synthase
V1211229	M00164	ATP synthase
V1136049	M00179	Ribosome, archaea
V1136573	M00179	Ribosome, archaea
V1157115	M00346	Formaldehyde assimilation, serine pathway
V1156179	M00178	Ribosome, bacteria
V1213485	M00197	Putative fructooligosaccharide transport system
V1448519	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1211184	M00183	RNA polymerase, bacteria
V1599264	M00374	Dicarboxylate-hydroxybutyrate cycle
V1136438	M00179	Ribosome, archaea
V1136463	M00179	Ribosome, archaea
V1799340	M00179	Ribosome, archaea
V1203335	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
V1136304	M00197	Putative fructooligosaccharide transport system
V1212427	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1136388	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1136418	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1213705	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1886547	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1819486	M00333	Type IV secretion system
V1203570	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1136447	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
V1211345	M00164	ATP synthase
V1203478	M00276	PTS system, mannose-specific II component
V1599322	M00179	Ribosome, archaea
V1880284	M00179	Ribosome, archaea
V1599149	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1154970	M00179	Ribosome, archaea
V1136045	M00179	Ribosome, archaea
V1423938	M00346	Formaldehyde assimilation, serine pathway
V1599150	M00260	DNA polymerase III complex, bacteria
V1211334	M00346	Formaldehyde assimilation, serine pathway
V1032620	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1599309	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1600632	M00258	Putative ABC transport system
V1211176	M00273	PTS system, fructose-specific II component
V1216924	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1158332	M00002	Glycolysis, core module involving three-carbon compounds
V1597118	M00164	ATP synthase
V1237789	M00179	Ribosome, archaea
V1136511	M00179	Ribosome, archaea
V1136324	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1136439	M00179	Ribosome, archaea
V1213504	M00179	Ribosome, archaea
V1136386	M00376	3-Hydroxypropionate bi-cycle
V1136464	M00179	Ribosome, archaea
V1425581	M00179	Ribosome, archaea
V1136556	M00178	Ribosome, bacteria
V1211182	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1891385	M00179	Ribosome, archaea
V1136382	M00178	Ribosome, bacteria
V1600206	M00335	Sec (secretion) system
V1237406	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1600693	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1880211	M00179	Ribosome, archaea
V1213499	M00164	ATP synthase
V1157421	M00178	Ribosome, bacteria
V1136606	M00178	Ribosome, bacteria
V1159480	M00179	Ribosome, archaea
V1213486	M00197	Putative fructooligosaccharide transport system
V1136448	M00276	PTS system, mannose-specific II component
V1136546	M00239	Peptides/nickel transport system
V1154976	M00179	Ribosome, archaea
V1136076	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1156008	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1136380	M00179	Ribosome, archaea
V1885246	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1883385	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1799323	M00276	PTS system, mannose-specific II component
V1136164	M00178	Ribosome, bacteria
V1448368	M00239	Peptides/nickel transport system
V1211371	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1211402	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1597160	M00179	Ribosome, archaea
V1214488	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1136504	M00275	PTS system, cellobiose-specific II component
V1599276	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1211358	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1136387	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1136115	M00335	Sec (secretion) system
V1599163	M00376	3-Hydroxypropionate bi-cycle
V1136050	M00179	Ribosome, archaea
V1136681	M00164	ATP synthase
V1136123	M00178	Ribosome, bacteria
V1899577	M00258	Putative ABC transport system
V1203477	M00276	PTS system, mannose-specific II component
V1154973	M00179	Ribosome, archaea
V1136259	M00275	PTS system, cellobiose-specific II component
V1599233	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1600196	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1136046	M00178	Ribosome, bacteria
V1886721	M00002	Glycolysis, core module involving three-carbon compounds
V1211250	M00239	Peptides/nickel transport system
V1238011	M00178	Ribosome, bacteria
V1600645	M00244	Putative zinc/manganese transport system
V1136081	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1136423	M00164	ATP synthase
V1136484	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1606124	M00271	PTS system, beta-glucoside-specific II component
V1600614	M00269	PTS system, sucrose-specific II component
V1213492	M00134	Polyamine biosynthesis, arginine => ornithine => putrescine
V1899578	M00254	ABC-2 type transport system
V1340013	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1136234	M00276	PTS system, mannose-specific II component
V1599142	M00335	Sec (secretion) system
V1136235	M00276	PTS system, mannose-specific II component
V1448858	M00164	ATP synthase
V1150071	M00179	Ribosome, archaea
V1227353	M00002	Glycolysis, core module involving three-carbon compounds
V1886542	M00179	Ribosome, archaea
V1899717	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1136579	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
V1885612	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1136295	M00207	Putative multiple sugar transport system
V1213495	M00260	DNA polymerase III complex, bacteria
V1154971	M00179	Ribosome, archaea
V1448291	M00239	Peptides/nickel transport system
V1599057	M00271	PTS system, beta-glucoside-specific II component
V1157136	M00276	PTS system, mannose-specific II component
V1714616	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1203454	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1136290	M00183	RNA polymerase, bacteria
V1615339	M00164	ATP synthase
V1136416	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1692640	M00346	Formaldehyde assimilation, serine pathway
V1136125	M00178	Ribosome, bacteria
V1211294	M00376	3-Hydroxypropionate bi-cycle
V1136048	M00246	Nickel transport system
V1884601	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1136274	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1136483	M00287	PTS system, galactosamine-specific II component
V1033549	M00346	Formaldehyde assimilation, serine pathway
V1599335	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1599158	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1136075	M00005	PRPP biosynthesis, ribose 5P => PRPP
V1819568	M00254	ABC-2 type transport system
V1158337	M00164	ATP synthase
V1599143	M00335	Sec (secretion) system
V1155989	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1819439	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
V1237788	M00183	RNA polymerase, bacteria
V1212989	M00178	Ribosome, bacteria
V1899639	M00027	GABA (gamma-Aminobutyrate) shunt
V1203419	M00153	Cytochrome d ubiquinol oxidase
V1819513	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1203342	M00260	DNA polymerase III complex, bacteria
V1599178	M00260	DNA polymerase III complex, bacteria
V1136297	M00153	Cytochrome d ubiquinol oxidase
V1203664	M00279	PTS system, galactitol-specific II component
V1601155	M00239	Peptides/nickel transport system
V1599230	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1203646	M00368	Ethylene biosynthesis, methionine => ethylene
V1136555	M00178	Ribosome, bacteria
V1338881	M00178	Ribosome, bacteria
V1136553	M00366	C10-C20 isoprenoid biosynthesis, plants
V1136446	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1136111	M00335	Sec (secretion) system
V1136271	M00338	Cysteine biosynthesis, homocysteine + serine => cysteine
V1047247	M00279	PTS system, galactitol-specific II component
V1211373	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1448293	M00005	PRPP biosynthesis, ribose 5P => PRPP
V1211249	M00089	Triacylglycerol biosynthesis
V1211293	M00239	Peptides/nickel transport system
V1448413	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1886433	M00035	Methionine degradation
