Gene	KEGG_module_number	Annotation
V1000546	M00197	Putative fructooligosaccharide transport system
V1000545	M00197	Putative fructooligosaccharide transport system
V1000004	M00183	RNA polymerase, bacteria
V1073455	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1000171	M00239	Peptides/nickel transport system
V1093074	M00197	Putative fructooligosaccharide transport system
V1001368	M00276	PTS system, mannose-specific II component
V1464170	M00164	ATP synthase
V1430275	M00164	ATP synthase
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1574099	M00276	PTS system, mannose-specific II component
V1391945	M00276	PTS system, mannose-specific II component
V1576144	M00335	Sec (secretion) system
V1164548	M00183	RNA polymerase, bacteria
V1158426	M00276	PTS system, mannose-specific II component
V1000018	M00179	Ribosome, archaea
V1075033	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1073967	M00179	Ribosome, archaea
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1431607	M00178	Ribosome, bacteria
V1138842	M00178	Ribosome, bacteria
V1000841	M00164	ATP synthase
V1000943	M00179	Ribosome, archaea
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1000547	M00197	Putative fructooligosaccharide transport system
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000886	M00207	Putative multiple sugar transport system
V1000021	M00179	Ribosome, archaea
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1306539	M00179	Ribosome, archaea
V1000840	M00164	ATP synthase
V1482595	M00178	Ribosome, bacteria
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1392272	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1072266	M00346	Formaldehyde assimilation, serine pathway
V1000017	M00178	Ribosome, bacteria
V1036606	M00164	ATP synthase
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1356383	M00197	Putative fructooligosaccharide transport system
V1077152	M00179	Ribosome, archaea
V1580898	M00179	Ribosome, archaea
V1491714	M00178	Ribosome, bacteria
V1000842	M00164	ATP synthase
V1000040	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1499048	M00183	RNA polymerase, bacteria
V1144210	M00179	Ribosome, archaea
V1006727	M00178	Ribosome, bacteria
V1071037	M00239	Peptides/nickel transport system
V1000845	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1006020	M00179	Ribosome, archaea
V1144133	M00197	Putative fructooligosaccharide transport system
V1000080	M00178	Ribosome, bacteria
V1073738	M00179	Ribosome, archaea
V1139649	M00183	RNA polymerase, bacteria
V1033803	M00164	ATP synthase
V1852083	M00179	Ribosome, archaea
V1081813	M00164	ATP synthase
V1000005	M00179	Ribosome, archaea
V1519910	M00164	ATP synthase
V1000528	M00179	Ribosome, archaea
V1481366	M00178	Ribosome, bacteria
V1143377	M00273	PTS system, fructose-specific II component
V1064534	M00183	RNA polymerase, bacteria
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000630	M00335	Sec (secretion) system
V1430573	M00197	Putative fructooligosaccharide transport system
V1082561	M00178	Ribosome, bacteria
V1852084	M00179	Ribosome, archaea
V1577002	M00179	Ribosome, archaea
V1095854	M00179	Ribosome, archaea
V1886605	M00197	Putative fructooligosaccharide transport system
V1042355	M00276	PTS system, mannose-specific II component
V1436794	M00197	Putative fructooligosaccharide transport system
V1076102	M00179	Ribosome, archaea
V1080826	M00179	Ribosome, archaea
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1272241	M00179	Ribosome, archaea
V1083489	M00335	Sec (secretion) system
V1237835	M00239	Peptides/nickel transport system
V1152427	M00374	Dicarboxylate-hydroxybutyrate cycle
