Gene	KEGG_module_number	Annotation
V1000546	M00197	Putative fructooligosaccharide transport system
V1066646	M00197	Putative fructooligosaccharide transport system
V1000545	M00197	Putative fructooligosaccharide transport system
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1000004	M00183	RNA polymerase, bacteria
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1000886	M00207	Putative multiple sugar transport system
V1200593	M00197	Putative fructooligosaccharide transport system
V1093074	M00197	Putative fructooligosaccharide transport system
V1430275	M00164	ATP synthase
V1067558	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1576144	M00335	Sec (secretion) system
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1001368	M00276	PTS system, mannose-specific II component
V1067559	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1574099	M00276	PTS system, mannose-specific II component
V1464170	M00164	ATP synthase
V1553877	M00276	PTS system, mannose-specific II component
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1235913	M00164	ATP synthase
V1000842	M00164	ATP synthase
V1065923	M00164	ATP synthase
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1577340	M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
V1144133	M00197	Putative fructooligosaccharide transport system
V1557734	M00346	Formaldehyde assimilation, serine pathway
V1000841	M00164	ATP synthase
V1036606	M00164	ATP synthase
V1158426	M00276	PTS system, mannose-specific II component
V1346782	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1000547	M00197	Putative fructooligosaccharide transport system
V1430573	M00197	Putative fructooligosaccharide transport system
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000018	M00179	Ribosome, archaea
V1000943	M00179	Ribosome, archaea
V1006020	M00179	Ribosome, archaea
V1073967	M00179	Ribosome, archaea
V1000641	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1164548	M00183	RNA polymerase, bacteria
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1066925	M00239	Peptides/nickel transport system
V1013090	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1491685	M00346	Formaldehyde assimilation, serine pathway
V1066648	M00183	RNA polymerase, bacteria
V1000017	M00178	Ribosome, bacteria
V1000021	M00179	Ribosome, archaea
V1033803	M00164	ATP synthase
V1043485	M00179	Ribosome, archaea
V1421438	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1099396	M00197	Putative fructooligosaccharide transport system
V1380123	M00164	ATP synthase
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1067099	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1431607	M00178	Ribosome, bacteria
V1067061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000171	M00239	Peptides/nickel transport system
V1381099	M00164	ATP synthase
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1067088	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1482595	M00178	Ribosome, bacteria
V1012671	M00159	V/A-type ATPase, prokaryotes
V1491714	M00178	Ribosome, bacteria
V1391945	M00276	PTS system, mannose-specific II component
V1066613	M00276	PTS system, mannose-specific II component
V1553939	M00178	Ribosome, bacteria
V1201556	M00183	RNA polymerase, bacteria
V1143984	M00346	Formaldehyde assimilation, serine pathway
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1042479	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1306539	M00179	Ribosome, archaea
V1066917	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1356383	M00197	Putative fructooligosaccharide transport system
V1040877	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1852084	M00179	Ribosome, archaea
V1000005	M00179	Ribosome, archaea
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1295007	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1886416	M00002	Glycolysis, core module involving three-carbon compounds
V1581637	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1464364	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1042355	M00276	PTS system, mannose-specific II component
V1000519	M00268	PTS system, alpha-glucoside-specific II component
V1066171	M00242	Zinc transport system
V1580898	M00179	Ribosome, archaea
V1006727	M00178	Ribosome, bacteria
V1066614	M00276	PTS system, mannose-specific II component
V1000845	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1007060	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1345647	M00374	Dicarboxylate-hydroxybutyrate cycle
V1010069	M00164	ATP synthase
V1065536	M00002	Glycolysis, core module involving three-carbon compounds
V1592992	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1357096	M00197	Putative fructooligosaccharide transport system
V1000840	M00164	ATP synthase
V1074835	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000326	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000040	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1067560	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000011	M00179	Ribosome, archaea
V1564971	M00374	Dicarboxylate-hydroxybutyrate cycle
V1481366	M00178	Ribosome, bacteria
V1886605	M00197	Putative fructooligosaccharide transport system
V1066642	M00179	Ribosome, archaea
V1066927	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
V1064534	M00183	RNA polymerase, bacteria
V1000003	M00178	Ribosome, bacteria
V1012672	M00159	V/A-type ATPase, prokaryotes
V1000528	M00179	Ribosome, archaea
V1469282	M00239	Peptides/nickel transport system
V1000013	M00179	Ribosome, archaea
V1229971	M00179	Ribosome, archaea
V1007076	M00197	Putative fructooligosaccharide transport system
V1594514	M00164	ATP synthase
V1000080	M00178	Ribosome, bacteria
V1879848	M00197	Putative fructooligosaccharide transport system
V1010067	M00164	ATP synthase
V1852083	M00179	Ribosome, archaea
V1886409	M00335	Sec (secretion) system
V1836804	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1167217	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000601	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1519450	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1879847	M00197	Putative fructooligosaccharide transport system
V1364188	M00164	ATP synthase
V1420584	M00279	PTS system, galactitol-specific II component
V1000944	M00179	Ribosome, archaea
V1346806	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1066652	M00179	Ribosome, archaea
V1000630	M00335	Sec (secretion) system
V1879882	M00179	Ribosome, archaea
V1065926	M00164	ATP synthase
V1012333	M00346	Formaldehyde assimilation, serine pathway
V1011016	M00164	ATP synthase
V1389384	M00346	Formaldehyde assimilation, serine pathway
V1344449	M00183	RNA polymerase, bacteria
V1000012	M00179	Ribosome, archaea
V1504145	M00346	Formaldehyde assimilation, serine pathway
V1346342	M00311	2-oxoglutarate:ferredoxin oxidoreductase
V1464441	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1577921	M00178	Ribosome, bacteria
V1851978	M00207	Putative multiple sugar transport system
V1347336	M00179	Ribosome, archaea
V1886558	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1015220	M00179	Ribosome, archaea
V1033302	M00335	Sec (secretion) system
V1356665	M00183	RNA polymerase, bacteria
V1014358	M00002	Glycolysis, core module involving three-carbon compounds
V1000168	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1066643	M00179	Ribosome, archaea
V1356879	M00179	Ribosome, archaea
V1000318	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1879849	M00197	Putative fructooligosaccharide transport system
V1042555	M00374	Dicarboxylate-hydroxybutyrate cycle
V1066651	M00179	Ribosome, archaea
V1341867	M00179	Ribosome, archaea
V1013128	M00029	Urea cycle
V1042478	M00346	Formaldehyde assimilation, serine pathway
V1000010	M00179	Ribosome, archaea
V1577339	M00020	Serine biosynthesis, glycerate-3P => serine
V1852094	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1065580	M00183	RNA polymerase, bacteria
V1886466	M00179	Ribosome, archaea
V1065437	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1052940	M00179	Ribosome, archaea
V1339706	M00276	PTS system, mannose-specific II component
V1000001	M00179	Ribosome, archaea
V1000300	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1364877	M00164	ATP synthase
V1006021	M00179	Ribosome, archaea
V1503838	M00183	RNA polymerase, bacteria
V1012677	M00159	V/A-type ATPase, prokaryotes
V1065924	M00164	ATP synthase
V1356897	M00179	Ribosome, archaea
V1000014	M00179	Ribosome, archaea
V1594655	M00239	Peptides/nickel transport system
V1067076	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1349964	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1065579	M00179	Ribosome, archaea
V1504571	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1014932	M00239	Peptides/nickel transport system
V1879928	M00276	PTS system, mannose-specific II component
V1880077	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1340709	M00346	Formaldehyde assimilation, serine pathway
V1000015	M00179	Ribosome, archaea
V1067102	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1879918	M00179	Ribosome, archaea
V1238174	M00179	Ribosome, archaea
V1345562	M00179	Ribosome, archaea
V1168223	M00179	Ribosome, archaea
V1144304	M00179	Ribosome, archaea
V1519910	M00164	ATP synthase
