Gene	KEGG_pathwayID	Annotation
V1000004	map03020	RNA polymerase
V1000546	map02030	Bacterial chemotaxis
V1464571	map04626	Plant-pathogen interaction
V1000122	map04626	Plant-pathogen interaction
V1576144	map03070	Bacterial secretion system
V1043485	map03010	Ribosome
V1000018	map03010	Ribosome
V1000639	map05010	Alzheimer's disease
V1000549	map00500	Starch and sucrose metabolism
V1164548	map03020	RNA polymerase
V1006020	map03010	Ribosome
V1000017	map03010	Ribosome
V1577228	map05152	Tuberculosis
V1000943	map03010	Ribosome
V1000116	map04930	Type II diabetes mellitus
V1000545	map02010	ABC transporters
V1073967	map03010	Ribosome
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1093074	map02030	Bacterial chemotaxis
V1037687	map05152	Tuberculosis
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1464170	map00195	Photosynthesis
V1000008	map00230	Purine metabolism
V1580898	map03010	Ribosome
V1431607	map03010	Ribosome
V1430275	map00195	Photosynthesis
V1482595	map03010	Ribosome
V1000021	map03010	Ribosome
V1000642	map03018	RNA degradation
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1000548	map00500	Starch and sucrose metabolism
V1912442	map00680	Methane metabolism
V1012818	map00650	Butanoate metabolism
V1306539	map03010	Ribosome
V1036606	map00195	Photosynthesis
V1001368	map02060	Phosphotransferase system (PTS)
V1000841	map00195	Photosynthesis
V1033869	map04626	Plant-pathogen interaction
V1852083	map03010	Ribosome
V1852084	map03010	Ribosome
V1000842	map00195	Photosynthesis
V1000305	map03018	RNA degradation
V1000080	map03010	Ribosome
V1000534	map00680	Methane metabolism
V1000003	map03010	Ribosome
V1000944	map03010	Ribosome
V1158426	map02060	Phosphotransferase system (PTS)
V1000013	map03010	Ribosome
V1581637	map05010	Alzheimer's disease
V1039802	map00650	Butanoate metabolism
V1339929	map00640	Propanoate metabolism
V1201618	map00650	Butanoate metabolism
V1000011	map03010	Ribosome
V1000596	map05152	Tuberculosis
V1836804	map00970	Aminoacyl-tRNA biosynthesis
V1000547	map02010	ABC transporters
V1340131	map00520	Amino sugar and nucleotide sugar metabolism
V1000840	map00195	Photosynthesis
V1481435	map02060	Phosphotransferase system (PTS)
V1055790	map05152	Tuberculosis
V1574099	map02060	Phosphotransferase system (PTS)
V1491714	map03010	Ribosome
V1000641	map00710	Carbon fixation in photosynthetic organisms
V1886409	map03070	Bacterial secretion system
V1000845	map00520	Amino sugar and nucleotide sugar metabolism
V1144133	map02010	ABC transporters
V1053544	map05152	Tuberculosis
V1006727	map03010	Ribosome
V1010605	map05152	Tuberculosis
V1852094	map00250	Alanine, aspartate and glutamate metabolism
V1000528	map03010	Ribosome
V1295196	map04112	Cell cycle - Caulobacter
V1000005	map03010	Ribosome
V1000009	map03010	Ribosome
V1552772	map04930	Type II diabetes mellitus
V1033302	map03070	Bacterial secretion system
V1430573	map02010	ABC transporters
V1481324	map00970	Aminoacyl-tRNA biosynthesis
V1000040	map00240	Pyrimidine metabolism
V1033902	map05010	Alzheimer's disease
V1295109	map04621	NOD-like receptor signaling pathway
V1541236	map04626	Plant-pathogen interaction
V1886466	map03010	Ribosome
V1592992	map00970	Aminoacyl-tRNA biosynthesis
V1886416	map04930	Type II diabetes mellitus
V1381099	map00195	Photosynthesis
V1481366	map03010	Ribosome
V1380652	map03010	Ribosome
V1394389	map02030	Bacterial chemotaxis
V1391945	map02060	Phosphotransferase system (PTS)
V1266177	map02010	ABC transporters
