Gene	KEGG_module_number	Annotation
V1019516	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1015255	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1017002	M00179	Ribosome, archaea
V1015384	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1470364	M00164	ATP synthase
V1014134	M00183	RNA polymerase, bacteria
V1526309	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1119708	M00164	ATP synthase
V1013667	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1164566	M00029	Urea cycle
V1017003	M00179	Ribosome, archaea
V1013332	M00346	Formaldehyde assimilation, serine pathway
V1118648	M00346	Formaldehyde assimilation, serine pathway
V1470277	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1018831	M00178	Ribosome, bacteria
V1014775	M00178	Ribosome, bacteria
V1016411	M00179	Ribosome, archaea
V1014133	M00183	RNA polymerase, bacteria
V1020454	M00179	Ribosome, archaea
V1470276	M00002	Glycolysis, core module involving three-carbon compounds
V1049610	M00164	ATP synthase
V1530889	M00179	Ribosome, archaea
V1164612	M00318	Iron/zinc/manganese/copper transport system
V1018782	M00335	Sec (secretion) system
V1470183	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1014881	M00376	3-Hydroxypropionate bi-cycle
V1470387	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1014780	M00178	Ribosome, bacteria
V1470365	M00164	ATP synthase
V1119707	M00164	ATP synthase
V1018256	M00164	ATP synthase
V1023795	M00178	Ribosome, bacteria
V1018365	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
V1014776	M00179	Ribosome, archaea
V1014779	M00179	Ribosome, archaea
V1016410	M00179	Ribosome, archaea
V1017001	M00179	Ribosome, archaea
V1016409	M00183	RNA polymerase, bacteria
V1047632	M00179	Ribosome, archaea
V1118248	M00335	Sec (secretion) system
V1018822	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1052644	M00179	Ribosome, archaea
V1021333	M00179	Ribosome, archaea
V1018781	M00179	Ribosome, archaea
V1012316	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1470281	M00183	RNA polymerase, bacteria
V1470139	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1014777	M00179	Ribosome, archaea
V1014771	M00179	Ribosome, archaea
V1015462	M00178	Ribosome, bacteria
V1326660	M00164	ATP synthase
V1524534	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1016412	M00179	Ribosome, archaea
V1470366	M00164	ATP synthase
V1017694	M00179	Ribosome, archaea
V1017000	M00335	Sec (secretion) system
V1051796	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1827624	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1016109	M00178	Ribosome, bacteria
V1021334	M00179	Ribosome, archaea
V1016408	M00178	Ribosome, bacteria
V1019700	M00153	Cytochrome d ubiquinol oxidase
V1164632	M00183	RNA polymerase, bacteria
V1122911	M00179	Ribosome, archaea
V1528396	M00183	RNA polymerase, bacteria
V1021421	M00164	ATP synthase
V1019108	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1164762	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1049712	M00153	Cytochrome d ubiquinol oxidase
V1807021	M00178	Ribosome, bacteria
V1118309	M00197	Putative fructooligosaccharide transport system
V1686825	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1118942	M00183	RNA polymerase, bacteria
V1011118	M00374	Dicarboxylate-hydroxybutyrate cycle
V1122214	M00164	ATP synthase
V1118245	M00179	Ribosome, archaea
V1470438	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1054467	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1052645	M00179	Ribosome, archaea
V1599524	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1470229	M00265	PTS system, glucose-specific II component
V1014773	M00179	Ribosome, archaea
V1015145	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1018255	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1016378	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1020453	M00179	Ribosome, archaea
V1470615	M00276	PTS system, mannose-specific II component
V1051480	M00335	Sec (secretion) system
V1470616	M00276	PTS system, mannose-specific II component
V1019200	M00376	3-Hydroxypropionate bi-cycle
V1013552	M00335	Sec (secretion) system
V1049960	M00178	Ribosome, bacteria
V1018510	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1119141	M00178	Ribosome, bacteria
V1164983	M00178	Ribosome, bacteria
V1123965	M00179	Ribosome, archaea
V1118444	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1123966	M00179	Ribosome, archaea
V1014812	M00335	Sec (secretion) system
V1023255	M00179	Ribosome, archaea
V1164616	M00179	Ribosome, archaea
V1014774	M00179	Ribosome, archaea
V1073738	M00179	Ribosome, archaea
V1526937	M00179	Ribosome, archaea
V1470026	M00242	Zinc transport system
V1016897	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1880297	M00179	Ribosome, archaea
V1051443	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1025085	M00179	Ribosome, archaea
V1049616	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1117987	M00083	Fatty acid biosynthesis, elongation
V1015057	M00376	3-Hydroxypropionate bi-cycle
V1016572	M00083	Fatty acid biosynthesis, elongation
V1123045	M00179	Ribosome, archaea
V1049359	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1470042	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1047668	M00178	Ribosome, bacteria
V1014778	M00179	Ribosome, archaea
V1014173	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1049609	M00164	ATP synthase
V1049621	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1049959	M00178	Ribosome, bacteria
V1119709	M00164	ATP synthase
V1016420	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1016289	M00368	Ethylene biosynthesis, methionine => ethylene
V1020452	M00179	Ribosome, archaea
