Gene	KEGG_module_number	Annotation
V1000390	M00335	Sec (secretion) system
V1001201	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000962	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1806712	M00197	Putative fructooligosaccharide transport system
V1000814	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1481432	M00002	Glycolysis, core module involving three-carbon compounds
V1598369	M00346	Formaldehyde assimilation, serine pathway
V1492438	M00179	Ribosome, archaea
V1000815	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1806743	M00183	RNA polymerase, bacteria
V1462039	M00276	PTS system, mannose-specific II component
V1000907	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000860	M00179	Ribosome, archaea
V1000383	M00178	Ribosome, bacteria
V1000378	M00179	Ribosome, archaea
V1001183	M00164	ATP synthase
V1000816	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1001437	M00346	Formaldehyde assimilation, serine pathway
V1257375	M00178	Ribosome, bacteria
V1207150	M00179	Ribosome, archaea
V1143245	M00179	Ribosome, archaea
V1001181	M00164	ATP synthase
V1000391	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1256223	M00346	Formaldehyde assimilation, serine pathway
V1301183	M00239	Peptides/nickel transport system
V1000373	M00183	RNA polymerase, bacteria
V1462246	M00179	Ribosome, archaea
V1000385	M00179	Ribosome, archaea
V1000734	M00178	Ribosome, bacteria
V1001184	M00164	ATP synthase
V1302301	M00179	Ribosome, archaea
V1001077	M00276	PTS system, mannose-specific II component
V1001308	M00268	PTS system, alpha-glucoside-specific II component
V1210751	M00179	Ribosome, archaea
V1000386	M00179	Ribosome, archaea
V1001012	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1836857	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1891079	M00179	Ribosome, archaea
V1000382	M00179	Ribosome, archaea
V1806747	M00179	Ribosome, archaea
V1143683	M00183	RNA polymerase, bacteria
V1256874	M00346	Formaldehyde assimilation, serine pathway
V1302819	M00335	Sec (secretion) system
V1001076	M00276	PTS system, mannose-specific II component
V1001252	M00197	Putative fructooligosaccharide transport system
V1598279	M00179	Ribosome, archaea
V1891385	M00179	Ribosome, archaea
V1000406	M00178	Ribosome, bacteria
V1001182	M00164	ATP synthase
V1001254	M00197	Putative fructooligosaccharide transport system
V1000950	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1836869	M00239	Peptides/nickel transport system
V1150496	M00164	ATP synthase
V1159981	M00164	ATP synthase
V1301472	M00178	Ribosome, bacteria
V1000384	M00179	Ribosome, archaea
V1886895	M00179	Ribosome, archaea
V1001274	M00029	Urea cycle
V1000387	M00179	Ribosome, archaea
V1000867	M00260	DNA polymerase III complex, bacteria
V1541136	M00179	Ribosome, archaea
V1001255	M00197	Putative fructooligosaccharide transport system
V1598348	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1001230	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1580822	M00346	Formaldehyde assimilation, serine pathway
V1000388	M00179	Ribosome, archaea
V1000277	M00376	3-Hydroxypropionate bi-cycle
V1256761	M00179	Ribosome, archaea
V1581231	M00179	Ribosome, archaea
