Gene	KEGG_pathwayID	Annotation
V1000390	map03070	Bacterial secretion system
V1001201	map00710	Carbon fixation in photosynthetic organisms
V1462044	map04626	Plant-pathogen interaction
V1000962	map00240	Pyrimidine metabolism
V1806712	map02030	Bacterial chemotaxis
V1000814	map00710	Carbon fixation in photosynthetic organisms
V1001250	map00500	Starch and sucrose metabolism
V1256203	map00620	Pyruvate metabolism
V1481432	map04930	Type II diabetes mellitus
V1598369	map03018	RNA degradation
V1001104	map02060	Phosphotransferase system (PTS)
V1492438	map03010	Ribosome
V1000815	map00710	Carbon fixation in photosynthetic organisms
V1806743	map03020	RNA polymerase
V1462039	map02060	Phosphotransferase system (PTS)
V1001309	map00500	Starch and sucrose metabolism
V1000907	map00680	Methane metabolism
V1000407	map03440	Homologous recombination
V1000860	map03010	Ribosome
V1000383	map03010	Ribosome
V1000378	map03010	Ribosome
V1001183	map00195	Photosynthesis
V1000816	map05010	Alzheimer's disease
V1001437	map00680	Methane metabolism
V1257375	map03010	Ribosome
V1207150	map03010	Ribosome
V1143245	map03010	Ribosome
V1001181	map00195	Photosynthesis
V1000391	map00230	Purine metabolism
V1256223	map03018	RNA degradation
V1000781	map05152	Tuberculosis
V1301183	map02010	ABC transporters
V1000373	map03020	RNA polymerase
V1462246	map03010	Ribosome
V1000385	map03010	Ribosome
V1000734	map03010	Ribosome
V1001184	map00195	Photosynthesis
V1001060	map00970	Aminoacyl-tRNA biosynthesis
V1302301	map03010	Ribosome
V1001026	map04112	Cell cycle - Caulobacter
V1001077	map02060	Phosphotransferase system (PTS)
V1001308	map02060	Phosphotransferase system (PTS)
V1210751	map03010	Ribosome
V1000386	map03010	Ribosome
V1001012	map00970	Aminoacyl-tRNA biosynthesis
V1836857	map00970	Aminoacyl-tRNA biosynthesis
V1891079	map03010	Ribosome
V1000382	map03010	Ribosome
V1806747	map03010	Ribosome
V1143683	map03020	RNA polymerase
V1256874	map00680	Methane metabolism
V1302819	map03070	Bacterial secretion system
V1001076	map02060	Phosphotransferase system (PTS)
V1001252	map02010	ABC transporters
V1598279	map03010	Ribosome
V1001040	map05150	Staphylococcus aureus infection
V1891385	map03010	Ribosome
V1000406	map03010	Ribosome
V1001296	map00480	Glutathione metabolism
V1001182	map00195	Photosynthesis
V1001254	map02010	ABC transporters
V1000950	map00680	Methane metabolism
V1836869	map02010	ABC transporters
V1150496	map00195	Photosynthesis
V1000801	map00520	Amino sugar and nucleotide sugar metabolism
V1159981	map00195	Photosynthesis
V1301472	map03010	Ribosome
V1000384	map03010	Ribosome
V1886895	map03010	Ribosome
V1887027	map00710	Carbon fixation in photosynthetic organisms
V1001274	map00330	Arginine and proline metabolism
V1000387	map03010	Ribosome
V1000867	map03440	Homologous recombination
V1150763	map04626	Plant-pathogen interaction
V1001275	map00910	Nitrogen metabolism
V1000793	map00520	Amino sugar and nucleotide sugar metabolism
V1541136	map03010	Ribosome
V1001255	map02010	ABC transporters
V1598348	map00970	Aminoacyl-tRNA biosynthesis
V1001251	map00500	Starch and sucrose metabolism
V1001230	map00520	Amino sugar and nucleotide sugar metabolism
V1580822	map03018	RNA degradation
V1001603	map02010	ABC transporters
V1001276	map00330	Arginine and proline metabolism
V1000388	map03010	Ribosome
V1000740	map03430	Mismatch repair
V1001379	map02010	ABC transporters
V1000650	map00561	Glycerolipid metabolism
V1000277	map05211	Renal cell carcinoma
V1256761	map03010	Ribosome
V1581231	map03010	Ribosome
V1302519	map03020	RNA polymerase
V1000922	map03440	Homologous recombination
V1000741	map00900	Terpenoid backbone biosynthesis
V1207166	map00970	Aminoacyl-tRNA biosynthesis
V1573676	map00240	Pyrimidine metabolism
V1000229	map00970	Aminoacyl-tRNA biosynthesis
V1000925	map03070	Bacterial secretion system
V1001042	map05150	Staphylococcus aureus infection
V1302774	map05010	Alzheimer's disease
V1150432	map03020	RNA polymerase
V1150536	map04930	Type II diabetes mellitus
V1755676	map03010	Ribosome
V1000247	map03030	DNA replication
V1162891	map00970	Aminoacyl-tRNA biosynthesis
V1000276	map02020	Two-component system
V1829441	map00620	Pyruvate metabolism
V1006032	map05150	Staphylococcus aureus infection
V1000685	map04724	Glutamatergic synapse
V1880218	map03020	RNA polymerase
V1598362	map00970	Aminoacyl-tRNA biosynthesis
V1302970	map03020	RNA polymerase
V1598547	map05152	Tuberculosis
V1000380	map03010	Ribosome
V1806689	map00730	Thiamine metabolism
V1159677	map00195	Photosynthesis
V1204717	map00720	Carbon fixation pathways in prokaryotes
V1000266	map02020	Two-component system
V1880268	map00195	Photosynthesis
V1000379	map03010	Ribosome
V1000360	map00550	Peptidoglycan biosynthesis
V1001200	map00970	Aminoacyl-tRNA biosynthesis
V1150477	map00970	Aminoacyl-tRNA biosynthesis
V1000659	map00970	Aminoacyl-tRNA biosynthesis
V1000739	map00720	Carbon fixation pathways in prokaryotes
