Gene	KEGG_pathwayID	Annotation
V1067936	map00650	Butanoate metabolism
V1000546	map02030	Bacterial chemotaxis
V1066646	map02030	Bacterial chemotaxis
V1013092	map00650	Butanoate metabolism
V1577228	map05152	Tuberculosis
V1000545	map02010	ABC transporters
V1000639	map05010	Alzheimer's disease
V1585178	map04626	Plant-pathogen interaction
V1504200	map05152	Tuberculosis
V1008495	map00650	Butanoate metabolism
V1464571	map04626	Plant-pathogen interaction
V1000122	map04626	Plant-pathogen interaction
V1000549	map00500	Starch and sucrose metabolism
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1000004	map03020	RNA polymerase
V1012818	map00650	Butanoate metabolism
V1000116	map04930	Type II diabetes mellitus
V1421347	map04626	Plant-pathogen interaction
V1000548	map00500	Starch and sucrose metabolism
V1345818	map05152	Tuberculosis
V1200593	map02010	ABC transporters
V1500383	map05152	Tuberculosis
V1093074	map02030	Bacterial chemotaxis
V1083372	map05152	Tuberculosis
V1190266	map02040	Flagellar assembly
V1430275	map00195	Photosynthesis
V1011087	map05152	Tuberculosis
V1067558	map05010	Alzheimer's disease
V1576144	map03070	Bacterial secretion system
V1912442	map00680	Methane metabolism
V1001368	map02060	Phosphotransferase system (PTS)
V1369262	map00910	Nitrogen metabolism
V1067559	map00710	Carbon fixation in photosynthetic organisms
V1065438	map05152	Tuberculosis
V1574099	map02060	Phosphotransferase system (PTS)
V1464170	map00195	Photosynthesis
V1553877	map02060	Phosphotransferase system (PTS)
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1066640	map04626	Plant-pathogen interaction
V1235913	map00195	Photosynthesis
V1000842	map00195	Photosynthesis
V1294607	map04626	Plant-pathogen interaction
V1065923	map00195	Photosynthesis
V1000305	map03018	RNA degradation
V1394860	map04141	Protein processing in endoplasmic reticulum
V1577340	map00750	Vitamin B6 metabolism
V1144133	map02010	ABC transporters
V1557734	map03018	RNA degradation
V1000841	map00195	Photosynthesis
V1036606	map00195	Photosynthesis
V1158426	map02060	Phosphotransferase system (PTS)
V1346782	map00710	Carbon fixation in photosynthetic organisms
V1000547	map02010	ABC transporters
V1430573	map02010	ABC transporters
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1000018	map03010	Ribosome
V1339929	map00640	Propanoate metabolism
V1000943	map03010	Ribosome
V1000596	map05152	Tuberculosis
V1006020	map03010	Ribosome
V1073967	map03010	Ribosome
V1000641	map00710	Carbon fixation in photosynthetic organisms
V1164548	map03020	RNA polymerase
V1000642	map03018	RNA degradation
V1033869	map04626	Plant-pathogen interaction
V1066925	map02010	ABC transporters
V1013090	map00710	Carbon fixation in photosynthetic organisms
V1237635	map04626	Plant-pathogen interaction
V1491685	map03018	RNA degradation
V1066648	map03020	RNA polymerase
V1000017	map03010	Ribosome
V1000021	map03010	Ribosome
V1033803	map00195	Photosynthesis
V1356102	map04626	Plant-pathogen interaction
V1481435	map02060	Phosphotransferase system (PTS)
V1043485	map03010	Ribosome
V1421438	map05010	Alzheimer's disease
V1099396	map02030	Bacterial chemotaxis
V1380123	map00195	Photosynthesis
V1000534	map00680	Methane metabolism
V1067099	map00680	Methane metabolism
V1431607	map03010	Ribosome
V1067061	map00970	Aminoacyl-tRNA biosynthesis
V1000171	map02010	ABC transporters
V1381099	map00195	Photosynthesis
V1000008	map00230	Purine metabolism
V1067088	map00710	Carbon fixation in photosynthetic organisms
V1507021	map04626	Plant-pathogen interaction
V1273194	map04626	Plant-pathogen interaction
V1566034	map00260	Glycine, serine and threonine metabolism
V1482595	map03010	Ribosome
V1268218	map04626	Plant-pathogen interaction
V1201618	map00650	Butanoate metabolism
V1340131	map00520	Amino sugar and nucleotide sugar metabolism
V1067454	map05152	Tuberculosis
V1012671	map00680	Methane metabolism
V1167440	map00500	Starch and sucrose metabolism
V1068288	map00650	Butanoate metabolism
V1014074	map00650	Butanoate metabolism
V1541236	map04626	Plant-pathogen interaction
V1583520	map05215	Prostate cancer
V1491714	map03010	Ribosome
V1392216	map05152	Tuberculosis
V1391945	map02060	Phosphotransferase system (PTS)
V1886517	map00640	Propanoate metabolism
V1588398	map00650	Butanoate metabolism
V1066613	map02060	Phosphotransferase system (PTS)
V1553939	map03010	Ribosome
V1037687	map05152	Tuberculosis
V1201556	map03020	RNA polymerase
V1145959	map00650	Butanoate metabolism
V1143984	map03018	RNA degradation
V1033902	map05010	Alzheimer's disease
V1042479	map05010	Alzheimer's disease
V1306539	map03010	Ribosome
V1066917	map00970	Aminoacyl-tRNA biosynthesis
V1356383	map02010	ABC transporters
V1436641	map00650	Butanoate metabolism
V1040877	map00710	Carbon fixation in photosynthetic organisms
V1852084	map03010	Ribosome
V1000005	map03010	Ribosome
V1554033	map00650	Butanoate metabolism
V1574166	map04626	Plant-pathogen interaction
V1067037	map00982	Drug metabolism - cytochrome P450
V1552772	map04930	Type II diabetes mellitus
V1013127	map00330	Arginine and proline metabolism
V1295007	map00970	Aminoacyl-tRNA biosynthesis
V1886416	map04930	Type II diabetes mellitus
V1067114	map00450	Selenocompound metabolism
V1195014	map04626	Plant-pathogen interaction
V1099403	map04621	NOD-like receptor signaling pathway
V1414152	map05152	Tuberculosis
V1580955	map05152	Tuberculosis
V1581637	map05010	Alzheimer's disease
V1464364	map05010	Alzheimer's disease
V1042355	map02060	Phosphotransferase system (PTS)
V1504607	map02040	Flagellar assembly
V1356603	map04626	Plant-pathogen interaction
V1000519	map02060	Phosphotransferase system (PTS)
V1560688	map00190	Oxidative phosphorylation
V1066171	map02010	ABC transporters
V1295099	map04626	Plant-pathogen interaction
V1580898	map03010	Ribosome
V1042097	map04626	Plant-pathogen interaction
V1006727	map03010	Ribosome
V1066614	map02060	Phosphotransferase system (PTS)
V1482600	map05143	African trypanosomiasis
V1000845	map00520	Amino sugar and nucleotide sugar metabolism
V1007060	map05010	Alzheimer's disease
V1345647	map00720	Carbon fixation pathways in prokaryotes
V1295196	map04112	Cell cycle - Caulobacter
V1422203	map00982	Drug metabolism - cytochrome P450
V1010069	map00195	Photosynthesis
V1481324	map00970	Aminoacyl-tRNA biosynthesis
V1065536	map04930	Type II diabetes mellitus
V1592992	map00970	Aminoacyl-tRNA biosynthesis
V1357096	map02030	Bacterial chemotaxis
V1552804	map05152	Tuberculosis
V1233016	map04626	Plant-pathogen interaction
V1000840	map00195	Photosynthesis
V1074835	map05010	Alzheimer's disease
V1513559	map00650	Butanoate metabolism
V1000326	map00970	Aminoacyl-tRNA biosynthesis
V1000040	map00240	Pyrimidine metabolism
V1067560	map00710	Carbon fixation in photosynthetic organisms
V1000011	map03010	Ribosome
V1564971	map00720	Carbon fixation pathways in prokaryotes
V1481366	map03010	Ribosome
V1297356	map04626	Plant-pathogen interaction
V1386220	map04724	Glutamatergic synapse
V1070282	map05152	Tuberculosis
V1886605	map02010	ABC transporters
V1066642	map03010	Ribosome
V1066927	map00710	Carbon fixation in photosynthetic organisms
V1067581	map02040	Flagellar assembly
V1064534	map03020	RNA polymerase
V1341888	map02040	Flagellar assembly
V1000003	map03010	Ribosome
V1012672	map00680	Methane metabolism
V1190195	map04626	Plant-pathogen interaction
V1197020	map00650	Butanoate metabolism
V1295109	map04621	NOD-like receptor signaling pathway
V1010320	map00630	Glyoxylate and dicarboxylate metabolism
V1000528	map03010	Ribosome
V1469282	map02010	ABC transporters
V1000013	map03010	Ribosome
V1229971	map03010	Ribosome
V1007076	map02030	Bacterial chemotaxis
V1067063	map00620	Pyruvate metabolism
V1594514	map00195	Photosynthesis
V1000080	map03010	Ribosome
V1358470	map00650	Butanoate metabolism
V1879848	map02010	ABC transporters
V1235967	map02040	Flagellar assembly
V1059001	map02060	Phosphotransferase system (PTS)
V1065326	map02030	Bacterial chemotaxis
V1190192	map02030	Bacterial chemotaxis
V1010067	map00195	Photosynthesis
V1852083	map03010	Ribosome
V1070014	map04626	Plant-pathogen interaction
V1146847	map04626	Plant-pathogen interaction
V1541135	map00500	Starch and sucrose metabolism
V1594875	map05152	Tuberculosis
V1886409	map03070	Bacterial secretion system
V1420994	map04626	Plant-pathogen interaction
V1836804	map00970	Aminoacyl-tRNA biosynthesis
V1013129	map00910	Nitrogen metabolism
V1266125	map00650	Butanoate metabolism
V1167217	map05010	Alzheimer's disease
V1000601	map00970	Aminoacyl-tRNA biosynthesis
V1464284	map00052	Galactose metabolism
V1519450	map00710	Carbon fixation in photosynthetic organisms
V1065317	map02040	Flagellar assembly
V1879847	map02010	ABC transporters
V1235912	map04626	Plant-pathogen interaction
V1364188	map00195	Photosynthesis
V1087726	map00910	Nitrogen metabolism
V1374204	map00500	Starch and sucrose metabolism
V1010605	map05152	Tuberculosis
V1033474	map04626	Plant-pathogen interaction
V1576462	map00650	Butanoate metabolism
V1420584	map02060	Phosphotransferase system (PTS)
V1109394	map04626	Plant-pathogen interaction
V1000944	map03010	Ribosome
V1879985	map00500	Starch and sucrose metabolism
V1346806	map00710	Carbon fixation in photosynthetic organisms
V1066652	map03010	Ribosome
V1000630	map03070	Bacterial secretion system
V1065558	map02060	Phosphotransferase system (PTS)
V1393635	map04626	Plant-pathogen interaction
V1879882	map03010	Ribosome
V1584490	map04626	Plant-pathogen interaction
V1065926	map00195	Photosynthesis
V1012333	map03018	RNA degradation
V1011016	map00195	Photosynthesis
V1299127	map00550	Peptidoglycan biosynthesis
V1389384	map03018	RNA degradation
V1344449	map03020	RNA polymerase
V1065552	map00330	Arginine and proline metabolism
V1000012	map03010	Ribosome
V1504145	map00680	Methane metabolism
V1346342	map00720	Carbon fixation pathways in prokaryotes
V1068964	map04112	Cell cycle - Caulobacter
V1879897	map00640	Propanoate metabolism
V1000499	map00970	Aminoacyl-tRNA biosynthesis
V1464441	map00970	Aminoacyl-tRNA biosynthesis
V1577921	map03010	Ribosome
V1347336	map03010	Ribosome
V1201875	map02030	Bacterial chemotaxis
V1066658	map02040	Flagellar assembly
V1886558	map00710	Carbon fixation in photosynthetic organisms
V1368199	map04626	Plant-pathogen interaction
V1015220	map03010	Ribosome
V1033302	map03070	Bacterial secretion system
V1356665	map03020	RNA polymerase
V1014358	map04930	Type II diabetes mellitus
V1000093	map05150	Staphylococcus aureus infection
V1065916	map04626	Plant-pathogen interaction
V1319614	map05152	Tuberculosis
V1036980	map00643	Styrene degradation
V1109127	map00982	Drug metabolism - cytochrome P450
V1365312	map05152	Tuberculosis
V1044382	map04141	Protein processing in endoplasmic reticulum
V1464834	map00650	Butanoate metabolism
V1000168	map00970	Aminoacyl-tRNA biosynthesis
V1066643	map03010	Ribosome
V1356879	map03010	Ribosome
V1000318	map00970	Aminoacyl-tRNA biosynthesis
V1879849	map02010	ABC transporters
V1042555	map00720	Carbon fixation pathways in prokaryotes
V1066655	map02040	Flagellar assembly
V1581223	map03440	Homologous recombination
V1066651	map03010	Ribosome
V1000835	map00550	Peptidoglycan biosynthesis
V1013431	map00650	Butanoate metabolism
V1341867	map03010	Ribosome
V1373601	map02040	Flagellar assembly
V1013128	map00330	Arginine and proline metabolism
V1042478	map03018	RNA degradation
V1000010	map03010	Ribosome
V1577339	map00680	Methane metabolism
V1852094	map00250	Alanine, aspartate and glutamate metabolism
V1065580	map03020	RNA polymerase
V1168235	map04626	Plant-pathogen interaction
V1886466	map03010	Ribosome
V1065437	map00250	Alanine, aspartate and glutamate metabolism
