Gene	KEGG_pathwayID	Annotation
V1464571	map04626	Plant-pathogen interaction
V1000122	map04626	Plant-pathogen interaction
V1000004	map03020	RNA polymerase
V1000546	map02030	Bacterial chemotaxis
V1000639	map05010	Alzheimer's disease
V1576144	map03070	Bacterial secretion system
V1000116	map04930	Type II diabetes mellitus
V1000549	map00500	Starch and sucrose metabolism
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1043485	map03010	Ribosome
V1000943	map03010	Ribosome
V1912442	map00680	Methane metabolism
V1000018	map03010	Ribosome
V1164548	map03020	RNA polymerase
V1000545	map02010	ABC transporters
V1000642	map03018	RNA degradation
V1073967	map03010	Ribosome
V1431607	map03010	Ribosome
V1000596	map05152	Tuberculosis
V1000008	map00230	Purine metabolism
V1000017	map03010	Ribosome
V1577228	map05152	Tuberculosis
V1000534	map00680	Methane metabolism
V1430275	map00195	Photosynthesis
V1000548	map00500	Starch and sucrose metabolism
V1093074	map02030	Bacterial chemotaxis
V1464170	map00195	Photosynthesis
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1033869	map04626	Plant-pathogen interaction
V1000305	map03018	RNA degradation
V1482595	map03010	Ribosome
V1000021	map03010	Ribosome
V1000842	map00195	Photosynthesis
V1580898	map03010	Ribosome
V1000841	map00195	Photosynthesis
V1144210	map03010	Ribosome
V1000080	map03010	Ribosome
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1036606	map00195	Photosynthesis
V1306539	map03010	Ribosome
V1006020	map03010	Ribosome
V1340131	map00520	Amino sugar and nucleotide sugar metabolism
V1339929	map00640	Propanoate metabolism
V1000003	map03010	Ribosome
V1158426	map02060	Phosphotransferase system (PTS)
V1000547	map02010	ABC transporters
V1034809	map00500	Starch and sucrose metabolism
V1297356	map04626	Plant-pathogen interaction
V1481435	map02060	Phosphotransferase system (PTS)
V1000641	map00710	Carbon fixation in photosynthetic organisms
V1541236	map04626	Plant-pathogen interaction
V1006727	map03010	Ribosome
V1852084	map03010	Ribosome
V1481432	map04930	Type II diabetes mellitus
V1035318	map00620	Pyruvate metabolism
V1392216	map05152	Tuberculosis
V1000944	map03010	Ribosome
V1000840	map00195	Photosynthesis
V1552772	map04930	Type II diabetes mellitus
V1000013	map03010	Ribosome
V1000005	map03010	Ribosome
V1886416	map04930	Type II diabetes mellitus
V1144133	map02010	ABC transporters
V1035061	map00330	Arginine and proline metabolism
V1886558	map00710	Carbon fixation in photosynthetic organisms
V1143270	map02030	Bacterial chemotaxis
V1836804	map00970	Aminoacyl-tRNA biosynthesis
V1295196	map04112	Cell cycle - Caulobacter
V1552804	map05152	Tuberculosis
V1852083	map03010	Ribosome
V1580955	map05152	Tuberculosis
V1000845	map00520	Amino sugar and nucleotide sugar metabolism
V1000011	map03010	Ribosome
V1033803	map00195	Photosynthesis
V1000528	map03010	Ribosome
V1430573	map02010	ABC transporters
V1492438	map03010	Ribosome
V1581637	map05010	Alzheimer's disease
V1481324	map00970	Aminoacyl-tRNA biosynthesis
V1592992	map00970	Aminoacyl-tRNA biosynthesis
V1519450	map00710	Carbon fixation in photosynthetic organisms
V1000040	map00240	Pyrimidine metabolism
V1000106	map00720	Carbon fixation pathways in prokaryotes
V1000564	map04112	Cell cycle - Caulobacter
V1381099	map00195	Photosynthesis
V1035062	map00910	Nitrogen metabolism
V1143984	map03018	RNA degradation
V1000093	map05150	Staphylococcus aureus infection
V1000326	map00970	Aminoacyl-tRNA biosynthesis
V1886409	map03070	Bacterial secretion system
V1852094	map00250	Alanine, aspartate and glutamate metabolism
V1143683	map03020	RNA polymerase
V1886582	map00710	Carbon fixation in photosynthetic organisms
V1301126	map00520	Amino sugar and nucleotide sugar metabolism
V1462044	map04626	Plant-pathogen interaction
V1886517	map00640	Propanoate metabolism
V1000307	map04724	Glutamatergic synapse
V1000168	map00970	Aminoacyl-tRNA biosynthesis
V1101641	map00500	Starch and sucrose metabolism
V1879928	map02060	Phosphotransferase system (PTS)
V1000502	map00983	Drug metabolism - other enzymes
V1095854	map03010	Ribosome
V1000601	map00970	Aminoacyl-tRNA biosynthesis
V1001201	map00710	Carbon fixation in photosynthetic organisms
V1033302	map03070	Bacterial secretion system
V1064534	map03020	RNA polymerase
V1033902	map05010	Alzheimer's disease
V1042355	map02060	Phosphotransferase system (PTS)
V1001368	map02060	Phosphotransferase system (PTS)
V1000594	map00250	Alanine, aspartate and glutamate metabolism
V1001468	map00970	Aminoacyl-tRNA biosynthesis
V1500383	map05152	Tuberculosis
V1035063	map00330	Arginine and proline metabolism
V1297375	map03010	Ribosome
V1000009	map03010	Ribosome
V1464441	map00970	Aminoacyl-tRNA biosynthesis
V1000835	map00550	Peptidoglycan biosynthesis
V1000144	map03010	Ribosome
V1541135	map00500	Starch and sucrose metabolism
V1034862	map02060	Phosphotransferase system (PTS)
V1880077	map00970	Aminoacyl-tRNA biosynthesis
V1879882	map03010	Ribosome
V1000630	map03070	Bacterial secretion system
V1000383	map03010	Ribosome
V1000092	map05150	Staphylococcus aureus infection
V1581223	map03440	Homologous recombination
V1836820	map00550	Peptidoglycan biosynthesis
V1000533	map00240	Pyrimidine metabolism
V1162881	map00521	Streptomycin biosynthesis
V1000044	map00910	Nitrogen metabolism
V1034877	map00500	Starch and sucrose metabolism
V1006021	map03010	Ribosome
V1491714	map03010	Ribosome
V1000300	map00970	Aminoacyl-tRNA biosynthesis
V1143245	map03010	Ribosome
V1503149	map03018	RNA degradation
V1886605	map02010	ABC transporters
V1552718	map03430	Mismatch repair
V1552737	map05150	Staphylococcus aureus infection
V1000012	map03010	Ribosome
V1000499	map00970	Aminoacyl-tRNA biosynthesis
V1171078	map00240	Pyrimidine metabolism
V1380652	map03010	Ribosome
V1553618	map03070	Bacterial secretion system
V1356383	map02010	ABC transporters
V1059001	map02060	Phosphotransferase system (PTS)
V1000010	map03010	Ribosome
V1339706	map02060	Phosphotransferase system (PTS)
V1000142	map00240	Pyrimidine metabolism
V1164543	map00900	Terpenoid backbone biosynthesis
V1000014	map03010	Ribosome
V1491685	map03018	RNA degradation
V1034750	map00195	Photosynthesis
V1607575	map03440	Homologous recombination
V1852121	map00450	Selenocompound metabolism
V1143676	map00195	Photosynthesis
V1299127	map00550	Peptidoglycan biosynthesis
V1000001	map03010	Ribosome
