Gene	KEGG_orthology_number	Annotation
V1000304	K01200	vco:VC0395_A2273  pullulanase (EC:3.2.1.41); K01200 pullulanase [EC:3.2.1.41]
V1836829	K01552	dvvi:GSVIVP00003662001  GSVIVT00003662001; assembled CDS; K01552 
V1000546	K10108	ypz:YPZ3_3274  malE; periplasmic maltose-binding protein; K10108 maltose/maltodextrin transport system substrate-binding protein
V1464571	K02358	dvvi:GSVIVP00023656001  GSVIVT00023656001; assembled CDS; K02358 elongation factor EF-Tu [EC:3.6.5.3]
V1000004	K03040	dvvi:GSVIVP00035276001  GSVIVT00035276001; assembled CDS; K03040 DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
V1000122	K02358	dvvi:GSVIVP00023656001  GSVIVT00023656001; assembled CDS; K02358 elongation factor EF-Tu [EC:3.6.5.3]
V1000596	K04077	dvvi:GSVIVP00034341001  GSVIVT00034341001; assembled CDS
V1577228	K04043	dvvi:GSVIVP00005738001  GSVIVT00005738001; assembled CDS; K04043 molecular chaperone DnaK
V1000639	K00134	dvvi:GSVIVP00035097001  GSVIVT00035097001; assembled CDS; K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
V1000116	K00873	dvvi:GSVIVP00033621001  GSVIVT00033621001; assembled CDS; K00873 pyruvate kinase [EC:2.7.1.40]
V1000527	K02355	dvvi:GSVIVP00019173001  GSVIVT00019173001; assembled CDS; K02355 elongation factor EF-G [EC:3.6.5.3]
V1164548	K03046	dvvi:GSVIVP00034404001  GSVIVT00034404001; assembled CDS; K03046 DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
V1000549	K00691	sru:SRU_0074  malP; maltodextrin phosphorylase (EC:2.4.1.8); K00691 maltose phosphorylase [EC:2.4.1.8]
V1203355	K03686	dvvi:GSVIVP00008854001  GSVIVT00008854001; assembled CDS; K03686 molecular chaperone DnaJ
V1000545	K10109	ypz:YPZ3_3275  malF; maltose transport system permease protein MalF; K10109 maltose/maltodextrin transport system permease protein
V1576144	K03076	dosa:Os08t0254500-01  Os08g0254500; Similar to Preprotein translocase secY subunit, chloroplast precursor (CpSecY).;  
V1912442	K00850	dvvi:GSVIVP00032133001  GSVIVT00032133001; assembled CDS; K00850 6-phosphofructokinase [EC:2.7.1.11]
V1000640	K00927	dvvi:GSVIVP00035677001  GSVIVT00035677001; assembled CDS; K00927 phosphoglycerate kinase [EC:2.7.2.3]
V1034630	K04047	zpr:ZPR_2252  Dps family ferritin-like DNA-binding protein; K04047 starvation-inducible DNA-binding protein
V1000018	K02982	dvvi:GSVIVP00013200001  GSVIVT00013200001; assembled CDS; K02982 small subunit ribosomal protein S3
V1851961	K03697	sub:SUB1281  clpE; ATP-dependent Clp protease ATP-binding subunit; K03697 ATP-dependent Clp protease ATP-binding subunit ClpE
V1043485	K02895	dvvi:GSVIVP00027442001  GSVIVT00027442001; assembled CDS; K02895 large subunit ribosomal protein L24
V1000305	K01689	dvvi:GSVIVP00038473001  GSVIVT00038473001; assembled CDS; K01689 enolase [EC:4.2.1.11]
V1000886	K02027	ddpu:267666  SNAP_00035724; .;  
V1093074	K10108	ypz:YPZ3_3274  malE; periplasmic maltose-binding protein; K10108 maltose/maltodextrin transport system substrate-binding protein
V1552804	K04077	dvvi:GSVIVP00034341001  GSVIVT00034341001; assembled CDS
V1392216	K04077	dvvi:GSVIVP00034341001  GSVIVT00034341001; assembled CDS
V1000534	K01834	dvvi:GSVIVP00033622001  GSVIVT00033622001; assembled CDS; K01834 phosphoglycerate mutase [EC:5.4.2.1]
V1851967	K03705	zmo:ZMO0015  hrcA; heat-inducible transcription repressor; K03705 heat-inducible transcriptional repressor
V1000008	K00939	dvvi:GSVIVP00035062001  GSVIVT00035062001; assembled CDS; K00939 adenylate kinase [EC:2.7.4.3]
V1000943	K02867	dvvi:GSVIVP00000483001  GSVIVT00000483001; assembled CDS; K02867 large subunit ribosomal protein L11
V1000548	K01838	dani:AN9497  Uncharacterized ORF; Ortholog of <i>S. cerevisiae</i> YKL033W-A;  
V1430275	K02112	dtni:24822  ;  
V1464170	K02111	dvvi:GSVIVP00035586001  GSVIVT00035586001; assembled CDS; K02111 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
V1431607	K02888	dvvi:GSVIVP00026834001  GSVIVT00026834001; assembled CDS; K02888 large subunit ribosomal protein L21
V1000017	K02878	dvvi:GSVIVP00035271001  GSVIVT00035271001; assembled CDS
V1491685	K01689	dvvi:GSVIVP00038473001  GSVIVT00038473001; assembled CDS; K01689 enolase [EC:4.2.1.11]
V1000487	K01624	dtps:35048  e_gw1.6.315.1; .; K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
V1500383	K04077	dvvi:GSVIVP00034341001  GSVIVT00034341001; assembled CDS
V1033869	K02358	dvvi:GSVIVP00023656001  GSVIVT00023656001; assembled CDS; K02358 elongation factor EF-Tu [EC:3.6.5.3]
V1339929	K00016	dvvi:GSVIVP00009618001  GSVIVT00009618001; assembled CDS; K00016 L-lactate dehydrogenase [EC:1.1.1.27]
V1001368	K02794	ypz:YPZ3_1960  manX; PTS system, mannose-specific IIAB component; K02793 PTS system, mannose-specific IIA component [EC:2.7.1.69]; K02794 PTS system, mannose-specific IIB component [EC:2.7.1.69]
V1073967	K02864	dvvi:GSVIVP00029480001  GSVIVT00029480001; assembled CDS; K02864 large subunit ribosomal protein L10
V1306539	K02871	dvvi:GSVIVP00027910001  GSVIVT00027910001; assembled CDS; K02871 large subunit ribosomal protein L13
V1000079	K02469	dvvi:GSVIVP00033901001  GSVIVT00033901001; assembled CDS; K02469 DNA gyrase subunit A [EC:5.99.1.3]
V1482595	K02926	dvvi:GSVIVP00024151001  GSVIVT00024151001; assembled CDS; K02926 large subunit ribosomal protein L4
V1000547	K10112	dlja:26906  LjSGA_145734.1.1; /partial;  
V1499093	K04078	dvvi:GSVIVP00030504001  GSVIVT00030504001; assembled CDS; K04078 chaperonin GroES
V1000021	K02906	dvvi:GSVIVP00023012001  GSVIVT00023012001; assembled CDS; K02906 large subunit ribosomal protein L3
V1000841	K02113	dvvi:GSVIVP00001774001  GSVIVT00001774001; assembled CDS; K02113 F-type H+-transporting ATPase subunit delta [EC:3.6.3.14]
V1000641	K01803	dvvi:GSVIVP00036055001  GSVIVT00036055001; assembled CDS; K01803 triosephosphate isomerase (TIM) [EC:5.3.1.1]
V1195882	K01624	dtps:35048  e_gw1.6.315.1; .; K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
V1000134	K03687	dvvi:GSVIVP00033682001  GSVIVT00033682001; assembled CDS; K03687 molecular chaperone GrpE
V1340131	K00975	dvvi:GSVIVP00036349001  GSVIVT00036349001; assembled CDS
V1036606	K02109	dpop:285105  gw1.3408.1.1; .; K02109 F-type H+-transporting ATPase subunit b [EC:3.6.3.14]
V1547338	K04078	dvvi:GSVIVP00030504001  GSVIVT00030504001; assembled CDS; K04078 chaperonin GroES
V1552772	K00873	dvvi:GSVIVP00033621001  GSVIVT00033621001; assembled CDS; K00873 pyruvate kinase [EC:2.7.1.40]
V1144210	K02886	dvvi:GSVIVP00013198001  GSVIVT00013198001; assembled CDS; K02886 large subunit ribosomal protein L2
V1886652	K01200	vco:VC0395_A2273  pullulanase (EC:3.2.1.41); K01200 pullulanase [EC:3.2.1.41]
V1000129	K06207	dvvi:GSVIVP00025567001  GSVIVT00025567001; assembled CDS; K06207 GTP-binding protein
V1391945	K02796	ypz:YPZ3_1962  PTS system, mannose-specific IID component; K02796 PTS system, mannose-specific IID component
V1886558	K01624	dtps:35048  e_gw1.6.315.1; .; K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
V1580955	K04043	dvvi:GSVIVP00005738001  GSVIVT00005738001; assembled CDS; K04043 molecular chaperone DnaK
V1541236	K02358	dvvi:GSVIVP00023656001  GSVIVT00023656001; assembled CDS; K02358 elongation factor EF-Tu [EC:3.6.5.3]
V1167440	K01232	yep:YE105_C1067  6-phospho-alpha-glucosidase; K01232 maltose-6'-phosphate glucosidase [EC:3.2.1.122]
V1481435	K08483	ypz:YPZ3_2637  ptsI; PTS sytem, enzyme I component; K08483 phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]
V1886416	K00873	dvvi:GSVIVP00033621001  GSVIVT00033621001; assembled CDS; K00873 pyruvate kinase [EC:2.7.1.40]
V1600200	K08483	ypz:YPZ3_2637  ptsI; PTS sytem, enzyme I component; K08483 phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]
V1000528	K02992	dvvi:GSVIVP00026426001  GSVIVT00026426001; assembled CDS
V1000106	K01938	dvvi:GSVIVP00024726001  GSVIVT00024726001; assembled CDS; K00288 methylenetetrahydrofolate dehydrogenase (NADP+) [EC:1.5.1.5]; K01491 methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9]; K01938 formate--tetrahydrofolate ligase [EC:6.3.4.3]
V1158426	K02795	ypz:YPZ3_1961  manY; PTS system, mannose-specific IIC component; K02795 PTS system, mannose-specific IIC component
V1006020	K02886	dvvi:GSVIVP00013198001  GSVIVT00013198001; assembled CDS; K02886 large subunit ribosomal protein L2
V1000627	K06950	dvvi:GSVIVP00030197001  GSVIVT00030197001; assembled CDS; K06950 
V1000519	K02750	yep:YE105_C1066  PTS system, alpha-glucoside-specific IIBC component; K02749 PTS system, arbutin-like IIB component [EC:2.7.1.69]; K02750 PTS system, arbutin-like IIC component
V1482513	K03168	dota:Ot06g02420  HMG box-containing protein (ISS);  
V1481324	K02434	dvvi:GSVIVP00020369001  GSVIVT00020369001; assembled CDS; K02434 aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
V1000564	K03531	dvvi:GSVIVP00027244001  GSVIVT00027244001; assembled CDS; K03531 cell division protein FtsZ
V1574099	K02795	ypz:YPZ3_1961  manY; PTS system, mannose-specific IIC component; K02795 PTS system, mannose-specific IIC component
V1887021	K03545	zpr:ZPR_0628  trigger factor; K03545 trigger factor
V1295196	K03590	zpr:ZPR_3805  cell division protein FtsA; K03590 cell division protein FtsA
V1203576	K00850	dvvi:GSVIVP00032133001  GSVIVT00032133001; assembled CDS; K00850 6-phosphofructokinase [EC:2.7.1.11]
V1000842	K02108	dvvi:GSVIVP00013243001  GSVIVT00013243001; assembled CDS; K02108 F-type H+-transporting ATPase subunit a [EC:3.6.3.14]
V1000109	K04094	zmo:ZMO0691  tRNA (uracil-5-)-methyltransferase Gid; K04094 glucose inhibited division protein Gid
V1580898	K02988	dvvi:GSVIVP00003076001  GSVIVT00003076001; assembled CDS; K02988 small subunit ribosomal protein S5
V1852084	K02892	dvvi:GSVIVP00036160001  GSVIVT00036160001; assembled CDS; K02892 large subunit ribosomal protein L23
V1000518	K03481	str:Sterm_3662  RpiR family transcriptional regulator; K03481 RpiR family transcriptional regulator, glv operon transcriptional regulator
V1162881	K01835	dvvi:GSVIVP00030550001  GSVIVT00030550001; assembled CDS; K01835 phosphoglucomutase [EC:5.4.2.2]
V1000821	K07273	dpch:136630  e_gww2.7.585.1; .;  
V1000005	K02948	dvvi:GSVIVP00035275001  GSVIVT00035275001; assembled CDS; K02948 small subunit ribosomal protein S11
V1213484	K10108	ypz:YPZ3_3274  malE; periplasmic maltose-binding protein; K10108 maltose/maltodextrin transport system substrate-binding protein
V1852083	K02931	dvvi:GSVIVP00026943001  GSVIVT00026943001; assembled CDS; K02931 large subunit ribosomal protein L5
V1144133	K10109	ypz:YPZ3_3275  malF; maltose transport system permease protein MalF; K10109 maltose/maltodextrin transport system permease protein
V1836804	K04567	dvvi:GSVIVP00024821001  GSVIVT00024821001; assembled CDS; K04567 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
V1000143	K02357	dtps:2892  fgenesh1_pg.C_chr_2000847; .; K02357 elongation factor EF-Ts
V1381099	K02115	dvvi:GSVIVP00010758001  GSVIVT00010758001; assembled CDS; K02115 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14]
V1000638	K05311	vpr:Vpar_1091  DeoR family transcriptional regulator; K05311 central glycolytic genes regulator
V1000080	K02990	dvvi:GSVIVP00005623001  GSVIVT00005623001; assembled CDS; K02990 small subunit ribosomal protein S6
V1000570	K03569	zpr:ZPR_0661  rod shape-determining protein MreB; K03569 rod shape-determining protein MreB and related proteins
V1000533	K01937	dvvi:GSVIVP00028076001  GSVIVT00028076001; assembled CDS; K01937 CTP synthase [EC:6.3.4.2]
V1356383	K10110	ypz:YPZ3_3276  malG; maltose transport system permease protein MalG; K10110 maltose/maltodextrin transport system permease protein
V1000326	K01868	dvvi:GSVIVP00033369001  GSVIVT00033369001; assembled CDS; K01868 threonyl-tRNA synthetase [EC:6.1.1.3]
