Gene	KEGG_pathwayID	Annotation
V1338863	map04930	Type II diabetes mellitus
V1033079	map00680	Methane metabolism
V1034259	map04626	Plant-pathogen interaction
V1033557	map05010	Alzheimer's disease
V1033096	map03020	RNA polymerase
V1032513	map03010	Ribosome
V1872766	map00240	Pyrimidine metabolism
V1032825	map03070	Bacterial secretion system
V1032815	map03010	Ribosome
V1032814	map03010	Ribosome
V1032826	map00230	Purine metabolism
V1204502	map00240	Pyrimidine metabolism
V1033549	map03018	RNA degradation
V1884596	map03440	Homologous recombination
V1872734	map03010	Ribosome
V1033091	map03010	Ribosome
V1885172	map00195	Photosynthesis
V1032750	map03010	Ribosome
V1033558	map00710	Carbon fixation in photosynthetic organisms
V1033097	map00250	Alanine, aspartate and glutamate metabolism
V1032818	map03010	Ribosome
V1032984	map03010	Ribosome
V1032631	map02030	Bacterial chemotaxis
V1046995	map00195	Photosynthesis
V1033500	map00710	Carbon fixation in photosynthetic organisms
V1765286	map00710	Carbon fixation in photosynthetic organisms
V1424927	map03010	Ribosome
V1887313	map03010	Ribosome
V1033629	map05152	Tuberculosis
V1046993	map00195	Photosynthesis
V1032807	map03010	Ribosome
V1032819	map03010	Ribosome
V1032808	map03010	Ribosome
V1755587	map03010	Ribosome
V1032617	map02010	ABC transporters
V1032820	map03010	Ribosome
V1046991	map00195	Photosynthesis
V1032681	map00640	Propanoate metabolism
V1032829	map03010	Ribosome
V1032822	map03010	Ribosome
V1032341	map00195	Photosynthesis
V1047060	map02010	ABC transporters
V1032342	map00195	Photosynthesis
V1033003	map02060	Phosphotransferase system (PTS)
V1338860	map00970	Aminoacyl-tRNA biosynthesis
V1552800	map03010	Ribosome
V1033302	map03070	Bacterial secretion system
V1884576	map00195	Photosynthesis
V1883121	map00195	Photosynthesis
V1032809	map03010	Ribosome
V1033428	map02060	Phosphotransferase system (PTS)
V1032618	map02020	Two-component system
V1163789	map00230	Purine metabolism
V1033464	map04724	Glutamatergic synapse
V1552772	map04930	Type II diabetes mellitus
V1032824	map03010	Ribosome
V1806605	map00500	Starch and sucrose metabolism
V1884560	map03010	Ribosome
V1032713	map03010	Ribosome
V1032526	map00061	Fatty acid biosynthesis
V1032821	map03010	Ribosome
V1032792	map00520	Amino sugar and nucleotide sugar metabolism
V1806611	map00620	Pyruvate metabolism
V1884555	map00970	Aminoacyl-tRNA biosynthesis
V1033346	map00970	Aminoacyl-tRNA biosynthesis
V1882359	map03010	Ribosome
V1882317	map04626	Plant-pathogen interaction
V1033034	map03010	Ribosome
V1033559	map00710	Carbon fixation in photosynthetic organisms
V1150427	map00710	Carbon fixation in photosynthetic organisms
V1046994	map00195	Photosynthesis
V1032979	map03010	Ribosome
V1032629	map00500	Starch and sucrose metabolism
V1033869	map04626	Plant-pathogen interaction
V1884638	map04930	Type II diabetes mellitus
V1684154	map03020	RNA polymerase
V1032817	map03010	Ribosome
V1882237	map00710	Carbon fixation in photosynthetic organisms
V1032641	map03440	Homologous recombination
V1033129	map02060	Phosphotransferase system (PTS)
V1032715	map00970	Aminoacyl-tRNA biosynthesis
V1684155	map03020	RNA polymerase
V1891261	map03020	RNA polymerase
V1204734	map00650	Butanoate metabolism
V1610069	map03010	Ribosome
V1032333	map03010	Ribosome
V1684175	map05150	Staphylococcus aureus infection
V1034296	map00620	Pyruvate metabolism
V1032372	map05150	Staphylococcus aureus infection
V1032619	map02020	Two-component system
V1883097	map00520	Amino sugar and nucleotide sugar metabolism
V1684153	map03010	Ribosome
V1033474	map04626	Plant-pathogen interaction
V1684093	map04112	Cell cycle - Caulobacter
V1032374	map05150	Staphylococcus aureus infection
V1033667	map00270	Cysteine and methionine metabolism
V1033276	map00970	Aminoacyl-tRNA biosynthesis
V1828832	map02020	Two-component system
V1032309	map05152	Tuberculosis
V1034213	map00680	Methane metabolism
V1891370	map00620	Pyruvate metabolism
V1032616	map02010	ABC transporters
V1884566	map00710	Carbon fixation in photosynthetic organisms
V1032301	map00970	Aminoacyl-tRNA biosynthesis
V1203697	map00720	Carbon fixation pathways in prokaryotes
V1032473	map00550	Peptidoglycan biosynthesis
V1032714	map03010	Ribosome
V1032630	map02010	ABC transporters
V1882372	map03010	Ribosome
V1032632	map02010	ABC transporters
V1047007	map00970	Aminoacyl-tRNA biosynthesis
V1032670	map00520	Amino sugar and nucleotide sugar metabolism
V1033614	map00970	Aminoacyl-tRNA biosynthesis
V1808000	map00970	Aminoacyl-tRNA biosynthesis
V1032514	map03010	Ribosome
V1032620	map00240	Pyrimidine metabolism
V1032983	map03010	Ribosome
V1769429	map03010	Ribosome
V1884575	map03010	Ribosome
V1032397	map03440	Homologous recombination
V1033426	map02060	Phosphotransferase system (PTS)
V1796904	map00480	Glutathione metabolism
V1046990	map00900	Terpenoid backbone biosynthesis
V1032811	map03010	Ribosome
V1033560	map03070	Bacterial secretion system
V1033902	map05010	Alzheimer's disease
V1033782	map04930	Type II diabetes mellitus
V1032823	map03010	Ribosome
V1033098	map00250	Alanine, aspartate and glutamate metabolism
V1032315	map00970	Aminoacyl-tRNA biosynthesis
V1034179	map05010	Alzheimer's disease
V1552701	map03070	Bacterial secretion system
V1032218	map02010	ABC transporters
V1032563	map00710	Carbon fixation in photosynthetic organisms
V1684077	map04112	Cell cycle - Caulobacter
V1033213	map00900	Terpenoid backbone biosynthesis
V1033168	map00520	Amino sugar and nucleotide sugar metabolism
V1032349	map00240	Pyrimidine metabolism
V1684156	map00970	Aminoacyl-tRNA biosynthesis
V1032813	map03010	Ribosome
V1033200	map00970	Aminoacyl-tRNA biosynthesis
V1884563	map00710	Carbon fixation in photosynthetic organisms
V1032406	map00564	Glycerophospholipid metabolism
V1032615	map02010	ABC transporters
V1032978	map03010	Ribosome
V1033033	map00970	Aminoacyl-tRNA biosynthesis
V1206514	map00230	Purine metabolism
V1033682	map00053	Ascorbate and aldarate metabolism
V1032381	map00720	Carbon fixation pathways in prokaryotes
V1032407	map00520	Amino sugar and nucleotide sugar metabolism
V1806647	map03030	DNA replication
V1032812	map03010	Ribosome
V1032434	map00970	Aminoacyl-tRNA biosynthesis
V1032614	map05152	Tuberculosis
V1032476	map00630	Glyoxylate and dicarboxylate metabolism
V1552781	map03440	Homologous recombination
V1796878	map02010	ABC transporters
V1047070	map00550	Peptidoglycan biosynthesis
V1755579	map03018	RNA degradation
V1032299	map03430	Mismatch repair
V1047061	map00970	Aminoacyl-tRNA biosynthesis
V1885167	map02060	Phosphotransferase system (PTS)
V1032558	map00520	Amino sugar and nucleotide sugar metabolism
V1032410	map00240	Pyrimidine metabolism
V1033416	map00230	Purine metabolism
V1807973	map00061	Fatty acid biosynthesis
V1032330	map04122	Sulfur relay system
V1047152	map00910	Nitrogen metabolism
V1032728	map00550	Peptidoglycan biosynthesis
V1891385	map03010	Ribosome
V1033427	map02060	Phosphotransferase system (PTS)
V1032571	map02020	Two-component system
V1819389	map00750	Vitamin B6 metabolism
V1806578	map04112	Cell cycle - Caulobacter
V1216924	map00240	Pyrimidine metabolism
V1032752	map00240	Pyrimidine metabolism
V1693896	map03010	Ribosome
