Gene	KEGG_pathwayID	Annotation
V1053544	map05152	Tuberculosis
V1055790	map05152	Tuberculosis
V1016999	map04626	Plant-pathogen interaction
V1019516	map00710	Carbon fixation in photosynthetic organisms
V1470073	map04626	Plant-pathogen interaction
V1015255	map05010	Alzheimer's disease
V1017002	map03010	Ribosome
V1116820	map00330	Arginine and proline metabolism
V1015384	map00720	Carbon fixation pathways in prokaryotes
V1470364	map00195	Photosynthesis
V1014134	map03020	RNA polymerase
V1526309	map05010	Alzheimer's disease
V1119708	map00195	Photosynthesis
V1013667	map00710	Carbon fixation in photosynthetic organisms
V1164566	map00330	Arginine and proline metabolism
V1017003	map03010	Ribosome
V1013332	map03018	RNA degradation
V1118648	map03018	RNA degradation
V1470277	map00680	Methane metabolism
V1018831	map03010	Ribosome
V1014775	map03010	Ribosome
V1016411	map03010	Ribosome
V1470097	map02060	Phosphotransferase system (PTS)
V1014133	map03020	RNA polymerase
V1020454	map03010	Ribosome
V1470276	map04930	Type II diabetes mellitus
V1049443	map05215	Prostate cancer
V1049610	map00195	Photosynthesis
V1530889	map03010	Ribosome
V1164612	map02010	ABC transporters
V1018782	map03070	Bacterial secretion system
V1470183	map05010	Alzheimer's disease
V1014881	map00720	Carbon fixation pathways in prokaryotes
V1470387	map00240	Pyrimidine metabolism
V1014780	map03010	Ribosome
V1470365	map00195	Photosynthesis
V1119707	map00195	Photosynthesis
V1049442	map00480	Glutathione metabolism
V1018256	map00195	Photosynthesis
V1023795	map03010	Ribosome
V1018365	map00710	Carbon fixation in photosynthetic organisms
V1014776	map03010	Ribosome
V1014779	map03010	Ribosome
V1016410	map03010	Ribosome
V1470945	map04910	Insulin signaling pathway
V1017001	map03010	Ribosome
V1016409	map03020	RNA polymerase
V1047632	map03010	Ribosome
V1118248	map03070	Bacterial secretion system
V1018822	map00710	Carbon fixation in photosynthetic organisms
V1052644	map03010	Ribosome
V1021333	map03010	Ribosome
V1018781	map03010	Ribosome
V1470944	map00500	Starch and sucrose metabolism
V1470389	map05152	Tuberculosis
V1012316	map00680	Methane metabolism
V1470281	map03020	RNA polymerase
V1470139	map00520	Amino sugar and nucleotide sugar metabolism
V1017796	map00300	Lysine biosynthesis
V1014777	map03010	Ribosome
V1827468	map00620	Pyruvate metabolism
V1014771	map03010	Ribosome
V1015462	map03010	Ribosome
V1326660	map00195	Photosynthesis
V1524534	map00710	Carbon fixation in photosynthetic organisms
V1011110	map00910	Nitrogen metabolism
V1118878	map00910	Nitrogen metabolism
V1016412	map03010	Ribosome
V1470366	map00195	Photosynthesis
V1015295	map03018	RNA degradation
V1017694	map03010	Ribosome
V1116819	map00903	Limonene and pinene degradation
V1017000	map03070	Bacterial secretion system
V1051796	map00970	Aminoacyl-tRNA biosynthesis
V1827624	map00720	Carbon fixation pathways in prokaryotes
V1016109	map03010	Ribosome
V1021334	map03010	Ribosome
V1016408	map03010	Ribosome
V1019700	map00190	Oxidative phosphorylation
V1164632	map03020	RNA polymerase
V1122911	map03010	Ribosome
