Gene	KEGG_module_number	Annotation
V1000546	M00197	Putative fructooligosaccharide transport system
V1000545	M00197	Putative fructooligosaccharide transport system
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000004	M00183	RNA polymerase, bacteria
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1158426	M00276	PTS system, mannose-specific II component
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1093074	M00197	Putative fructooligosaccharide transport system
V1464170	M00164	ATP synthase
V1576144	M00335	Sec (secretion) system
V1430275	M00164	ATP synthase
V1001368	M00276	PTS system, mannose-specific II component
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1164548	M00183	RNA polymerase, bacteria
V1144133	M00197	Putative fructooligosaccharide transport system
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1430573	M00197	Putative fructooligosaccharide transport system
V1000886	M00207	Putative multiple sugar transport system
V1000943	M00179	Ribosome, archaea
V1006020	M00179	Ribosome, archaea
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1000018	M00179	Ribosome, archaea
V1000841	M00164	ATP synthase
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000017	M00178	Ribosome, bacteria
V1042355	M00276	PTS system, mannose-specific II component
V1073967	M00179	Ribosome, archaea
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1043485	M00179	Ribosome, archaea
V1000840	M00164	ATP synthase
V1339706	M00276	PTS system, mannose-specific II component
V1000021	M00179	Ribosome, archaea
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000547	M00197	Putative fructooligosaccharide transport system
V1036606	M00164	ATP synthase
V1879928	M00276	PTS system, mannose-specific II component
V1000641	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1356383	M00197	Putative fructooligosaccharide transport system
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1482595	M00178	Ribosome, bacteria
V1491685	M00346	Formaldehyde assimilation, serine pathway
V1580898	M00179	Ribosome, archaea
V1000040	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1431607	M00178	Ribosome, bacteria
V1852084	M00179	Ribosome, archaea
V1000842	M00164	ATP synthase
V1391945	M00276	PTS system, mannose-specific II component
V1306539	M00179	Ribosome, archaea
V1381099	M00164	ATP synthase
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1574099	M00276	PTS system, mannose-specific II component
V1000003	M00178	Ribosome, bacteria
V1144023	M00276	PTS system, mannose-specific II component
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000011	M00179	Ribosome, archaea
V1886416	M00002	Glycolysis, core module involving three-carbon compounds
V1000005	M00179	Ribosome, archaea
V1879847	M00197	Putative fructooligosaccharide transport system
V1879856	M00276	PTS system, mannose-specific II component
V1000845	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1000013	M00179	Ribosome, archaea
V1033803	M00164	ATP synthase
V1143984	M00346	Formaldehyde assimilation, serine pathway
V1852083	M00179	Ribosome, archaea
V1364188	M00164	ATP synthase
V1491714	M00178	Ribosome, bacteria
V1886409	M00335	Sec (secretion) system
V1000080	M00178	Ribosome, bacteria
V1033302	M00335	Sec (secretion) system
V1000944	M00179	Ribosome, archaea
V1000528	M00179	Ribosome, archaea
V1592992	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000519	M00268	PTS system, alpha-glucoside-specific II component
V1836804	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1828770	M00374	Dicarboxylate-hydroxybutyrate cycle
V1879848	M00197	Putative fructooligosaccharide transport system
V1464441	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1006021	M00179	Ribosome, archaea
