Gene	KEGG_module_number	Annotation
V1000546	M00197	Putative fructooligosaccharide transport system
V1000545	M00197	Putative fructooligosaccharide transport system
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1093074	M00197	Putative fructooligosaccharide transport system
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1430275	M00164	ATP synthase
V1000004	M00183	RNA polymerase, bacteria
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1464170	M00164	ATP synthase
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1001368	M00276	PTS system, mannose-specific II component
V1000841	M00164	ATP synthase
V1576144	M00335	Sec (secretion) system
V1043485	M00179	Ribosome, archaea
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1000886	M00207	Putative multiple sugar transport system
V1574099	M00276	PTS system, mannose-specific II component
V1144133	M00197	Putative fructooligosaccharide transport system
V1000018	M00179	Ribosome, archaea
V1164548	M00183	RNA polymerase, bacteria
V1158426	M00276	PTS system, mannose-specific II component
V1430573	M00197	Putative fructooligosaccharide transport system
V1036606	M00164	ATP synthase
V1000547	M00197	Putative fructooligosaccharide transport system
V1356383	M00197	Putative fructooligosaccharide transport system
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1000519	M00268	PTS system, alpha-glucoside-specific II component
V1431607	M00178	Ribosome, bacteria
V1198530	M00279	PTS system, galactitol-specific II component
V1000840	M00164	ATP synthase
V1073967	M00179	Ribosome, archaea
V1000842	M00164	ATP synthase
V1000943	M00179	Ribosome, archaea
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000017	M00178	Ribosome, bacteria
V1000641	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1391945	M00276	PTS system, mannose-specific II component
V1306539	M00179	Ribosome, archaea
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1886416	M00002	Glycolysis, core module involving three-carbon compounds
V1000171	M00239	Peptides/nickel transport system
V1482595	M00178	Ribosome, bacteria
V1033803	M00164	ATP synthase
V1006727	M00178	Ribosome, bacteria
V1851977	M00254	ABC-2 type transport system
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000040	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1420584	M00279	PTS system, galactitol-specific II component
V1000021	M00179	Ribosome, archaea
V1340164	M00164	ATP synthase
V1144210	M00179	Ribosome, archaea
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000845	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1042355	M00276	PTS system, mannose-specific II component
V1006020	M00179	Ribosome, archaea
V1000181	M00254	ABC-2 type transport system
V1000080	M00178	Ribosome, bacteria
V1368901	M00197	Putative fructooligosaccharide transport system
V1580898	M00179	Ribosome, archaea
V1879848	M00197	Putative fructooligosaccharide transport system
V1381099	M00164	ATP synthase
V1889488	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1879847	M00197	Putative fructooligosaccharide transport system
V1430517	M00279	PTS system, galactitol-specific II component
V1000944	M00179	Ribosome, archaea
V1886605	M00197	Putative fructooligosaccharide transport system
V1143377	M00273	PTS system, fructose-specific II component
V1852084	M00179	Ribosome, archaea
V1238174	M00179	Ribosome, archaea
V1879849	M00197	Putative fructooligosaccharide transport system
V1000844	M00254	ABC-2 type transport system
V1394389	M00197	Putative fructooligosaccharide transport system
V1000003	M00178	Ribosome, bacteria
V1852083	M00179	Ribosome, archaea
V1884213	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1143984	M00346	Formaldehyde assimilation, serine pathway
