Gene	KEGG_module_number	Annotation
V1000546	M00197	Putative fructooligosaccharide transport system
V1000004	M00183	RNA polymerase, bacteria
V1001368	M00276	PTS system, mannose-specific II component
V1576144	M00335	Sec (secretion) system
V1574099	M00276	PTS system, mannose-specific II component
V1000171	M00239	Peptides/nickel transport system
V1000545	M00197	Putative fructooligosaccharide transport system
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1181469	M00346	Formaldehyde assimilation, serine pathway
V1000018	M00179	Ribosome, archaea
V1000943	M00179	Ribosome, archaea
V1164548	M00183	RNA polymerase, bacteria
V1158426	M00276	PTS system, mannose-specific II component
V1043485	M00179	Ribosome, archaea
V1172048	M00197	Putative fructooligosaccharide transport system
V1344061	M00239	Peptides/nickel transport system
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1073967	M00179	Ribosome, archaea
V1430275	M00164	ATP synthase
V1724685	M00197	Putative fructooligosaccharide transport system
V1431607	M00178	Ribosome, bacteria
V1464170	M00164	ATP synthase
V1000017	M00178	Ribosome, bacteria
V1000886	M00207	Putative multiple sugar transport system
V1000008	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1266145	M00368	Ethylene biosynthesis, methionine => ethylene
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1000021	M00179	Ribosome, archaea
V1238174	M00179	Ribosome, archaea
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1175472	M00335	Sec (secretion) system
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1482595	M00178	Ribosome, bacteria
V1580898	M00179	Ribosome, archaea
V1000840	M00164	ATP synthase
V1181512	M00179	Ribosome, archaea
V1000841	M00164	ATP synthase
V1144210	M00179	Ribosome, archaea
V1000547	M00197	Putative fructooligosaccharide transport system
V1042355	M00276	PTS system, mannose-specific II component
V1036606	M00164	ATP synthase
V1000842	M00164	ATP synthase
V1391945	M00276	PTS system, mannose-specific II component
V1006020	M00179	Ribosome, archaea
V1000080	M00178	Ribosome, bacteria
V1010209	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1464610	M00197	Putative fructooligosaccharide transport system
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1852084	M00179	Ribosome, archaea
V1306539	M00179	Ribosome, archaea
V1175828	M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
V1000013	M00179	Ribosome, archaea
V1491714	M00178	Ribosome, bacteria
V1000003	M00178	Ribosome, bacteria
V1144133	M00197	Putative fructooligosaccharide transport system
V1384350	M00179	Ribosome, archaea
V1000011	M00179	Ribosome, archaea
V1000168	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1430573	M00197	Putative fructooligosaccharide transport system
V1852083	M00179	Ribosome, archaea
V1183570	M00164	ATP synthase
V1465978	M00197	Putative fructooligosaccharide transport system
V1014932	M00239	Peptides/nickel transport system
V1239784	M00178	Ribosome, bacteria
V1015867	M00179	Ribosome, archaea
V1000005	M00179	Ribosome, archaea
V1462056	M00206	Cellobiose transport system
V1836804	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1592992	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1006727	M00178	Ribosome, bacteria
V1237835	M00239	Peptides/nickel transport system
