Gene	KEGG_module_number	Annotation
V1033557	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1338863	M00002	Glycolysis, core module involving three-carbon compounds
V1204502	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033079	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1872766	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033549	M00346	Formaldehyde assimilation, serine pathway
V1032617	M00222	Phosphate transport system
V1033097	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1033096	M00183	RNA polymerase, bacteria
V1033500	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1032631	M00197	Putative fructooligosaccharide transport system
V1765286	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1033558	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1032513	M00179	Ribosome, archaea
V1885172	M00164	ATP synthase
V1032825	M00335	Sec (secretion) system
V1032814	M00179	Ribosome, archaea
V1032826	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1032815	M00178	Ribosome, bacteria
V1046995	M00164	ATP synthase
V1032616	M00222	Phosphate transport system
V1872734	M00179	Ribosome, archaea
V1047181	M00207	Putative multiple sugar transport system
V1033091	M00179	Ribosome, archaea
V1032615	M00222	Phosphate transport system
V1032614	M00222	Phosphate transport system
V1046993	M00164	ATP synthase
V1150427	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1033428	M00276	PTS system, mannose-specific II component
V1882237	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1046991	M00164	ATP synthase
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1032341	M00164	ATP synthase
V1033332	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
V1032342	M00164	ATP synthase
V1884566	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1032750	M00179	Ribosome, archaea
V1884638	M00002	Glycolysis, core module involving three-carbon compounds
V1047060	M00239	Peptides/nickel transport system
V1032407	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1884576	M00164	ATP synthase
V1032818	M00179	Ribosome, archaea
V1883121	M00164	ATP synthase
V1032829	M00178	Ribosome, bacteria
V1032630	M00197	Putative fructooligosaccharide transport system
V1033331	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
V1033098	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1884555	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033559	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1806575	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
V1755587	M00179	Ribosome, archaea
V1883097	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1032984	M00179	Ribosome, archaea
V1424927	M00179	Ribosome, archaea
V1032807	M00179	Ribosome, archaea
V1552800	M00178	Ribosome, bacteria
V1338860	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
