Gene	KEGG_pathwayID	Annotation
V1073455	map00710	Carbon fixation in photosynthetic organisms
V1436641	map00650	Butanoate metabolism
V1074069	map05152	Tuberculosis
V1500439	map04626	Plant-pathogen interaction
V1392272	map00710	Carbon fixation in photosynthetic organisms
V1485691	map04626	Plant-pathogen interaction
V1012818	map00650	Butanoate metabolism
V1075033	map05010	Alzheimer's disease
V1145082	map04973	Carbohydrate digestion and absorption
V1079141	map00720	Carbon fixation pathways in prokaryotes
V1138803	map05152	Tuberculosis
V1037687	map05152	Tuberculosis
V1081232	map00650	Butanoate metabolism
V1201618	map00650	Butanoate metabolism
V1337358	map04621	NOD-like receptor signaling pathway
V1368901	map02030	Bacterial chemotaxis
V1394389	map02030	Bacterial chemotaxis
V1077152	map03010	Ribosome
V1884207	map02010	ABC transporters
V1070888	map04621	NOD-like receptor signaling pathway
V1292575	map04626	Plant-pathogen interaction
V1576661	map00910	Nitrogen metabolism
V1073738	map03010	Ribosome
V1501870	map05152	Tuberculosis
V1145548	map03010	Ribosome
V1038361	map04626	Plant-pathogen interaction
V1081813	map00195	Photosynthesis
V1272241	map03010	Ribosome
V1138842	map03010	Ribosome
V1072266	map03018	RNA degradation
V1499048	map03020	RNA polymerase
V1080826	map03010	Ribosome
V1080812	map05215	Prostate cancer
V1139649	map03020	RNA polymerase
V1152427	map00720	Carbon fixation pathways in prokaryotes
V1166924	map05152	Tuberculosis
V1353182	map05152	Tuberculosis
V1073737	map03010	Ribosome
V1036256	map02010	ABC transporters
V1375437	map00450	Selenocompound metabolism
V1081021	map00970	Aminoacyl-tRNA biosynthesis
V1366835	map03010	Ribosome
V1014074	map00650	Butanoate metabolism
V1277310	map03070	Bacterial secretion system
V1173647	map04626	Plant-pathogen interaction
V1036259	map00500	Starch and sucrose metabolism
V1076687	map00860	Porphyrin and chlorophyll metabolism
V1008596	map05152	Tuberculosis
V1037518	map03010	Ribosome
V1152674	map05152	Tuberculosis
V1038252	map00195	Photosynthesis
V1083488	map03010	Ribosome
V1238174	map03010	Ribosome
V1036164	map05152	Tuberculosis
V1374743	map03018	RNA degradation
V1806808	map00710	Carbon fixation in photosynthetic organisms
V1484064	map02030	Bacterial chemotaxis
V1368958	map05010	Alzheimer's disease
V1152905	map00195	Photosynthesis
V1249839	map05152	Tuberculosis
V1140098	map00195	Photosynthesis
V1577002	map03010	Ribosome
V1138616	map04910	Insulin signaling pathway
V1068939	map00500	Starch and sucrose metabolism
V1266125	map00650	Butanoate metabolism
V1010605	map05152	Tuberculosis
V1076810	map03010	Ribosome
V1037377	map00680	Methane metabolism
V1010320	map00630	Glyoxylate and dicarboxylate metabolism
V1613141	map03010	Ribosome
V1082180	map00720	Carbon fixation pathways in prokaryotes
V1074700	map00710	Carbon fixation in photosynthetic organisms
V1139283	map00524	Butirosin and neomycin biosynthesis
V1265052	map03018	RNA degradation
V1076102	map03010	Ribosome
V1014932	map02010	ABC transporters
V1806795	map05010	Alzheimer's disease
V1138313	map00520	Amino sugar and nucleotide sugar metabolism
V1080453	map03070	Bacterial secretion system
V1075073	map03010	Ribosome
V1073923	map03020	RNA polymerase
V1086903	map05152	Tuberculosis
V1617409	map03010	Ribosome
V1266177	map02010	ABC transporters
V1015867	map03010	Ribosome
V1087127	map00051	Fructose and mannose metabolism
V1080488	map00710	Carbon fixation in photosynthetic organisms
V1500737	map00680	Methane metabolism
V1190680	map00300	Lysine biosynthesis
V1036227	map02010	ABC transporters
V1526141	map00970	Aminoacyl-tRNA biosynthesis
V1036261	map02010	ABC transporters
V1441127	map03010	Ribosome
V1034175	map02030	Bacterial chemotaxis
V1075480	map00520	Amino sugar and nucleotide sugar metabolism
V1367838	map00500	Starch and sucrose metabolism
V1613200	map00590	Arachidonic acid metabolism
V1884213	map00720	Carbon fixation pathways in prokaryotes
V1138253	map00720	Carbon fixation pathways in prokaryotes
V1031976	map00710	Carbon fixation in photosynthetic organisms
V1482769	map00500	Starch and sucrose metabolism
V1367285	map00650	Butanoate metabolism
V1481110	map00473	D-Alanine metabolism
V1073922	map03010	Ribosome
V1269313	map03010	Ribosome
V1375318	map05152	Tuberculosis
V1089092	map03010	Ribosome
V1200468	map04141	Protein processing in endoplasmic reticulum
V1073219	map00620	Pyruvate metabolism
V1138614	map03010	Ribosome
V1085061	map00480	Glutathione metabolism
V1038267	map00970	Aminoacyl-tRNA biosynthesis
V1083487	map03010	Ribosome
V1434355	map00910	Nitrogen metabolism
V1841419	map00720	Carbon fixation pathways in prokaryotes
V1440841	map00710	Carbon fixation in photosynthetic organisms
V1384350	map03010	Ribosome
V1162245	map04910	Insulin signaling pathway
V1037422	map00195	Photosynthesis
V1016891	map03440	Homologous recombination
V1266145	map00270	Cysteine and methionine metabolism
V1337573	map04621	NOD-like receptor signaling pathway
V1559864	map00650	Butanoate metabolism
V1177532	map03010	Ribosome
V1012925	map00720	Carbon fixation pathways in prokaryotes
V1291747	map00720	Carbon fixation pathways in prokaryotes
V1368877	map02030	Bacterial chemotaxis
V1076928	map03010	Ribosome
V1198668	map00710	Carbon fixation in photosynthetic organisms
V1364433	map00650	Butanoate metabolism
V1269402	map05010	Alzheimer's disease
V1015704	map00650	Butanoate metabolism
V1037423	map00195	Photosynthesis
V1612264	map03010	Ribosome
V1432853	map03010	Ribosome
V1294043	map03010	Ribosome
V1139917	map00970	Aminoacyl-tRNA biosynthesis
V1413731	map00650	Butanoate metabolism
V1414237	map04626	Plant-pathogen interaction
V1728061	map03010	Ribosome
V1083207	map00010	Glycolysis / Gluconeogenesis
V1085162	map00680	Methane metabolism
V1445419	map04930	Type II diabetes mellitus
V1464284	map00052	Galactose metabolism
V1076929	map03010	Ribosome
V1531057	map05152	Tuberculosis
V1073414	map00195	Photosynthesis
V1327984	map00720	Carbon fixation pathways in prokaryotes
V1006055	map04621	NOD-like receptor signaling pathway
V1015868	map03010	Ribosome
V1073798	map00750	Vitamin B6 metabolism
V1144908	map05152	Tuberculosis
V1000004	map03020	RNA polymerase
V1500100	map03010	Ribosome
V1079230	map00970	Aminoacyl-tRNA biosynthesis
V1012602	map00720	Carbon fixation pathways in prokaryotes
V1076103	map03010	Ribosome
V1079145	map00190	Oxidative phosphorylation
V1038324	map02010	ABC transporters
V1249122	map03010	Ribosome
V1000546	map02030	Bacterial chemotaxis
V1500790	map02040	Flagellar assembly
V1528357	map00650	Butanoate metabolism
V1038271	map00240	Pyrimidine metabolism
V1083489	map03070	Bacterial secretion system
V1038272	map00970	Aminoacyl-tRNA biosynthesis
V1083710	map00970	Aminoacyl-tRNA biosynthesis
V1074475	map00190	Oxidative phosphorylation
V1364027	map02010	ABC transporters
