Gene	CDD	GO	Gene3D	Hamap	Interpro	MobiDBLite	PIRSF	PRINTS	Pfam	ProDom	ProSitePatterns	ProSiteProfiles	SFLD	SMART	SUPERFAMILY	TIGRFAM
V1339799		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1143274		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1000639		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain	; NAD(P)-binding Rossmann-like Domain; Dihydrodipicolinate Reductase; domain 2		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain		; (Full) glyceraldehyde-3-phosphate dehydrogenase	; Glyceraldehyde-3-phosphate dehydrogenase signature	; Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain					; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	; NAD(P)-binding Rossmann-fold domains; Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain	;  glyceraldehyde-3-phosphate dehydrogenase, type I
V1000546			; Periplasmic binding protein-like II; Periplasmic binding protein-like II						; Bacterial extracellular solute-binding protein			; Prokaryotic membrane lipoprotein lipid attachment site profile.			; Periplasmic binding protein-like II	
V1000122	; EFTU_II; EFTU_III; EF_Tu	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain	; Translation factors; Translation factors; P-loop containing nucleotide triphosphate hydrolases	; Elongation factor Tu [tuf].	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2		; Translational (tr)-type guanine nucleotide-binding (G) domain signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.			; EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain; Translation proteins; P-loop containing nucleoside triphosphate hydrolases	;  translation elongation factor Tu;  small GTP-binding protein domain
V1034630	; DPS	; DNA-binding protein Dps; DNA-binding protein Dps, conserved site; Ferritin-like superfamily; Ferritin-related; Ferritin/DPS protein domain			; DNA-binding protein Dps; DNA-binding protein Dps, conserved site; Ferritin-like superfamily; Ferritin-related; Ferritin/DPS protein domain		; (Full/Desc.) ferritin-like protein, Dps type	; Helicobacter neutrophil-activating protein A family signature	; Ferritin-like domain		; Dps protein family signature 1.				; Ferritin-like	
V1000534	; HP_PGM_like	; Histidine phosphatase superfamily; Histidine phosphatase superfamily, clade-1; Phosphoglycerate mutase 1; Phosphoglycerate/bisphosphoglycerate mutase, active site	; Phosphoglycerate mutase-like	; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [gpmA].	; Histidine phosphatase superfamily; Histidine phosphatase superfamily, clade-1; Phosphoglycerate mutase 1; Phosphoglycerate/bisphosphoglycerate mutase, active site				; Histidine phosphatase superfamily (branch 1)		; Phosphoglycerate mutase family phosphohistidine signature.			; Phosphoglycerate mutase family	; Phosphoglycerate mutase-like	;  phosphoglycerate mutase 1 family
V1886719		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1851961	; AAA	; AAA+ ATPase domain; ATPase, AAA-type, core; Clp ATPase, C-terminal; ClpA/B family; ClpA/B, conserved site 1; ClpA/B, conserved site 2; P-loop containing nucleoside triphosphate hydrolase; UVR domain	; P-loop containing nucleotide triphosphate hydrolases; P-loop containing nucleotide triphosphate hydrolases		; AAA+ ATPase domain; ATPase, AAA-type, core; Clp ATPase, C-terminal; ClpA/B family; ClpA/B, conserved site 1; ClpA/B, conserved site 2; P-loop containing nucleoside triphosphate hydrolase; UVR domain	; consensus disorder prediction		; ATP-dependent Clp protease ATP-binding subunit signature	; AAA domain (Cdc48 subfamily); ATPase family associated with various cellular activities (AAA); C-terminal, D2-small domain, of ClpB protein; UvrB/uvrC motif		; Chaperonins clpA/B signature 1.; Chaperonins clpA/B signature 2.	; UVR domain profile.		; C-terminal, D2-small domain, of ClpB protein; ATPases associated with a variety of cellular activities; ATPases associated with a variety of cellular activities	; P-loop containing nucleoside triphosphate hydrolases; P-loop containing nucleoside triphosphate hydrolases	
V1577228	; HSPA9-Ssq1-like_NBD	; Chaperone DnaK; Heat shock protein 70 family; Heat shock protein 70, conserved site; Heat shock protein 70kD, C-terminal domain; Heat shock protein 70kD, peptide-binding domain	; Actin; Chain A; Substrate Binding Domain Of DNAk; Chain A	; Chaperone protein DnaK [dnaK].	; Chaperone DnaK; Heat shock protein 70 family; Heat shock protein 70, conserved site; Heat shock protein 70kD, C-terminal domain; Heat shock protein 70kD, peptide-binding domain			; 70kDa heat shock protein signature	; Hsp70 protein		; Heat shock hsp70 proteins family signature 1.; Heat shock hsp70 proteins family signature 2.; Heat shock hsp70 proteins family signature 3.				; Heat shock protein 70kD (HSP70), peptide-binding domain; Actin-like ATPase domain; Actin-like ATPase domain; Heat shock protein 70kD (HSP70), C-terminal subdomain	;  chaperone protein DnaK
V1464571	; EFTU_II; EFTU_III; EF_Tu	; Elongation factor Tu, domain 2; Metalloenzyme, LuxS/M16 peptidase-like; P-loop containing nucleoside triphosphate hydrolase; Peptidase M16 domain; Peptidase M16, N-terminal; Peptidase M16, zinc-binding site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain	; Translation factors; Cytochrome Bc1 Complex; Chain A; P-loop containing nucleotide triphosphate hydrolases; Translation factors	; Elongation factor Tu [tuf].	; Elongation factor Tu, domain 2; Metalloenzyme, LuxS/M16 peptidase-like; P-loop containing nucleoside triphosphate hydrolase; Peptidase M16 domain; Peptidase M16, N-terminal; Peptidase M16, zinc-binding site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2; Insulinase (Peptidase family M16)		; Insulinase family, zinc-binding region signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.			; LuxS/MPP-like metallohydrolase; P-loop containing nucleoside triphosphate hydrolases; Translation proteins; EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain	;  translation elongation factor Tu
V1000487	; TBP_aldolase_IIB	; Aldolase-type TIM barrel; Fructose-1,6-bisphosphate aldolase, class 2; Fructose-bisphosphate aldolase, class-II	; Aldolase class I		; Aldolase-type TIM barrel; Fructose-1,6-bisphosphate aldolase, class 2; Fructose-bisphosphate aldolase, class-II		; (Full) fructose-bisphosphate aldolase II		; Fructose-bisphosphate aldolase class-II						; Aldolase	;  ketose-bisphosphate aldolase;  fructose-1,6-bisphosphate aldolase, class II
V1000549		; Galactose mutarotase-like domain; Glycoside hydrolase family 65, C-terminal; Glycoside hydrolase, family 65, N-terminal; Glycoside hydrolase, family 65, central catalytic; Maltose phosphorylase/glycosyl hydrolase/vacuolar acid trehalase; Six-hairpin glycosidase; Six-hairpin glycosidase-like	; Maltose phosphorylase; Galactose mutarotase-like. Domain 1		; Galactose mutarotase-like domain; Glycoside hydrolase family 65, C-terminal; Glycoside hydrolase, family 65, N-terminal; Glycoside hydrolase, family 65, central catalytic; Maltose phosphorylase/glycosyl hydrolase/vacuolar acid trehalase; Six-hairpin glycosidase; Six-hairpin glycosidase-like		; (Full) maltose phosphorylase/glycosyl hydrolase/vacuolar acid trehalase		; Glycosyl hydrolase family 65 central catalytic domain; Glycosyl hydrolase family 65, C-terminal domain; Glycosyl hydrolase family 65, N-terminal domain						; Galactose mutarotase-like; Six-hairpin glycosidases	
V1000545	; TM_PBP2	; ABC transporter type 1, transmembrane domain MetI-like	; MetI-like; MalF N-terminal region-like		; ABC transporter type 1, transmembrane domain MetI-like				; Binding-protein-dependent transport system inner membrane component			; ABC transporter integral membrane type-1 domain profile.			; MetI-like	
V1423318		; Immunoglobulin/albumin-binding domain; SLAP domain, Lactobacillus; YSIRK Gram-positive signal peptide	; Albumin-binding domain; Albumin-binding domain		; Immunoglobulin/albumin-binding domain; SLAP domain, Lactobacillus; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; Bacterial surface layer protein; YSIRK type signal peptide						; Immunoglobulin-binding domains; Bacterial immunoglobulin/albumin-binding domains; Bacterial immunoglobulin/albumin-binding domains	;  gram-positive signal peptide, YSIRK family
V1093074			; Periplasmic binding protein-like II						; Bacterial extracellular solute-binding protein						; Periplasmic binding protein-like II	
