gene	geneProduct
V1337358	Thiol-activated cytolysin
V1167012	hypothetical protein
V1067936	Formate acetyltransferase
V1394389	Cyclodextrin-binding protein precursor
V1166924	Heat shock protein 70
V1036256	Maltodextrin-binding protein
V1368901	Maltose/maltodextrin-binding protein precursor
V1036177	Fimbrial subunit type 1 precursor
V1066646	Maltose/maltodextrin-binding protein precursor
V1181936	Formate acetyltransferase
V1145548	30S ribosomal protein S1
V1342924	Putative endo-beta-N-acetylglucosaminidase precursor
V1806808	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1884207	Maltose transport system permease protein MalF
V1445200	hypothetical protein
V1036164	Stress protein H5
V1145082	Beta/alpha-amylase precursor
V1422497	hypothetical protein
V1013684	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1038361	Elongation factor Tu
V1037518	50S ribosomal protein L7/L12
V1070888	Thiol-activated cytolysin
V1036259	4-alpha-glucanotransferase
V1834858	hypothetical protein
V1103115	Cyclodextrin-binding protein precursor
V1036425	hypothetical protein
V1081232	Formate acetyltransferase 1
V1364027	maltose ABC transporter periplasmic protein
V1362379	hypothetical protein
V1549573	co-chaperonin GroES
V1362785	maltose ABC transporter periplasmic protein
V1036115	HSP-70 cofactor
V1037512	hypothetical protein
V1168807	Translation initiation factor IF-1
V1038252	F-ATPase gamma subunit
V1067937	Pyruvate formate-lyase-activating enzyme
V1168094	50S ribosomal protein L6
V1190199	Putative endo-beta-N-acetylglucosaminidase precursor
V1066144	Cold shock-like protein
V1157772	Translation initiation factor IF-3
V1006055	Thiol-activated cytolysin
V1067114	Thioredoxin reductase
V1065438	Stress protein H5
V1162245	Maltodextrin phosphorylase
V1737033	hypothetical protein
V1367590	Elongation factor Ts
V1157569	F-ATPase subunit 6
V1200593	Multiple sugar-binding protein precursor
V1313683	F-ATPase subunit 6
V1834832	transcriptional regulator ICP4
V1806795	Glyceraldehyde-3-phosphate dehydrogenase
V1036274	DivIVA domain protein
V1239597	Dark-response protein 21
V1085154	hypothetical protein
V1068939	1%2C4-alpha-glucan branching enzyme GlgB
V1145034	hypothetical protein
V1037422	F-type ATPase subunit b
V1036261	Inner membrane ABC transporter permease protein YcjP
V1138953	Fimbrial subunit type 1 precursor
V1200931	50S ribosomal protein L16
V1038267	Threonine--tRNA ligase
V1526141	Phenylalanine--tRNA ligase beta subunit
V1145663	Elongation factor G
V1345614	NADP-dependent isopropanol dehydrogenase
V1036191	Alkyl hydroperoxide reductase subunit C
V1383841	50S ribosomal protein L10
V1445419	Pyruvate kinase
V1034175	Cyclodextrin-binding protein precursor
V1312248	Trigger factor
V1036826	Phosphoenolpyruvate carboxylase
V1139744	Pullulanase
V1006110	50S ribosomal protein L24
V1040344	Formate acetyltransferase
V1362787	30S ribosomal protein S15
V1145315	DNA-directed RNA polymerase subunit alpha
V1235913	ATP synthase subunit alpha
V1036479	Serine/threonine-protein kinase PknB
V1066910	Ribonuclease Y
V1037423	ATP synthase subunit alpha
V1036988	Anaerobic ribonucleoside-triphosphate reductase
V1036176	sortase
V1367869	Trehalose import ATP-binding protein SugC
V1036270	cell division protein MraZ
V1067454	Heat shock protein 70
V1266177	Nickel-binding periplasmic protein precursor
V1035957	Maltose-binding periplasmic proteins/domains
V1162256	30S ribosomal protein S4
V1140854	ATP-dependent Clp protease ATP-binding subunit ClpC
V1368546	protoporphyrinogen oxidase
V1445347	DNA-directed RNA polymerase subunit beta'
V1162252	RNA polymerase principal sigma factor HrdB
V1036367	hypothetical protein
V1037884	hypothetical protein
V1496913	hypothetical protein
V1037074	Polyphosphate kinase
V1013092	Formate acetyltransferase
V1230382	flagellar basal body-associated protein FliL
V1067558	Glyceraldehyde-3-phosphate dehydrogenase
V1162280	hypothetical protein
V1819269	50S ribosomal protein L2
V1065923	ATP synthase subunit beta%2C sodium ion specific
V1066664	Flagellar hook-associated protein 1
V1036378	Uridylate kinase
V1067088	Fructose-bisphosphate aldolase
V1067559	Phosphoglycerate kinase
V1496602	hypothetical protein
V1036773	DNA gyrase subunit B
V1313175	Enolase
V1036258	L-arabinose transport system permease protein AraQ
V1384369	fimbrial isopeptide formation D2 domain protein
V1036092	Putative transcriptional regulator YvhJ
V1138581	DNA gyrase subunit A
V1198628	hypothetical protein
V1036111	Adenylosuccinate synthetase
V1038272	Lysine--tRNA ligase
V1036616	Aminopeptidase C
V1069093	Putative aldehyde dehydrogenase AldA
V1137087	Transketolase
V1038263	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase PksC
V1036907	hypothetical protein
V1038271	CTP synthase
V1067061	Threonine--tRNA ligase 2
V1355511	hypothetical protein
V1036465	Serine/threonine-protein kinase PrkC
V1527021	Pyruvate kinase
V1341888	flagellar capping protein
V1111738	co-chaperonin GroES
V1067115	Alkyl hydroperoxide reductase subunit C
V1265423	hypothetical protein
V1036260	Pullulanase precursor
V1144728	putative ATP-dependent Clp protease ATP-binding subunit
V1728061	30S ribosomal protein S2
V1037426	Inner membrane protein YbhL
V1103133	hypothetical protein
V1158372	ATP synthase subunit beta
V1237403	Transaldolase
V1037687	Stress protein H5
V1036298	Antiseptic resistance protein
V1036841	ATP-dependent zinc metalloprotease FtsH
V1036483	PP2C-family Ser/Thr phosphatase
V1067099	6-phosphofructokinase
V1037254	hypothetical protein
V1066648	DNA-directed RNA polymerase subunit beta
V1337287	30S ribosomal protein S5
V1464834	Formate acetyltransferase
V1036481	Penicillin-binding protein A
V1037678	ATP-dependent Clp protease proteolytic subunit 1
V1265557	Outer membrane protein alpha precursor
V1066613	product=enterobactin exporter EntS
V1036959	Type-2 restriction enzyme BsuMI component YdiS
V1036127	potassium transport protein Kup
V1368264	Maltose transport system permease protein MalG
V1036227	Dipeptide-binding protein DppE precursor
V1068297	Trigger factor
V1389977	heat shock chaperone IbpB
V1181333	Pyruvate kinase
V1383833	Butanolide receptor
V1036169	hypothetical protein
V1066640	Elongation factor Tu
V1036422	Long-chain-fatty-acid--CoA ligase FadD15
V1065536	Pyruvate kinase
V1036839	Putative phenylalanine aminotransferase
V1037345	Aldehyde-alcohol dehydrogenase
V1036795	putative transcriptional regulatory protein pdtaR
V1036684	Penicillin-binding protein 1*
V1103096	hypothetical protein
V1036611	Inorganic pyrophosphatase
V1105335	Ribonuclease Y
V1040198	Stress protein H5
V1687755	30S ribosomal protein S10
V1036282	Polyphosphate glucokinase
V1066655	hypothetical protein
V1031979	Dark-response protein 21
V1201875	Methyl-accepting chemotaxis protein McpC
V1036407	Putative thiamine biosynthesis protein
V1036458	Teichoic acid translocation permease protein TagG
V1032135	Stress protein H5
V1380123	Na(+)-translocating ATPase gamma chain
V1036565	Guanosine-5'-triphosphate%2C3'-diphosphate pyrophosphatase
V1318362	50S ribosomal protein L15
V1553792	RNA polymerase-binding transcription factor CarD
V1013685	Lactose transport system permease protein LacF
V1036223	Tyrosine phosphorylated protein A
V1194952	hypothetical protein
V1806766	Ammonia transporter
V1172076	Trehalose import ATP-binding protein SugC
V1200468	hypothetical protein
V1067581	Flagellar hook protein FlgE
V1036101	hypothetical protein
V1072900	Enolase
V1384074	hypothetical protein
V1065916	Phase 1-C flagellin
V1036186	Periplasmic serine endoprotease DegP precursor
V1032070	Maltodextrin phosphorylase
V1301930	50S ribosomal protein L7/L12
V1010320	putative FAD-linked oxidoreductase
V1190195	Phase 1-C flagellin
V1295007	Valine--tRNA ligase
