gene	geneProduct
V1034630	DNA protection during starvation protein
V1143274	gram-positive signal peptide%2C YSIRK family
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1000122	Elongation factor Tu
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1431607	50S ribosomal protein L21
V1464571	Elongation factor Tu-B
V1016072	DNA replication initiation protein gpA
V1000487	Fructose-bisphosphate aldolase
V1000075	Ribonuclease P protein component
V1016074	capsid protein
V1000004	DNA-directed RNA polymerase subunit alpha
V1000943	50S ribosomal protein L11
V1836804	Lysine--tRNA ligase
V1016073	minor spike protein
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1000944	50S ribosomal protein L1
V1195882	Fructose-bisphosphate aldolase
V1553523	Foldase protein PrsA precursor
V1000129	Tyrosine phosphorylated protein A
V1852092	Folate ECF transporter S component FolT
V1852039	RNAP delta factor
V1000080	hypothetical protein
V1439186	50S ribosomal protein L19
V1000116	Pyruvate kinase
V1073967	50S ribosomal protein L10
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1000527	Vegetative protein 19
V1000143	Elongation factor Ts
V1000305	Enolase
V1000546	Maltose/maltodextrin-binding protein precursor
V1000079	DNA gyrase subunit A
V1339929	L-lactate dehydrogenase
V1306539	50S ribosomal protein L13
V1000003	hypothetical protein
V1886336	Phosphocarrier protein HPr
V1000627	Ribonuclease Y
V1339711	Foldase protein PrsA precursor
V1000549	Maltose phosphorylase
V1541158	major spike protein
V1423318	Immunoglobulin G-binding protein G precursor
V1392006	50S ribosomal protein L19
V1887021	Trigger factor
V1000640	Phosphoglycerate kinase
V1000630	preprotein translocase subunit SecA
V1000106	Formate--tetrahydrofolate ligase 1
V1612021	Cell division protein SepF
V1000845	Glucose-6-phosphate isomerase
V1000570	Rod shape-determining protein MreB
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1000638	Central glycolytic genes regulator
V1852133	Translation initiation factor IF-3
V1064214	external scaffolding protein
V1912442	6-phosphofructokinase
V1000144	Vegetative protein 209
V1000525	Pantothenate kinase
V1000836	50S ribosomal protein L31 type B
V1006020	50S ribosomal protein L2
V1000093	Putative penicillin-binding protein PbpX
V1503164	Serine-rich repeat protein GspB
V1000596	Stress protein H5
V1000533	CTP synthase
V1006727	30S ribosomal protein S1
V1000045	hypothetical protein
V1000548	Beta-phosphoglucomutase
V1000018	hypothetical protein
V1000017	50S ribosomal protein L16
V1076330	Helix-destabilizing protein
V1392169	hypothetical protein
V1000001	30S ribosomal protein S9
V1059001	Phosphoenolpyruvate-protein phosphotransferase
V1000023	Ribose-phosphate pyrophosphokinase
V1000545	Maltose transport system permease protein MalF
V1581223	Helix-destabilizing protein
V1491714	30S ribosomal protein S1
V1000021	50S ribosomal protein L3
V1382281	50S ribosomal protein L27
V1000057	Ribose-phosphate pyrophosphokinase
V1000882	Acetate kinase
V1000050	Cysteine-rich secretory protein family protein
V1852094	Adenylosuccinate lyase
V1000044	Asparagine synthetase [glutamine-hydrolyzing] 1
V1392216	Stress protein H5
V1000300	Aspartate--tRNA ligase
V1290863	gram-positive signal peptide%2C YSIRK family
V1552777	Translation initiation factor IF-2
V1043994	Elongation factor Ts
V1000081	Bifunctional oligoribonuclease and PAP phosphatase NrnA
V1000643	Ribonuclease R
V1104333	Proline iminopeptidase
V1006017	Ribonucleoside-diphosphate reductase subunit beta nrdF2
V1851985	3-hydroxy-3-methylglutaryl-coenzyme A reductase
V1000082	Replicative DNA helicase
V1295196	Cell division protein FtsA
V1000841	F-type ATPase subunit delta
V1481366	30S ribosomal protein S1
V1204223	repeat
V1607545	Lactococcin-G-processing and transport ATP-binding protein LagD
V1000317	Transcript cleavage factor GreA
V1000503	Calcium-transporting ATPase
V1000564	Cell division protein FtsZ
V1594784	Diacylglycerol kinase
V1075411	Vegetative protein 19
V1000475	hypothetical protein
V1299127	Penicillin-binding protein B
V1000563	Guanylate kinase
V1034832	Ribonuclease J 2
V1392051	Acetate kinase
V1203300	dihydroxyacetone kinase
V1000526	Helicase IV
V1000502	Inosine-5'-monophosphate dehydrogenase
V1390055	hypothetical protein
V1203355	Chaperone protein DnaJ
V1076034	hypothetical protein
V1000039	anaerobic ribonucleotide reductase-activating protein
V1851982	putative ABC transporter ATP-binding protein YheS
V1607589	Signal transduction histidine-protein kinase ArlS
V1851988	hypothetical protein
V1000604	hypothetical protein
V1469296	hypothetical protein
V1552772	Pyruvate kinase
V1000172	Stage 0 sporulation protein KC
V1000121	ATP-dependent Clp protease ATP-binding subunit ClpX
V1000162	Dihydropteroate synthase
V1420563	DNA gyrase subunit B
V1000575	Integrase
V1000009	50S ribosomal protein L15
V1000476	Modulator of FtsH protease HflK
V1852109	gram-positive signal peptide%2C YSIRK family
V1594750	Hypoxanthine-guanine phosphoribosyltransferase
V1000641	Triosephosphate isomerase
V1836829	putative ABC transporter ATP-binding protein YheS
V1000840	F-ATPase gamma subunit
V1852084	50S ribosomal protein L23
V1356068	Ribonuclease J 1
V1852140	Methionine--tRNA ligase
V1001468	Leucine--tRNA ligase
V1162881	Phosphoglucomutase
V1213480	Recombinase A
V1000037	Aminopeptidase E
V1000088	Deoxyadenosine kinase
V1000828	ATP-dependent zinc metalloprotease FtsH
V1000541	Tyrosine-protein phosphatase precursor
V1522724	Aminopeptidase C
