gene	geneProduct
V1852142	gram-positive signal peptide%2C YSIRK family
V1013092	Formate acetyltransferase
V1013292	TonB-linked outer membrane protein%2C SusC/RagA family
V1016999	Elongation factor Tu
V1013090	Fructose-bisphosphate aldolase
V1486082	hypothetical protein
V1017370	Phosphoserine aminotransferase
V1017823	Desulfoferrodoxin
V1190796	Putative endo-beta-N-acetylglucosaminidase precursor
V1367500	Outer membrane porin F precursor
V1019516	Phosphoenolpyruvate carboxykinase [ATP]
V1051482	hypothetical protein
V1067673	Elongation factor Tu
V1109201	hypothetical protein
V1011843	Elongation factor Tu
V1023795	hypothetical protein
V1017369	D-3-phosphoglycerate dehydrogenase
V1108633	Cna protein B-type domain protein
V1053544	hypothetical protein
V1013671	NAD-specific glutamate dehydrogenase
V1007076	Maltose-binding periplasmic proteins/domains
V1008929	Glyceraldehyde-3-phosphate dehydrogenase A
V1013293	SusD family protein
V1827526	hypothetical protein
V1051831	Phosphoenolpyruvate carboxykinase [ATP]
V1053780	hypothetical protein
V1007060	Glyceraldehyde-3-phosphate dehydrogenase
V1015255	Glyceraldehyde-3-phosphate dehydrogenase
V1012333	Enolase
V1017002	50S ribosomal protein L1
V1018831	30S ribosomal protein S1
V1464571	Elongation factor Tu-B
V1014775	50S ribosomal protein L4
V1015637	putative glycine dehydrogenase [decarboxylating] subunit 1
V1856844	hypothetical protein
V1017390	Elongation factor G
V1074835	hypothetical protein
V1139748	Glycine reductase complex component B subunit gamma
V1014772	Vegetative protein 19
V1013667	Fructose-bisphosphate aldolase
V1014696	hypothetical protein
V1200284	hypothetical protein
V1055790	Heat shock protein 70
V1067810	NAD-specific glutamate dehydrogenase
V1216207	hypothetical protein
V1014080	Elongation factor G
V1067311	Phosphoenolpyruvate carboxykinase [ATP]
V1022782	Ferritin
V1000546	Maltose/maltodextrin-binding protein precursor
V1021099	hypothetical protein
V1381731	Elongation factor Tu
V1151496	TonB-linked outer membrane protein%2C SusC/RagA family
V1013428	Translation initiation factor IF-2
V1000122	Elongation factor Tu
V1041711	protein TolR
V1041712	biopolymer transport protein ExbD
V1049457	Chaperone protein ClpB 1
V1014694	protein TolR
V1049442	Cytosol non-specific dipeptidase
V1211148	hypothetical protein
V1531339	hypothetical protein
V1017462	Colicin I receptor precursor
V1020573	Tyrosine recombinase XerC
V1585494	hypothetical protein
V1015296	lipoprotein involved with copper homeostasis and adhesion
V1157905	Inner membrane protein YjiY
V1102817	hypothetical protein
V1049612	Translation initiation factor IF-3
V1042531	50S ribosomal protein L1
V1049970	hypothetical protein
V1047883	RlpA-like protein precursor
V1884213	Pyruvate-flavodoxin oxidoreductase
V1020523	Isocitrate dehydrogenase [NADP]
V1015384	Pyruvate-flavodoxin oxidoreductase
V1014776	50S ribosomal protein L23
V1015150	Vegetative protein 19
V1375517	Outer membrane porin F precursor
V1411137	Flavodoxin
V1198780	Arginine deiminase
V1049967	putative PEP-CTERM system TPR-repeat lipoprotein
V1198798	50S ribosomal protein L2
V1020454	hypothetical protein
V1015295	Polyribonucleotide nucleotidyltransferase
V1514797	Glycine reductase complex component B subunits alpha and beta
V1000642	Enolase
V1000549	Maltose phosphorylase
V1017193	Trigger factor
V1016411	30S ribosomal protein S11
V1018588	peptidylprolyl isomerase
V1753280	TonB-linked outer membrane protein%2C SusC/RagA family
V1011783	Aldehyde-alcohol dehydrogenase
V1193859	cell division protein MraZ
V1049455	ATP-dependent Clp protease ATP-binding subunit ClpC
V1619477	Superoxide dismutase [Mn/Fe]
V1049975	Xaa-Pro aminopeptidase
V1014134	DNA-directed RNA polymerase subunit beta
V1018781	50S ribosomal protein L15
V1020008	Photosystem I P700 chlorophyll a apoprotein A2
V1513864	catecholate siderophore receptor CirA
V1000171	Oligopeptide-binding protein AppA precursor
V1049974	Aminopeptidase C
V1411952	DNA-binding protein HU
V1140976	Amino-acid carrier protein AlsT
V1752974	hypothetical protein
V1192582	Adenylate kinase
V1154525	Enterobactin outer-membrane receptor
V1019199	Elongation factor Ts
V1052940	hypothetical protein
V1204231	Fibrinogen-binding protein precursor
V1010320	putative FAD-linked oxidoreductase
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1013332	Enolase
V1014780	hypothetical protein
V1023255	30S ribosomal protein S15
V1018782	preprotein translocase subunit SecY
V1014881	Fumarate reductase flavoprotein subunit
V1043613	hypothetical protein
V1111563	DNA protection during starvation protein
V1068208	30S ribosomal protein S3
V1014133	DNA-directed RNA polymerase subunit beta'
V1380856	Carbamate kinase-like protein
V1217830	Hexagonal wall protein
V1049960	50S ribosomal protein L9
V1067671	DNA-directed RNA polymerase subunit beta
V1856710	Hexagonal wall protein
V1049610	ATP synthase subunit alpha
V1014358	Pyruvate kinase I
V1827657	MG2 domain protein
V1018256	ATP synthase subunit beta%2C sodium ion specific
V1104420	hypothetical protein
V1049971	Glutamine synthetase
V1139530	Formate acetyltransferase
V1012671	V-type sodium pump subunit B
V1014693	Biopolymer transport protein ExbB
V1728061	30S ribosomal protein S2
V1490442	hypothetical protein
V1018397	30S ribosomal protein S1
V1015220	30S ribosomal protein S2
V1166828	hypothetical protein
V1014697	putative PEP-CTERM system TPR-repeat lipoprotein
V1301930	50S ribosomal protein L7/L12
V1011471	Purine nucleoside receptor A
V1013429	hypothetical protein
V1000545	Maltose transport system permease protein MalF
V1034175	Cyclodextrin-binding protein precursor
V1070848	putative NADH oxidase
V1017099	hypothetical protein
V1013130	C4-dicarboxylate anaerobic carrier
V1118420	SusD family protein
V1012547	Succinate-semialdehyde dehydrogenase (acetylating)
V1068164	Pyruvate-flavodoxin oxidoreductase
V1069115	hypothetical protein
V1051796	Isoleucine--tRNA ligase
V1052451	TonB-linked outer membrane protein%2C SusC/RagA family
V1012356	hypothetical protein
V1067134	30S ribosomal protein S1
V1196255	hypothetical protein
V1016409	DNA-directed RNA polymerase subunit alpha
V1141291	NAD-specific glutamate dehydrogenase
V1145959	Formate acetyltransferase 1
V1047632	Vegetative protein 209
V1010067	ATP synthase subunit alpha%2C sodium ion specific
V1018365	Pyruvate%2C phosphate dikinase
V1723757	50S ribosomal protein L21
V1017626	Serine hydroxymethyltransferase
V1018255	6-phosphofructokinase isozyme 1
V1014779	hypothetical protein
V1201637	Pyruvate-flavodoxin oxidoreductase
V1012320	DNA gyrase subunit B
V1448552	hypothetical protein
V1345614	NADP-dependent isopropanol dehydrogenase
V1016542	hypothetical protein
V1015426	hypothetical protein
V1141371	hypothetical protein
V1010069	ATP synthase subunit beta%2C sodium ion specific
V1016410	hypothetical protein
V1836823	hypothetical protein
V1016412	hypothetical protein
V1069350	Glyceraldehyde-3-phosphate dehydrogenase
