gene	geneProduct
V1694047	hypothetical protein
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1338863	Pyruvate kinase
V1162957	Surface layer protein
V1033549	Enolase
V1366240	Surface layer protein
V1047042	Surface layer protein
V1034259	Elongation factor Tu
V1033079	6-phosphofructokinase
V1608705	Surface layer protein
V1150427	Fructose-bisphosphate aldolase
V1032670	putative transcriptional regulatory protein
V1033821	hypothetical protein
V1204502	Anaerobic ribonucleoside-triphosphate reductase
V1204335	PPOX class probable F420-dependent enzyme%2C family
V1883114	SigL modulation protein
V1033501	30S ribosomal protein S20
V1872734	50S ribosomal protein L11
V1552800	30S ribosomal protein S1
V1887290	Translation initiation factor IF-3
V1033629	Heat shock protein 70
V1032341	F-ATPase epsilon subunit
V1033003	Phosphoenolpyruvate-protein phosphotransferase
V1032333	30S ribosomal protein S4
V1033120	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
V1033091	50S ribosomal protein L13
V1887313	30S ribosomal protein S6
V1033172	DNA-binding protein HU
V1684120	Foldase protein PrsA precursor
V1033558	Phosphoglycerate kinase
V1608729	Surface layer protein
V1806611	D-lactate dehydrogenase
V1047264	DNA protection during starvation protein
V1204587	Minicell-associated protein DivIVA
V1032620	Ribonucleoside-diphosphate reductase 2 subunit beta
V1033096	DNA-directed RNA polymerase subunit alpha
V1216924	Ribonucleoside-diphosphate reductase 2 subunit beta
V1002229	Transposase DDE domain protein
V1828827	30S ribosomal protein S20
V1033444	hypothetical protein
V1033306	Trigger factor
V1033493	hypothetical protein
V1143661	Ribonuclease Y
V1034213	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1032513	50S ribosomal protein L10
V1032751	Elongation factor Ts
V1885172	ATP synthase subunit alpha
V1033129	Phosphoenolpyruvate-protein phosphotransferase
V1032750	Vegetative protein 209
V1047240	Ascorbate-specific PTS system EIIC component
V1032309	Stress protein H5
V1884418	Bacterial Ig-like domain (group 3)
V1047208	Elongation factor G
V1046993	F-type ATPase subunit b
V1032631	Cyclodextrin-binding protein precursor
V1032715	Glutamate--tRNA ligase
V1033261	hypothetical protein
V1885167	Lichenan-specific phosphotransferase enzyme IIB component
V1033682	putative L-ascorbate-6-phosphate lactonase UlaG
V1047061	Threonine--tRNA ligase
V1033097	Carbamoyl-phosphate synthase large chain
V1163624	ATP-dependent Clp protease ATP-binding subunit ClpE
V1032563	phosphoenolpyruvate carboxykinase
V1034296	Pyruvate oxidase
V1884691	Surface layer protein
V1046991	F-ATPase subunit 6
V1880007	Surface layer protein
V1033133	Ribosomal RNA small subunit methyltransferase H
V1033848	Adenine phosphoribosyltransferase
V1755566	PPOX class probable F420-dependent enzyme%2C family
V1684236	hypothetical protein
V1032825	preprotein translocase subunit SecY
V1032826	Adenylate kinase
V1032978	50S ribosomal protein L27
V1032763	Surface layer protein
V1034179	Glyceraldehyde-3-phosphate dehydrogenase
V1032210	anaerobic ribonucleotide reductase-activating protein
V1033464	Glutamine synthetase
V1047181	Multiple sugar-binding protein precursor
V1032514	hypothetical protein
V1828851	RNAP delta factor
V1033550	HTH-type transcriptional repressor YvoA
V1032342	ATP synthase subunit beta
V1047291	hypothetical protein
V1163652	ATP-dependent zinc metalloprotease FtsH
V1047314	putative acetyltransferase
V1033250	hypothetical protein
V1806595	Ascorbate-specific phosphotransferase enzyme IIA component
V1808084	hypothetical protein
V1032681	L-lactate dehydrogenase
V1033375	Trigger factor
V1807953	Surface layer protein
V1338876	NADH peroxidase
V1199409	Phosphate-import protein PhnD precursor
V1046995	F-ATPase gamma subunit
V1047177	Maltose phosphorylase
V1033428	EIIAB-Man
V1033559	Triosephosphate isomerase
V1032612	hypothetical protein
V1148985	hypothetical protein
V1033322	Surface layer protein
V1891294	hypothetical protein
V1684256	hypothetical protein
V1033740	Central glycolytic genes regulator
V1033650	hypothetical protein
V1199367	Surface layer protein
V1033346	Valine--tRNA ligase
V1148979	hypothetical protein
V1047060	Oligopeptide-binding protein AppA precursor
V1101430	Bacterial Ig-like domain (group 3)
V1033004	Adapter protein MecA
V1552699	Surface layer protein
V1033490	50S ribosomal protein L19
V1047313	hypothetical protein
V1032814	hypothetical protein
V1033126	Phosphate-import protein PhnD precursor
V1046994	F-type ATPase subunit delta
V1033341	DAK2 domain fusion protein YloV
