Gene	KEGG_module_number	Annotation
V1033557	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1872766	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1338863	M00002	Glycolysis, core module involving three-carbon compounds
V1033549	M00346	Formaldehyde assimilation, serine pathway
V1033079	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1150427	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1204502	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033501	M00178	Ribosome, bacteria
V1872734	M00179	Ribosome, archaea
V1552800	M00178	Ribosome, bacteria
V1032829	M00178	Ribosome, bacteria
V1032341	M00164	ATP synthase
V1032333	M00179	Ribosome, archaea
V1033091	M00179	Ribosome, archaea
V1338881	M00178	Ribosome, bacteria
V1887313	M00178	Ribosome, bacteria
V1033558	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1032620	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033096	M00183	RNA polymerase, bacteria
V1216924	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1828827	M00178	Ribosome, bacteria
V1033493	M00178	Ribosome, bacteria
V1034213	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1032513	M00179	Ribosome, archaea
V1884575	M00179	Ribosome, archaea
V1885172	M00164	ATP synthase
V1883097	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1032750	M00179	Ribosome, archaea
V1047240	M00283	PTS system, ascorbate-specific II component
V1046993	M00164	ATP synthase
V1032631	M00197	Putative fructooligosaccharide transport system
V1032715	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1885167	M00275	PTS system, cellobiose-specific II component
V1047061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033097	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1032563	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1046991	M00164	ATP synthase
V1032825	M00335	Sec (secretion) system
V1032826	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1032978	M00178	Ribosome, bacteria
V1034179	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1047181	M00207	Putative multiple sugar transport system
V1032514	M00178	Ribosome, bacteria
V1828851	M00183	RNA polymerase, bacteria
V1883385	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1032342	M00164	ATP synthase
V1806595	M00283	PTS system, ascorbate-specific II component
V1199409	M00223	Phosphonate transport system
V1046995	M00164	ATP synthase
V1033428	M00276	PTS system, mannose-specific II component
V1033559	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1033346	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1047060	M00239	Peptides/nickel transport system
V1552701	M00335	Sec (secretion) system
V1033490	M00178	Ribosome, bacteria
V1032814	M00179	Ribosome, archaea
V1033126	M00223	Phosphonate transport system
V1046994	M00164	ATP synthase
V1206514	M00005	PRPP biosynthesis, ribose 5P => PRPP
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1032592	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1883121	M00164	ATP synthase
V1684156	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1032232	M00005	PRPP biosynthesis, ribose 5P => PRPP
V1033168	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1032410	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1047007	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033034	M00178	Ribosome, bacteria
V1684155	M00183	RNA polymerase, bacteria
V1032601	M00268	PTS system, alpha-glucoside-specific II component
V1032641	M00260	DNA polymerase III complex, bacteria
V1884576	M00164	ATP synthase
V1032218	M00223	Phosphonate transport system
V1796878	M00223	Phosphonate transport system
V1684154	M00183	RNA polymerase, bacteria
V1882237	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1755551	M00178	Ribosome, bacteria
V1032815	M00178	Ribosome, bacteria
V1032630	M00197	Putative fructooligosaccharide transport system
V1883274	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1032809	M00179	Ribosome, archaea
V1891261	M00183	RNA polymerase, bacteria
V1033276	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1808108	M00178	Ribosome, bacteria
V1033514	M00179	Ribosome, archaea
V1032664	M00236	Putative polar amino acid transport system
V1032741	M00153	Cytochrome d ubiquinol oxidase
V1338860	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1032313	M00335	Sec (secretion) system
V1033614	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1884638	M00002	Glycolysis, core module involving three-carbon compounds
V1032807	M00179	Ribosome, archaea
V1032808	M00178	Ribosome, bacteria
V1033426	M00276	PTS system, mannose-specific II component
V1033416	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1033090	M00179	Ribosome, archaea
V1032984	M00179	Ribosome, archaea
V1032731	M00346	Formaldehyde assimilation, serine pathway
V1034350	M00178	Ribosome, bacteria
V1032819	M00179	Ribosome, archaea
V1033782	M00002	Glycolysis, core module involving three-carbon compounds
V1883278	M00248	Antibiotic transport system
V1032882	M00260	DNA polymerase III complex, bacteria
V1033757	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1692640	M00346	Formaldehyde assimilation, serine pathway
