gene	geneProduct
V1034630	DNA protection during starvation protein
V1448552	hypothetical protein
V1143274	gram-positive signal peptide%2C YSIRK family
V1836803	Beta-N-acetylhexosaminidase precursor
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1464571	Elongation factor Tu-B
V1000122	Elongation factor Tu
V1310212	Beta-N-acetylhexosaminidase precursor
V1016072	DNA replication initiation protein gpA
V1000642	Enolase
V1503141	LPXTG cell wall anchor domain protein
V1000638	Central glycolytic genes regulator
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1136203	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1016074	capsid protein
V1203355	Chaperone protein DnaJ
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1339929	L-lactate dehydrogenase
V1136222	hypothetical protein
V1000596	Stress protein H5
V1000487	Fructose-bisphosphate aldolase
V1600200	Phosphoenolpyruvate-protein phosphotransferase
V1852092	Folate ECF transporter S component FolT
V1136281	bifunctional antitoxin/transcriptional repressor RelB
V1448274	C protein alpha-antigen precursor
V1016073	minor spike protein
V1000116	Pyruvate kinase
V1150346	hypothetical protein
V1819416	ATP-dependent Clp protease ATP-binding subunit ClpE
V1431607	50S ribosomal protein L21
V1136265	Recombination protein O
V1000549	Maltose phosphorylase
V1000079	DNA gyrase subunit A
V1503164	Serine-rich repeat protein GspB
V1851967	Heat-inducible transcription repressor HrcA
V1195882	Fructose-bisphosphate aldolase
V1000836	50S ribosomal protein L31 type B
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1597389	50S ribosomal protein L11
V1000004	DNA-directed RNA polymerase subunit alpha
V1301210	Transposase
V1912442	6-phosphofructokinase
V1599277	GTPase Era
V1000627	Ribonuclease Y
V1000546	Maltose/maltodextrin-binding protein precursor
V1203576	6-phosphofructokinase
V1607555	Beta-N-acetylhexosaminidase precursor
V1136202	ribosomal-protein-alanine N-acetyltransferase
V1392216	Stress protein H5
V1000640	Phosphoglycerate kinase
V1000475	hypothetical protein
V1000527	Vegetative protein 19
V1211229	ATP synthase subunit beta
V1448519	Glyceraldehyde-3-phosphate dehydrogenase
V1213511	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1136163	50S ribosomal protein L10
V1000545	Maltose transport system permease protein MalF
V1000305	Enolase
V1000943	50S ribosomal protein L11
V1136121	30S ribosomal protein S6
V1136133	Stress protein H5
V1899820	single-stranded DNA-binding protein
V1887021	Trigger factor
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1852109	gram-positive signal peptide%2C YSIRK family
V1836804	Lysine--tRNA ligase
V1136538	Trigger factor
V1000548	Beta-phosphoglucomutase
V1000134	HSP-70 cofactor
V1836833	C protein alpha-antigen precursor
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1136352	Tyrosine phosphorylated protein A
V1542216	hypothetical protein
V1150284	Integrase
V1155228	Elongation factor Tu
V1000570	Rod shape-determining protein MreB
V1000630	preprotein translocase subunit SecA
V1541158	major spike protein
V1000841	F-type ATPase subunit delta
V1136116	Ribonuclease P protein component
V1006727	30S ribosomal protein S1
V1073967	50S ribosomal protein L10
V1886336	Phosphocarrier protein HPr
V1000129	Tyrosine phosphorylated protein A
V1000075	Ribonuclease P protein component
V1000080	hypothetical protein
V1000845	Glucose-6-phosphate isomerase
V1136573	50S ribosomal protein L1
V1852039	RNAP delta factor
V1213705	Fructose-bisphosphate aldolase
V1203556	Acyl-ACP thioesterase
V1136581	Central glycolytic genes regulator
V1034832	Ribonuclease J 2
V1157115	Enolase
V1064214	external scaffolding protein
V1136570	SigL modulation protein
V1448327	F-ATPase gamma subunit
V1503161	Rib/alpha/Esp surface antigen repeat
V1136563	Alkaline shock protein 23
V1420563	DNA gyrase subunit B
V1885719	hypothetical protein
V1000828	ATP-dependent zinc metalloprotease FtsH
V1851982	putative ABC transporter ATP-binding protein YheS
V1836805	Copper-exporting P-type ATPase B
V1306539	50S ribosomal protein L13
V1885262	Aldehyde-alcohol dehydrogenase
V1381099	F-ATPase gamma subunit
V1852094	Adenylosuccinate lyase
V1000023	Ribose-phosphate pyrophosphokinase
V1552772	Pyruvate kinase
V1213513	Maltose phosphorylase
V1000184	Bacteriophage peptidoglycan hydrolase
V1136308	putative endopeptidase precursor
V1162881	Phosphoglucomutase
V1599322	30S ribosomal protein S4
V1211334	Enolase
V1136122	Helix-destabilizing protein
V1000518	Glv operon regulatory protein
V1000944	50S ribosomal protein L1
V1000503	Calcium-transporting ATPase
V1799367	Transposase
V1211254	Ribonuclease Y
V1299127	Penicillin-binding protein B
V1136562	putative transposase OrfB
V1150319	putative P-loop ATPase
V1136548	Elongation factor Ts
V1439186	50S ribosomal protein L19
V1851995	Ribosomal RNA small subunit methyltransferase H
V1213559	Oligopeptide-binding protein AppA precursor
V1607579	hypothetical protein
V1899703	Folate ECF transporter S component FolT
V1156179	30S ribosomal protein S1
V1135969	Type-1 restriction enzyme R protein
V1136606	50S ribosomal protein L27
V1203570	Glucose-6-phosphate isomerase
V1000001	30S ribosomal protein S9
V1211166	chromosome segregation protein SMC
V1323707	KilA-N domain protein
V1882996	repeat
V1046767	DNA polymerase I
V1036606	F-type ATPase subunit b
V1136272	D-lactate dehydrogenase
V1136248	Recombinase A
V1607589	Signal transduction histidine-protein kinase ArlS
V1006020	50S ribosomal protein L2
V1295196	Cell division protein FtsA
V1000205	hypothetical protein
V1000641	Triosephosphate isomerase
V1599154	Heat shock protein 70
V1064534	DNA-directed RNA polymerase subunit beta
V1006735	gram-positive signal peptide%2C YSIRK family
V1000106	Formate--tetrahydrofolate ligase 1
V1136229	ABC exporter transmembrane subunit%2C DevC protein
V1000046	Putative universal stress protein
V1481433	hypothetical protein
V1204223	repeat
V1107920	hypothetical protein
V1203510	hypothetical protein
V1000504	Nicotinate phosphoribosyltransferase pncB2
V1000132	Single-stranded-DNA-specific exonuclease RecJ
V1213480	Recombinase A
V1000564	Cell division protein FtsZ
V1552777	Translation initiation factor IF-2
V1580955	Heat shock protein 70
V1799342	DNA-directed RNA polymerase subunit beta'
V1000082	Replicative DNA helicase
V1136115	Stage III sporulation protein J
V1426355	Translation initiation factor IF-3
V1836823	hypothetical protein
V1000018	hypothetical protein
V1211279	Aminopeptidase N
V1211411	Ribosomal RNA small subunit methyltransferase H
V1615591	hypothetical protein
V1136359	Glutamine synthetase
V1136049	50S ribosomal protein L13
V1000304	Pullulanase
V1599336	gram-positive signal peptide%2C YSIRK family
V1000143	Elongation factor Ts
V1000069	Sensor histidine kinase YycG
V1594784	Diacylglycerol kinase
V1136230	Bacterial regulatory proteins%2C tetR family
