Gene	CDD	GO	Gene3D	Hamap	Interpro	MobiDBLite	PIRSF	PRINTS	Pfam	ProDom	ProSitePatterns	ProSiteProfiles	SFLD	SMART	SUPERFAMILY	TIGRFAM
V1852142		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1423289												; Gram-positive cocci surface proteins LPxTG motif profile.				;  LPXTG cell wall anchor domain
V1481385						; consensus disorder prediction										
V1034630	; DPS	; DNA-binding protein Dps; DNA-binding protein Dps, conserved site; Ferritin-like superfamily; Ferritin-related; Ferritin/DPS protein domain			; DNA-binding protein Dps; DNA-binding protein Dps, conserved site; Ferritin-like superfamily; Ferritin-related; Ferritin/DPS protein domain		; (Full/Desc.) ferritin-like protein, Dps type	; Helicobacter neutrophil-activating protein A family signature	; Ferritin-like domain		; Dps protein family signature 1.				; Ferritin-like	
V1016072		; Replication gene A protein			; Replication gene A protein				; Bacteriophage replication gene A protein (GPA)	; A GPA METAL-BINDING DNA-BINDING ENDONUCLEASE ZINC-FINGER ZINC HYDROLASE NUCLEASE INITIATION						
V1016074		; Capsid/spike protein, ssDNA virus; Microviridae F protein	; Bacteriophage G4 Capsid Proteins Gpf		; Capsid/spike protein, ssDNA virus; Microviridae F protein				; Capsid protein (F protein)						; ssDNA viruses	
V1035222		; Plasmid  conjugal transfer TrbL/VirB6			; Plasmid  conjugal transfer TrbL/VirB6	; consensus disorder prediction			; TrbL/VirB6 plasmid conjugal transfer protein							
V1882989		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1503164		; Rib/alpha/Esp surface antigen; YSIRK Gram-positive signal peptide			; Rib/alpha/Esp surface antigen; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; Rib/alpha-like repeat; YSIRK type signal peptide							;  LPXTG cell wall anchor domain;  gram-positive signal peptide, YSIRK family;  Rib/alpha/Esp surface antigen repeat
V1390179		; P-loop containing nucleoside triphosphate hydrolase; TraD/TraG, TraM recognition site	; P-loop containing nucleotide triphosphate hydrolases; P-loop containing nucleotide triphosphate hydrolases; P-loop containing nucleotide triphosphate hydrolases		; P-loop containing nucleoside triphosphate hydrolase; TraD/TraG, TraM recognition site	; consensus disorder prediction			; TraM recognition site of TraD and TraG						; P-loop containing nucleoside triphosphate hydrolases; P-loop containing nucleoside triphosphate hydrolases; P-loop containing nucleoside triphosphate hydrolases	
