gene	geneProduct
V1422497	hypothetical protein
V1151091	Thiol-activated cytolysin
V1143274	gram-positive signal peptide%2C YSIRK family
V1154487	hypothetical protein
V1389977	heat shock chaperone IbpB
V1465337	Maltose-binding periplasmic proteins/domains
V1118483	Maltose/maltodextrin-binding protein precursor
V1464571	Elongation factor Tu-B
V1181936	Formate acetyltransferase
V1516610	Alkyl hydroperoxide reductase subunit C
V1051284	Phosphocarrier protein HPr
V1000546	Maltose/maltodextrin-binding protein precursor
V1122767	Enolase
V1000122	Elongation factor Tu
V1137315	Maltose-binding periplasmic proteins/domains
V1506464	Elongation factor Tu
V1294718	hypothetical protein
V1020434	Fructose-bisphosphate aldolase
V1036641	zinc/cadmium-binding protein
V1035957	Maltose-binding periplasmic proteins/domains
V1103826	hypothetical protein
V1000549	Maltose phosphorylase
V1103115	Cyclodextrin-binding protein precursor
V1070545	30S ribosomal protein S16
V1482582	hypothetical protein
V1362379	hypothetical protein
V1437609	hypothetical protein
V1498898	hypothetical protein
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1200468	hypothetical protein
V1000642	Enolase
V1000545	Maltose transport system permease protein MalF
V1108111	Elongation factor G
V1035994	Formate acetyltransferase
V1011843	Elongation factor Tu
V1489066	Putative HMP/thiamine permease protein YkoE
V1190386	Putative peptidoglycan binding domain protein
V1431607	50S ribosomal protein L21
V1265314	Elongation factor Tu
V1010034	Flavodoxin
V1008929	Glyceraldehyde-3-phosphate dehydrogenase A
V1016241	Vegetative protein 19
V1106664	Formate acetyltransferase 1
V1108186	Cold shock protein CspC
V1001368	EIIAB-Man
V1019613	Glyceraldehyde-3-phosphate dehydrogenase
V1074383	Glyceraldehyde-3-phosphate dehydrogenase
V1019109	Metalloregulation DNA-binding stress protein
V1102521	30S ribosomal protein S2
V1051831	Phosphoenolpyruvate carboxykinase [ATP]
V1391939	Fructose-bisphosphate aldolase
V1852028	Immunoglobulin G-binding protein G precursor
V1294822	hypothetical protein
V1486060	hypothetical protein
V1190729	hypothetical protein
V1012356	hypothetical protein
V1194990	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1064194	Immunoglobulin G-binding protein G precursor
V1070544	putative RNA-binding protein (contains KH domain)
V1071809	50S ribosomal protein L21
V1000487	Fructose-bisphosphate aldolase
V1035935	NADPH azoreductase
V1036477	DNA-directed RNA polymerase subunit alpha
V1052640	hypothetical protein
V1036042	Pyruvate%2C phosphate dikinase
V1043325	hypothetical protein
V1050217	Ferritin
V1008595	co-chaperonin GroES
V1075065	Alcohol dehydrogenase 1
V1036735	DNA-directed RNA polymerase subunit beta'
V1071962	Anaerobic ribonucleoside-triphosphate reductase
V1886336	Phosphocarrier protein HPr
V1145030	hypothetical protein
V1431274	hypothetical protein
