Gene	category	Annotation	COGID
V1694047	S	NA	0XUM5
V1872766	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0209
V1033557	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1338863	G	Pyruvate kinase	COG3848
V1204502	F	(Anaerobic) ribonucleoside-triphosphate reductase	COG1328
V1033079	G	Phosphohexokinase	COG0205
V1033549	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1034259	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1150427	G	Aldolase	COG0191
V1884596	L	single-stranded DNA-binding protein	COG0629
V1032670	K	transcriptional regulatory protein	COG0217
V1033558	G	Phosphoglycerate kinase	COG0126
V1806611	C	d-lactate dehydrogenase	COG1052
V1033096	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1872734	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
V1034630	P	DNA protection during starvation protein	COG0783
V1887313	J	Binds together with S18 to 16S ribosomal RNA (By similarity)	COG0360
V1032620	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0208
V1033097	F	carbamoyl-phosphate synthetase ammonia chain	COG0458
V1032341	C	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)	COG0355
V1033003	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1216924	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0208
V1033120	G	decarboxylase	COG0269
V1684120	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1885172	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)	COG0056
