Gene	CDD	GO	Gene3D	Hamap	Interpro	MobiDBLite	PIRSF	PRINTS	Pfam	ProDom	ProSitePatterns	ProSiteProfiles	SFLD	SMART	SUPERFAMILY	TIGRFAM
V1608705		; Lactobacillus surface layer protein; SLAP domain, Lactobacillus			; Lactobacillus surface layer protein; SLAP domain, Lactobacillus		; (Full) S-layer protein, Lactobacillus	; Lactobacillus surface layer protein signature	; Bacterial surface layer protein							
V1694047						; consensus disorder prediction										
V1872766	; RNR_I	; Ribonucleotide reductase N-terminal; Ribonucleotide reductase R1 subunit, N-terminal; Ribonucleotide reductase large subunit, C-terminal; Ribonucleotide reductase large subunit, N-terminal; Ribonucleotide reductase, class 1b, subunit NrdE; Ribonucleotide reductase, class I , alpha subunit			; Ribonucleotide reductase N-terminal; Ribonucleotide reductase R1 subunit, N-terminal; Ribonucleotide reductase large subunit, C-terminal; Ribonucleotide reductase large subunit, N-terminal; Ribonucleotide reductase, class 1b, subunit NrdE; Ribonucleotide reductase, class I , alpha subunit			; Ribonucleotide reductase large chain signature	; Ribonucleotide reductase N-terminal; Ribonucleotide reductase, all-alpha domain; Ribonucleotide reductase, barrel domain		; Ribonucleotide reductase large subunit signature.				; PFL-like glycyl radical enzymes; R1 subunit of ribonucleotide reductase, N-terminal domain	;  ribonucleoside-diphosphate reductase, alpha subunit;  ribonucleoside-diphosphate reductase, class 1b, alpha subunit
V1033557		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, active site; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain	; NAD(P)-binding Rossmann-like Domain; Dihydrodipicolinate Reductase; domain 2		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, active site; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain		; (Full) glyceraldehyde-3-phosphate dehydrogenase	; Glyceraldehyde-3-phosphate dehydrogenase signature	; Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain		; Glyceraldehyde 3-phosphate dehydrogenase active site.			; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	; NAD(P)-binding Rossmann-fold domains; Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain	;  glyceraldehyde-3-phosphate dehydrogenase, type I
V1338863	; Pyruvate_Kinase	; PEP-utilising enzyme, mobile domain; Pyruvate kinase; Pyruvate kinase, C-terminal; Pyruvate kinase, alpha/beta; Pyruvate kinase, barrel; Pyruvate kinase, beta-barrel insert domain; Pyruvate kinase-like, insert domain; Pyruvate/Phosphoenolpyruvate kinase-like domain	; Phosphoenolpyruvate-binding domains; Phosphoenolpyruvate-binding domains; PK beta-barrel domain-like; Phosphohistidine domains of PEP-utilising enzymes		; PEP-utilising enzyme, mobile domain; Pyruvate kinase; Pyruvate kinase, C-terminal; Pyruvate kinase, alpha/beta; Pyruvate kinase, barrel; Pyruvate kinase, beta-barrel insert domain; Pyruvate kinase-like, insert domain; Pyruvate/Phosphoenolpyruvate kinase-like domain			; Pyruvate kinase family signature	; PEP-utilising enzyme, mobile domain; Pyruvate kinase, alpha/beta domain; Pyruvate kinase, barrel domain						; Phosphoenolpyruvate/pyruvate domain; Phosphoenolpyruvate/pyruvate domain; PK beta-barrel domain-like; PK C-terminal domain-like	;  pyruvate kinase
V1204502	; RNR_III	; ATP-cone domain; Formate C-acetyltransferase glycine radical, conserved site; Glycine radical domain; Ribonucleoside-triphosphate reductase, anaerobic			; ATP-cone domain; Formate C-acetyltransferase glycine radical, conserved site; Glycine radical domain; Ribonucleoside-triphosphate reductase, anaerobic				; Anaerobic ribonucleoside-triphosphate reductase		; Glycine radical domain signature.	; ATP-cone domain profile.; Glycine radical domain profile.			; PFL-like glycyl radical enzymes	;  anaerobic ribonucleoside-triphosphate reductase
V1366240		; SLAP domain, Lactobacillus			; SLAP domain, Lactobacillus				; Bacterial surface layer protein							
V1150427	; TBP_aldolase_IIB	; Aldolase-type TIM barrel; Fructose-bisphosphate aldolase, class-II	; Aldolase class I		; Aldolase-type TIM barrel; Fructose-bisphosphate aldolase, class-II		; (Full) fructose-bisphosphate aldolase II		; Fructose-bisphosphate aldolase class-II						; Aldolase	;  ketose-bisphosphate aldolase
V1033079		; ATP-dependent 6-phosphofructokinase; ATP-dependent 6-phosphofructokinase, prokaryotic; ATP-dependent 6-phosphofructokinase, prokaryotic-type; Phosphofructokinase domain; Phosphofructokinase, conserved site		; ATP-dependent 6-phosphofructokinase [pfkA].	; ATP-dependent 6-phosphofructokinase; ATP-dependent 6-phosphofructokinase, prokaryotic; ATP-dependent 6-phosphofructokinase, prokaryotic-type; Phosphofructokinase domain; Phosphofructokinase, conserved site		; (Full/Desc.) ATP-dependent phosphofructokinase, prokaryotic type	; ATP-dependent phosphofructokinase family signature	; Phosphofructokinase		; Phosphofructokinase signature.				; Phosphofructokinase	;  6-phosphofructokinase
V1033549	; enolase	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site	; Enolase-like; Enolase superfamily	; Enolase [eno].	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site		; (Full) enolase	; Enolase signature	; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal domain		; Enolase signature.		; Enolase	; Enolase, C-terminal TIM barrel domain ; Enolase, N-terminal domain 	; Enolase C-terminal domain-like; Enolase N-terminal domain-like	;  phosphopyruvate hydratase
V1034259	; EFTU_II; EFTU_III; EF_Tu	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain	; Translation factors; Translation factors; P-loop containing nucleotide triphosphate hydrolases	; Elongation factor Tu [tuf].	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2		; Translational (tr)-type guanine nucleotide-binding (G) domain signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.			; Translation proteins; P-loop containing nucleoside triphosphate hydrolases; EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain	;  translation elongation factor Tu;  small GTP-binding protein domain
V1693489		; Lactobacillus surface layer protein; SLAP domain, Lactobacillus			; Lactobacillus surface layer protein; SLAP domain, Lactobacillus			; Lactobacillus surface layer protein signature	; Bacterial surface layer protein							
V1882239		; Lactobacillus surface layer protein; SLAP domain, Lactobacillus			; Lactobacillus surface layer protein; SLAP domain, Lactobacillus			; Lactobacillus surface layer protein signature	; Bacterial surface layer protein							
