gene	geneProduct
V1430591	hypothetical protein
V1010633	Fimbrial subunit type 1 precursor
V1337358	Thiol-activated cytolysin
V1436495	co-chaperonin GroES
V1084226	Chaperone protein ClpB
V1267672	hypothetical protein
V1394389	Cyclodextrin-binding protein precursor
V1015704	Formate acetyltransferase 1
V1596952	hypothetical protein
V1037187	Lipid A export ATP-binding/permease protein MsbA
V1009516	Enolase
V1301930	50S ribosomal protein L7/L12
V1265517	Trehalose import ATP-binding protein SugC
V1687741	Maltodextrin-binding protein
V1020434	Fructose-bisphosphate aldolase
V1036379	1%2C4-alpha-glucan branching enzyme GlgB
V1513865	hypothetical protein
V1084822	hypothetical protein
V1079736	High temperature protein G
V1083661	Spore protein SP21
V1006096	hypothetical protein
V1334911	30S ribosomal protein S2
V1389977	heat shock chaperone IbpB
V1013253	Elongation factor Tu
V1123844	cell division protein GpsB
V1465337	Maltose-binding periplasmic proteins/domains
V1082210	hypothetical protein
V1137315	Maltose-binding periplasmic proteins/domains
V1291476	hypothetical protein
V1080596	Heat shock protein 70
V1315998	hypothetical protein
V1239646	hypothetical protein
V1705037	hypothetical protein
V1011230	Alkyl hydroperoxide reductase subunit C
V1051284	Phosphocarrier protein HPr
V1312248	Trigger factor
V1012496	Stress protein H5
V1003154	F-type ATPase subunit b
V1140472	50S ribosomal protein L11
V1010634	hypothetical protein
V1167759	Pyruvate kinase
V1008596	hypothetical protein
V1437609	hypothetical protein
V1555046	Translation initiation factor IF-1
V1723757	50S ribosomal protein L21
V1484126	Fimbrial subunit type 1 precursor
V1036256	Maltodextrin-binding protein
V1011906	Heat shock protein 70
V1036253	Cell division protein FtsZ
V1038361	Elongation factor Tu
V1584058	hypothetical protein
V1395005	F-ATPase subunit 6
V1362787	30S ribosomal protein S15
V1037355	G5 domain protein
V1345236	DNA-binding protein HB1
V1239069	Helix-destabilizing protein
V1006055	Thiol-activated cytolysin
V1143274	gram-positive signal peptide%2C YSIRK family
V1032060	Transaldolase
V1806797	putative ABC transporter ATP-binding protein YheS
V1076325	hypothetical protein
V1421861	hypothetical protein
V1009641	DNA-directed RNA polymerase subunit omega
V1009625	preprotein translocase subunit YajC
V1704843	Heat shock protein 70
V1884207	Maltose transport system permease protein MalF
V1409431	30S ribosomal protein S4
V1038323	Maltose transport system permease protein MalG
V1267291	Rib/alpha-like repeat
V1172284	hypothetical protein
V1723225	hypothetical protein
V1483461	HSP-70 cofactor
V1070888	Thiol-activated cytolysin
