gene	geneProduct
V1034630	DNA protection during starvation protein
V1143274	gram-positive signal peptide%2C YSIRK family
V1852092	Folate ECF transporter S component FolT
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1464571	Elongation factor Tu-B
V1000642	Enolase
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1000122	Elongation factor Tu
V1431607	50S ribosomal protein L21
V1000116	Pyruvate kinase
V1912442	6-phosphofructokinase
V1339929	L-lactate dehydrogenase
V1000004	DNA-directed RNA polymerase subunit alpha
V1852039	RNAP delta factor
V1073967	50S ribosomal protein L10
V1000546	Maltose/maltodextrin-binding protein precursor
V1000836	50S ribosomal protein L31 type B
V1836823	hypothetical protein
V1000046	Putative universal stress protein
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1580955	Heat shock protein 70
V1000943	50S ribosomal protein L11
V1000549	Maltose phosphorylase
V1000305	Enolase
V1203355	Chaperone protein DnaJ
V1000487	Fructose-bisphosphate aldolase
V1000129	Tyrosine phosphorylated protein A
V1000596	Stress protein H5
V1256184	LPXTG cell wall anchor domain protein
V1000545	Maltose transport system permease protein MalF
V1000627	Ribonuclease Y
V1000080	hypothetical protein
V1000079	DNA gyrase subunit A
V1439186	50S ribosomal protein L19
V1000638	Central glycolytic genes regulator
V1887021	Trigger factor
V1306539	50S ribosomal protein L13
V1000527	Vegetative protein 19
V1886336	Phosphocarrier protein HPr
V1552772	Pyruvate kinase
V1034595	putative endopeptidase precursor
V1000570	Rod shape-determining protein MreB
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1000944	50S ribosomal protein L1
V1000106	Formate--tetrahydrofolate ligase 1
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1290863	gram-positive signal peptide%2C YSIRK family
V1000075	Ribonuclease P protein component
V1163593	gram-positive signal peptide%2C YSIRK family
V1000630	preprotein translocase subunit SecA
V1000640	Phosphoglycerate kinase
V1852050	Immunoglobulin G-binding protein G precursor
V1836804	Lysine--tRNA ligase
V1135971	gram-positive signal peptide%2C YSIRK family
V1034832	Ribonuclease J 2
V1836805	Copper-exporting P-type ATPase B
V1851967	Heat-inducible transcription repressor HrcA
V1000510	hypothetical protein
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1392169	hypothetical protein
V1392006	50S ribosomal protein L19
V1000840	F-ATPase gamma subunit
V1000841	F-type ATPase subunit delta
V1000845	Glucose-6-phosphate isomerase
V1000548	Beta-phosphoglucomutase
V1001368	EIIAB-Man
V1000625	Helix-turn-helix domain protein
V1000001	30S ribosomal protein S9
V1000828	ATP-dependent zinc metalloprotease FtsH
V1580717	TM2 domain protein
V1195882	Fructose-bisphosphate aldolase
V1000171	Oligopeptide-binding protein AppA precursor
V1000134	HSP-70 cofactor
V1204223	repeat
V1301126	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
V1607589	Signal transduction histidine-protein kinase ArlS
V1000143	Elongation factor Ts
V1000018	hypothetical protein
V1000003	hypothetical protein
V1000518	Glv operon regulatory protein
V1006020	50S ribosomal protein L2
V1888216	NADH oxidase
V1553523	Foldase protein PrsA precursor
V1006727	30S ribosomal protein S1
V1000172	Stage 0 sporulation protein KC
V1420590	hypothetical protein
V1000021	50S ribosomal protein L3
V1392216	Stress protein H5
V1491714	30S ribosomal protein S1
V1162881	Phosphoglucomutase
V1000017	50S ribosomal protein L16
V1198583	CRISPR-associated endonuclease Cas9 2
V1144358	30S ribosomal protein S20
V1390055	hypothetical protein
V1036606	F-type ATPase subunit b
V1102439	Staphylococcal respiratory response protein A
V1574099	PTS system mannose-specific EIIC component
V1000025	hypothetical protein
V1000643	Ribonuclease R
V1000307	Glutamine synthetase
V1000082	Replicative DNA helicase
V1420563	DNA gyrase subunit B
V1000184	Bacteriophage peptidoglycan hydrolase
V1295196	Cell division protein FtsA
V1059001	Phosphoenolpyruvate-protein phosphotransferase
V1392051	Acetate kinase
V1000044	Asparagine synthetase [glutamine-hydrolyzing] 1
V1852133	Translation initiation factor IF-3
V1852094	Adenylosuccinate lyase
V1000151	30S ribosomal protein S16
V1364877	F-ATPase epsilon subunit
V1382281	50S ribosomal protein L27
V1107920	hypothetical protein
V1323707	KilA-N domain protein
V1612021	Cell division protein SepF
V1000499	Glutamyl-tRNA(Gln) amidotransferase subunit A
V1203300	dihydroxyacetone kinase
V1144133	hypothetical protein
V1000023	Ribose-phosphate pyrophosphokinase
V1000563	Guanylate kinase
V1552777	Translation initiation factor IF-2
V1000093	Putative penicillin-binding protein PbpX
V1381763	Glucosamine kinase GspK
V1852109	gram-positive signal peptide%2C YSIRK family
V1191213	type 2 lantibiotic biosynthesis protein LanM
V1000835	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
V1836833	C protein alpha-antigen precursor
V1356068	Ribonuclease J 1
V1064534	DNA-directed RNA polymerase subunit beta
V1033891	hypothetical protein
V1481366	30S ribosomal protein S1
V1391945	product=Deoxyuridine 5'-triphosphate nucleotidohydrolase
V1037207	putative phage-associated protein
V1000057	Ribose-phosphate pyrophosphokinase
V1580709	30S ribosomal protein S21
V1000502	Inosine-5'-monophosphate dehydrogenase
V1000317	Transcript cleavage factor GreA
V1299127	Penicillin-binding protein B
V1075411	Vegetative protein 19
V1000300	Aspartate--tRNA ligase
V1076034	hypothetical protein
