gene	geneProduct
V1422497	hypothetical protein
V1337358	Thiol-activated cytolysin
V1265029	hypothetical protein
V1037187	Lipid A export ATP-binding/permease protein MsbA
V1166924	Heat shock protein 70
V1394389	Cyclodextrin-binding protein precursor
V1036256	Maltodextrin-binding protein
V1465337	Maltose-binding periplasmic proteins/domains
V1368901	Maltose/maltodextrin-binding protein precursor
V1145548	30S ribosomal protein S1
V1013684	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1145030	hypothetical protein
V1884207	Maltose transport system permease protein MalF
V1145082	Beta/alpha-amylase precursor
V1267672	hypothetical protein
V1137315	Maltose-binding periplasmic proteins/domains
V1036164	Stress protein H5
V1037868	hypothetical protein
V1162245	Maltodextrin phosphorylase
V1037518	50S ribosomal protein L7/L12
V1198628	hypothetical protein
V1038252	F-ATPase gamma subunit
V1549573	co-chaperonin GroES
V1038361	Elongation factor Tu
V1312248	Trigger factor
V1085154	hypothetical protein
V1168094	50S ribosomal protein L6
V1362787	30S ribosomal protein S15
V1040344	Formate acetyltransferase
V1037422	F-type ATPase subunit b
V1036177	Fimbrial subunit type 1 precursor
V1239597	Dark-response protein 21
V1806808	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1391939	Fructose-bisphosphate aldolase
V1181936	Formate acetyltransferase
V1036191	Alkyl hydroperoxide reductase subunit C
V1168807	Translation initiation factor IF-1
V1036259	4-alpha-glucanotransferase
V1038310	putative distant relative of cell wall-associated hydrolases
V1265314	Elongation factor Tu
V1036274	DivIVA domain protein
V1145663	Elongation factor G
V1051284	Phosphocarrier protein HPr
V1041514	Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
V1035994	Formate acetyltransferase
V1036261	Inner membrane ABC transporter permease protein YcjP
V1036115	HSP-70 cofactor
V1157772	Translation initiation factor IF-3
V1157569	F-ATPase subunit 6
V1367590	Elongation factor Ts
V1364027	maltose ABC transporter periplasmic protein
V1806795	Glyceraldehyde-3-phosphate dehydrogenase
V1687726	hypothetical protein
V1081232	Formate acetyltransferase 1
