Gene	category	Annotation	COGID
V1034630	P	DNA protection during starvation protein	COG0783
V1000642	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1852092	S	Membrane	11R75
V1464571	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000639	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1256184	S	surface protein	11NE4
V1912442	G	Phosphohexokinase	COG0205
V1358422	J	ribosomal subunit Interface protein	COG1544
V1000122	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000116	G	Pyruvate kinase	COG3848
V1000534	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1000004	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1430275	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1431607	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)	COG0261
V1164548	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0086
V1203355	O	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)	COG0484
V1000596	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1000079	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	COG0188
V1000545	P	permease protein	COG1175
V1580955	O	Acts as a chaperone (By similarity)	COG0443
V1339929	C	L-lactate dehydrogenase	COG0039
V1000549	G	hydrolase family 65, central catalytic	COG1554
V1851961	O	ATP-dependent clp protease, ATP-binding subunit	COG0542
V1000546	G	(ABC) transporter	COG2182
V1836823	S	Domain of unknown function (DUF956)	COG4687
V1481435	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1852039	K	Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling (By similarity)	COG3343
V1000487	G	Aldolase	COG0191
V1000836	J	50s ribosomal protein l31 type b	COG0254
V1577228	O	Acts as a chaperone (By similarity)	COG0443
V1073967	J	50s ribosomal protein L10	COG0244
V1000943	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
V1000129	T	gtp-binding protein typa	COG1217
V1592983	S	Rib/alpha-like repeat	10008
V1000627	S	Endoribonuclease that initiates mRNA decay (By similarity)	COG1418
V1000040	F	(Anaerobic) ribonucleoside-triphosphate reductase	COG1328
V1043485	J	One of two assembly initiator proteins, it binds directly to the 5'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)	COG0198
V1000527	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)	COG0480
V1000886	G	ABC transporter	COG1653
V1576144	U	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)	COG0201
V1000638	K	regulatoR	COG2390
V1851967	K	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons (By similarity)	COG1420
V1887021	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation	COG0544
V1464170	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)	COG0056
V1000840	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)	COG0224
V1886336	G	phosphocarrier protein (HPr	COG1925
V1000305	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
