gene	geneProduct
V1154487	hypothetical protein
V1422497	hypothetical protein
V1342924	Putative endo-beta-N-acetylglucosaminidase precursor
V1039094	hypothetical protein
V1007844	Formate acetyltransferase 1
V1067936	Formate acetyltransferase
V1010451	Cyclodextrin-binding protein precursor
V1524769	Hexagonal wall protein
V1181936	Formate acetyltransferase
V1736951	Maltodextrin-binding protein
V1137152	hypothetical protein
V1235967	flagellar biosynthesis anti-sigma factor FlgM
V1066646	Maltose/maltodextrin-binding protein precursor
V1200593	Multiple sugar-binding protein precursor
V1008395	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1013090	Fructose-bisphosphate aldolase
V1431274	hypothetical protein
V1013092	Formate acetyltransferase
V1066910	Ribonuclease Y
V1411137	Flavodoxin
V1103535	hypothetical protein
V1066144	Cold shock-like protein
V1103115	Cyclodextrin-binding protein precursor
V1103096	hypothetical protein
V1067937	Pyruvate formate-lyase-activating enzyme
V1069376	C protein alpha-antigen precursor
V1411952	DNA-binding protein HU
V1139748	Glycine reductase complex component B subunit gamma
V1047883	RlpA-like protein precursor
V1008714	1%2C4-alpha-glucan branching enzyme GlgB
V1362379	hypothetical protein
V1105638	Trigger factor
V1268246	cell division protein MraZ
V1111563	DNA protection during starvation protein
V1007943	Polyphosphate glucokinase
V1087726	NAD-specific glutamate dehydrogenase
V1265029	hypothetical protein
V1035957	Maltose-binding periplasmic proteins/domains
V1344061	Nickel-binding periplasmic protein precursor
V1066664	Flagellar hook-associated protein 1
V1516671	50S ribosomal protein L31 type B
V1230019	hypothetical protein
V1564466	hypothetical protein
V1583622	Translation initiation factor IF-3
V1110058	30S ribosomal protein S2
V1105335	Ribonuclease Y
V1065433	putative NADH oxidase
V1008385	Pyruvate kinase
V1040344	Formate acetyltransferase
V1067278	hypothetical protein
V1393635	Flagellin subunit protein B2
V1007060	Glyceraldehyde-3-phosphate dehydrogenase
V1394159	hypothetical protein
V1069093	Putative aldehyde dehydrogenase AldA
V1067558	Glyceraldehyde-3-phosphate dehydrogenase
V1011471	Purine nucleoside receptor A
V1008595	co-chaperonin GroES
V1139530	Formate acetyltransferase
V1068297	Trigger factor
V1038810	single-stranded DNA-binding protein
V1008216	Stress protein H5
V1007440	Dark-response protein 21
V1159100	Stress protein H5
V1066160	putative L-ascorbate-6-phosphate lactonase UlaG
V1013898	co-chaperonin GroES
V1145030	hypothetical protein
V1465337	Maltose-binding periplasmic proteins/domains
V1011530	DNA-directed RNA polymerase subunit alpha
V1066648	DNA-directed RNA polymerase subunit beta
V1121000	Elongation factor G
V1066645	Cyclomaltodextrinase
V1190192	hypothetical protein
V1074835	hypothetical protein
V1408929	Hexagonal wall protein
V1104488	hypothetical protein
V1505538	Trehalose import ATP-binding protein SugC
V1190195	Phase 1-C flagellin
V1007441	preprotein translocase subunit SecA
V1066640	Elongation factor Tu
V1200606	Outer membrane porin F precursor
V1009331	DNA-directed RNA polymerase subunit omega
V1009361	FK506-binding protein
V1736881	hypothetical protein
V1007951	Elongation factor Ts
V1386949	hypothetical protein
V1355408	C protein alpha-antigen precursor
V1010072	Outer membrane porin F precursor
V1381248	hypothetical protein
V1506464	Elongation factor Tu
V1014561	Translation initiation factor IF-1
V1357955	Maltose-binding periplasmic proteins/domains
V1736985	Maltodextrin phosphorylase
V1485310	hypothetical protein
V1613276	hypothetical protein
V1514797	Glycine reductase complex component B subunits alpha and beta
V1594277	C protein alpha-antigen precursor
V1050217	Ferritin
V1583995	Putative endo-beta-N-acetylglucosaminidase precursor
V1382261	RlpA-like protein precursor
V1788382	hypothetical protein
V1140854	ATP-dependent Clp protease ATP-binding subunit ClpC
V1067955	30S ribosomal protein S9
V1190634	SagB-type dehydrogenase domain protein
V1292201	hypothetical protein
V1105020	Elongation factor Tu
V1102328	Vegetative protein 209
V1010034	Flavodoxin
V1379917	Elongation factor G
V1374205	Maltose operon transcriptional repressor
V1065536	Pyruvate kinase
V1420994	Flagellin
V1012333	Enolase
V1201556	DNA-directed RNA polymerase subunit beta'
V1806797	putative ABC transporter ATP-binding protein YheS
V1066925	Oligopeptide-binding protein AppA precursor
V1067559	Phosphoglycerate kinase
V1192293	Oligopeptide-binding protein AppA precursor
V1341867	50S ribosomal protein L13
