gene	geneProduct
V1034630	DNA protection during starvation protein
V1143274	gram-positive signal peptide%2C YSIRK family
V1598369	Enolase
V1852092	Folate ECF transporter S component FolT
V1001305	putative MFS-type transporter YhjX
V1503141	LPXTG cell wall anchor domain protein
V1001201	Fructose-bisphosphate aldolase
V1000816	Glyceraldehyde-3-phosphate dehydrogenase
V1000781	Stress protein H5
V1016072	DNA replication initiation protein gpA
V1000815	Phosphoglycerate kinase
V1000962	Anaerobic ribonucleoside-triphosphate reductase
V1000814	Triosephosphate isomerase
V1000961	anaerobic ribonucleotide reductase-activating protein
V1001481	CsbD-like protein
V1462044	Elongation factor Tu
V1000642	Enolase
V1001250	Maltose phosphorylase
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1001274	Ornithine carbamoyltransferase
V1256203	Pyruvate oxidase
V1016074	capsid protein
V1806762	hypothetical protein
V1001011	spore cortex-lytic enzyme
V1430708	LPXTG cell wall anchor domain protein
V1000956	Exo-glucosaminidase LytG precursor
V1150709	Multicopper oxidase mco
V1806742	ATP-dependent zinc metalloprotease FtsH
V1464571	Elongation factor Tu-B
V1806702	SigL modulation protein
V1204532	Calcium-transporting ATPase
V1001104	Phosphoenolpyruvate-protein phosphotransferase
V1000969	putative endopeptidase p60 precursor
V1016073	minor spike protein
V1002229	Transposase DDE domain protein
V1365610	Aldehyde-alcohol dehydrogenase
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1000950	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1890551	hypothetical protein
V1000122	Elongation factor Tu
V1150432	RNAP delta factor
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1806743	DNA-directed RNA polymerase subunit beta'
V1001016	Rod shape-determining protein MreB
V1001192	Septation ring formation regulator EzrA
V1256223	Enolase
V1000221	NADH peroxidase
V1806712	Maltose/maltodextrin-binding protein precursor
V1000277	Fumarate hydratase class II
V1001253	Glucan 1%2C6-alpha-glucosidase
V1000409	Bifunctional oligoribonuclease and PAP phosphatase NrnA
V1001230	Glucose-6-phosphate isomerase
V1203355	Chaperone protein DnaJ
V1836875	C protein alpha-antigen precursor
V1204771	Serine-aspartate repeat-containing protein D precursor
V1000907	6-phosphofructokinase
V1302774	Glyceraldehyde-3-phosphate dehydrogenase
V1257375	30S ribosomal protein S1
V1000407	Helix-destabilizing protein
V1000596	Stress protein H5
V1339929	L-lactate dehydrogenase
V1000276	Fumarate reductase flavoprotein subunit precursor
V1000390	preprotein translocase subunit SecY
V1301210	Transposase
V1001040	D-alanyl-lipoteichoic acid biosynthesis protein DltD
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1000867	DNA polymerase III PolC-type
V1001276	Arginine deiminase
V1000801	Phosphoglucosamine mutase
V1000376	Vegetative protein 19
V1150476	ATP-dependent Clp protease ATP-binding subunit ClpE
V1836851	Foldase protein PrsA precursor
V1162889	Plasmin-sensitive surface protein
V1305188	hypothetical protein
V1580955	Heat shock protein 70
V1431607	50S ribosomal protein L21
V1000433	Transcriptional regulatory protein YycF
V1836805	Copper-exporting P-type ATPase B
V1000797	Copper-exporting P-type ATPase A
V1001437	Serine hydroxymethyltransferase 2
V1000734	50S ribosomal protein L21
V1304483	hypothetical protein
V1000405	DNA gyrase subunit A
V1000922	Recombinase A
V1001157	Trigger factor
V1000925	preprotein translocase subunit SecA
V1000079	DNA gyrase subunit A
V1000004	DNA-directed RNA polymerase subunit alpha
V1836857	Isoleucine--tRNA ligase
V1001410	Phosphoenolpyruvate synthase
V1001453	DNA protection during starvation protein
V1301183	Oligopeptide-binding protein AppA precursor
V1462039	EIIAB-Man
V1000373	DNA-directed RNA polymerase subunit beta
V1541158	major spike protein
V1000685	Glutamine synthetase
V1000266	Citrate lyase subunit beta
V1001054	Purine nucleoside receptor A
V1001183	F-ATPase gamma subunit
V1000274	Putative malate transporter YflS
V1000487	Fructose-bisphosphate aldolase
V1001181	F-type ATPase subunit b
V1001042	D-alanine--poly(phosphoribitol) ligase subunit 1
V1150830	Pyridoxamine 5'-phosphate oxidase
V1000764	putative protein containing a divergent version of the methyl-accepting chemotaxis-like domain protein
V1001275	Carbamate kinase 1
V1301206	hypothetical protein
V1000106	Formate--tetrahydrofolate ligase 1
V1001039	FmtA-like protein
V1000116	Pyruvate kinase
V1000860	Vegetative protein 209
V1000640	Phosphoglycerate kinase
V1000650	Lipoteichoic acid synthase 1
V1836836	C protein alpha-antigen precursor
V1852039	RNAP delta factor
V1257540	Ribonuclease Y
V1616331	Bone sialoprotein-binding protein precursor
V1000638	Central glycolytic genes regulator
V1001186	Rod shape-determining protein MreB
V1001446	NADPH azoreductase
V1851967	Heat-inducible transcription repressor HrcA
V1001347	DNA topoisomerase 1
V1001051	Phosphate-import protein PhnD precursor
V1001688	gram-positive signal peptide%2C YSIRK family
V1001203	Penicillin-binding protein F
V1836842	potassium transport protein Kup
V1000861	Elongation factor Ts
V1301137	gram-positive signal peptide%2C YSIRK family
V1806671	gram-positive signal peptide%2C YSIRK family
V1000743	Recombination protein N
V1001429	Multiple sugar-binding protein precursor
V1001337	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1301152	Exo-glucosaminidase LytG precursor
V1912442	6-phosphofructokinase
V1000877	Elongation factor 4
V1001007	AB hydrolase superfamily protein YdjP
V1305185	type I restriction enzyme EcoKI subunit R
V1000364	Transcription-repair-coupling factor
