Gene	KEGG_pathwayID	Annotation
V1066646	map02030	Bacterial chemotaxis
V1067936	map00650	Butanoate metabolism
V1357153	map04626	Plant-pathogen interaction
V1393635	map04626	Plant-pathogen interaction
V1203777	map04626	Plant-pathogen interaction
V1421438	map05010	Alzheimer's disease
V1200593	map02010	ABC transporters
V1235967	map02040	Flagellar assembly
V1294607	map04626	Plant-pathogen interaction
V1067037	map00982	Drug metabolism - cytochrome P450
V1337358	map04621	NOD-like receptor signaling pathway
V1067558	map05010	Alzheimer's disease
V1067114	map00450	Selenocompound metabolism
V1576661	map00910	Nitrogen metabolism
V1138984	map03010	Ribosome
V1073455	map00710	Carbon fixation in photosynthetic organisms
V1067559	map00710	Carbon fixation in photosynthetic organisms
V1268218	map04626	Plant-pathogen interaction
V1065552	map00330	Arginine and proline metabolism
V1069093	map00903	Limonene and pinene degradation
V1066664	map02040	Flagellar assembly
V1067088	map00710	Carbon fixation in photosynthetic organisms
V1087726	map00910	Nitrogen metabolism
V1066640	map04626	Plant-pathogen interaction
V1076687	map00860	Porphyrin and chlorophyll metabolism
V1066925	map02010	ABC transporters
V1557734	map03018	RNA degradation
V1066648	map03020	RNA polymerase
V1109394	map04626	Plant-pathogen interaction
V1341867	map03010	Ribosome
V1066160	map00053	Ascorbate and aldarate metabolism
V1051876	map00910	Nitrogen metabolism
V1067450	map03010	Ribosome
V1190192	map02030	Bacterial chemotaxis
V1238645	map00330	Arginine and proline metabolism
V1085162	map00680	Methane metabolism
V1582926	map04626	Plant-pathogen interaction
V1067955	map03010	Ribosome
V1553939	map03010	Ribosome
V1066613	map02060	Phosphotransferase system (PTS)
V1345614	map00930	Caprolactam degradation
V1235913	map00195	Photosynthesis
V1594594	map04626	Plant-pathogen interaction
V1065438	map05152	Tuberculosis
V1068288	map00650	Butanoate metabolism
V1145548	map03010	Ribosome
V1235912	map04626	Plant-pathogen interaction
V1201556	map03020	RNA polymerase
V1075948	map04626	Plant-pathogen interaction
V1362785	map02010	ABC transporters
V1066927	map00710	Carbon fixation in photosynthetic organisms
V1436641	map00650	Butanoate metabolism
V1088211	map04626	Plant-pathogen interaction
V1065923	map00195	Photosynthesis
V1295411	map00900	Terpenoid backbone biosynthesis
V1066655	map02040	Flagellar assembly
V1065536	map04930	Type II diabetes mellitus
V1067061	map00970	Aminoacyl-tRNA biosynthesis
V1066663	map02040	Flagellar assembly
V1560688	map00190	Oxidative phosphorylation
V1373601	map02040	Flagellar assembly
V1295007	map00970	Aminoacyl-tRNA biosynthesis
V1010320	map00630	Glyoxylate and dicarboxylate metabolism
V1068294	map00240	Pyrimidine metabolism
V1066917	map00970	Aminoacyl-tRNA biosynthesis
V1065446	map03010	Ribosome
V1051698	map00330	Arginine and proline metabolism
V1037377	map00680	Methane metabolism
V1594831	map04626	Plant-pathogen interaction
V1613200	map00590	Arachidonic acid metabolism
V1067099	map00680	Methane metabolism
V1109127	map00982	Drug metabolism - cytochrome P450
V1067579	map02040	Flagellar assembly
V1273194	map04626	Plant-pathogen interaction
