Gene	KEGG_module_number	Annotation
V1394389	M00197	Putative fructooligosaccharide transport system
V1266177	M00239	Peptides/nickel transport system
V1239646	M00178	Ribosome, bacteria
V1265517	M00206	Cellobiose transport system
V1168094	M00179	Ribosome, archaea
V1036256	M00197	Putative fructooligosaccharide transport system
V1884207	M00197	Putative fructooligosaccharide transport system
V1267333	M00239	Peptides/nickel transport system
V1195096	M00179	Ribosome, archaea
V1037518	M00178	Ribosome, bacteria
V1009516	M00346	Formaldehyde assimilation, serine pathway
V1383824	M00239	Peptides/nickel transport system
V1301930	M00178	Ribosome, bacteria
V1366835	M00179	Ribosome, archaea
V1364027	M00197	Putative fructooligosaccharide transport system
V1362785	M00197	Putative fructooligosaccharide transport system
V1484064	M00197	Putative fructooligosaccharide transport system
V1687741	M00197	Putative fructooligosaccharide transport system
V1436794	M00197	Putative fructooligosaccharide transport system
V1334911	M00179	Ribosome, archaea
V1302192	M00206	Cellobiose transport system
V1384044	M00197	Putative fructooligosaccharide transport system
V1458477	M00178	Ribosome, bacteria
V1409431	M00179	Ribosome, archaea
V1196712	M00206	Cellobiose transport system
V1036227	M00239	Peptides/nickel transport system
V1200931	M00178	Ribosome, bacteria
V1440555	M00164	ATP synthase
V1265052	M00346	Formaldehyde assimilation, serine pathway
V1526141	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1006125	M00346	Formaldehyde assimilation, serine pathway
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1501533	M00178	Ribosome, bacteria
V1395005	M00164	ATP synthase
V1038252	M00164	ATP synthase
V1145315	M00183	RNA polymerase, bacteria
V1154539	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1185257	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1167759	M00002	Glycolysis, core module involving three-carbon compounds
V1006110	M00179	Ribosome, archaea
V1723592	M00178	Ribosome, bacteria
V1172076	M00206	Cellobiose transport system
V1007247	M00207	Putative multiple sugar transport system
V1000546	M00197	Putative fructooligosaccharide transport system
V1036261	M00197	Putative fructooligosaccharide transport system
V1370810	M00179	Ribosome, archaea
V1037884	M00179	Ribosome, archaea
V1234581	M00178	Ribosome, bacteria
V1806795	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1705007	M00335	Sec (secretion) system
