Gene	KEGG_module_number	Annotation
V1394389	M00197	Putative fructooligosaccharide transport system
V1036256	M00197	Putative fructooligosaccharide transport system
V1368901	M00197	Putative fructooligosaccharide transport system
V1066646	M00197	Putative fructooligosaccharide transport system
V1145548	M00178	Ribosome, bacteria
V1884207	M00197	Putative fructooligosaccharide transport system
V1013684	M00207	Putative multiple sugar transport system
V1366835	M00179	Ribosome, archaea
V1037518	M00178	Ribosome, bacteria
V1484064	M00197	Putative fructooligosaccharide transport system
V1103115	M00197	Putative fructooligosaccharide transport system
V1364027	M00197	Putative fructooligosaccharide transport system
V1362785	M00197	Putative fructooligosaccharide transport system
V1038252	M00164	ATP synthase
V1168094	M00179	Ribosome, archaea
V1265052	M00346	Formaldehyde assimilation, serine pathway
V1157569	M00164	ATP synthase
V1200593	M00197	Putative fructooligosaccharide transport system
V1313683	M00164	ATP synthase
V1806795	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1421438	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1037422	M00164	ATP synthase
V1036261	M00197	Putative fructooligosaccharide transport system
V1200931	M00178	Ribosome, bacteria
V1038267	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1526141	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1383841	M00179	Ribosome, archaea
V1368877	M00197	Putative fructooligosaccharide transport system
V1445419	M00002	Glycolysis, core module involving three-carbon compounds
V1034175	M00197	Putative fructooligosaccharide transport system
V1036826	M00374	Dicarboxylate-hydroxybutyrate cycle
V1375699	M00207	Putative multiple sugar transport system
V1006110	M00179	Ribosome, archaea
V1362787	M00179	Ribosome, archaea
V1145315	M00183	RNA polymerase, bacteria
V1235913	M00164	ATP synthase
V1037423	M00164	ATP synthase
V1036988	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1367869	M00206	Cellobiose transport system
V1006125	M00346	Formaldehyde assimilation, serine pathway
V1557734	M00346	Formaldehyde assimilation, serine pathway
V1266177	M00239	Peptides/nickel transport system
V1035957	M00197	Putative fructooligosaccharide transport system
V1162256	M00179	Ribosome, archaea
V1445347	M00183	RNA polymerase, bacteria
V1037884	M00179	Ribosome, archaea
V1554521	M00207	Putative multiple sugar transport system
V1067558	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1065923	M00164	ATP synthase
V1067088	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1067559	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1238100	M00346	Formaldehyde assimilation, serine pathway
V1313175	M00346	Formaldehyde assimilation, serine pathway
V1036258	M00207	Putative multiple sugar transport system
V1036111	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1038272	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1069093	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA
V1137087	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
V1038263	M00083	Fatty acid biosynthesis, elongation
V1038271	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1067061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1527021	M00002	Glycolysis, core module involving three-carbon compounds
V1728061	M00179	Ribosome, archaea
V1158372	M00164	ATP synthase
V1237403	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
V1035843	M00178	Ribosome, bacteria
V1067099	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1066648	M00183	RNA polymerase, bacteria
V1337287	M00179	Ribosome, archaea
V1066613	M00276	PTS system, mannose-specific II component
V1368264	M00197	Putative fructooligosaccharide transport system
V1036227	M00239	Peptides/nickel transport system
V1181333	M00002	Glycolysis, core module involving three-carbon compounds
V1553877	M00276	PTS system, mannose-specific II component
V1036422	M00086	beta-Oxidation, acyl-CoA synthesis
V1065536	M00002	Glycolysis, core module involving three-carbon compounds
V1036839	M00026	Histidine biosynthesis, PRPP => histidine
V1103096	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1370810	M00179	Ribosome, archaea
V1445140	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1036407	M00188	NitT/TauT family transport system
V1036458	M00254	ABC-2 type transport system
V1380123	M00164	ATP synthase
V1318362	M00179	Ribosome, archaea
V1013685	M00207	Putative multiple sugar transport system
V1172076	M00206	Cellobiose transport system
V1265568	M00164	ATP synthase
V1072900	M00346	Formaldehyde assimilation, serine pathway
V1354174	M00179	Ribosome, archaea
V1445191	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
V1301930	M00178	Ribosome, bacteria
V1295007	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1066917	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1445304	M00183	RNA polymerase, bacteria
V1364166	M00179	Ribosome, archaea
