gene	geneProduct
V1240499	Putative endo-beta-N-acetylglucosaminidase precursor
V1066646	Maltose/maltodextrin-binding protein precursor
V1067936	Formate acetyltransferase
V1393635	Flagellin subunit protein B2
V1379917	Elongation factor G
V1408929	Hexagonal wall protein
V1066910	Ribonuclease Y
V1200593	Multiple sugar-binding protein precursor
V1066144	Cold shock-like protein
V1085032	Alkyl hydroperoxide reductase subunit C
V1235967	flagellar biosynthesis anti-sigma factor FlgM
V1067037	Alcohol dehydrogenase 1
V1067937	Pyruvate formate-lyase-activating enzyme
V1337358	Thiol-activated cytolysin
V1166828	hypothetical protein
V1834858	hypothetical protein
V1067558	Glyceraldehyde-3-phosphate dehydrogenase
V1080455	DNA-binding protein HU-beta
V1067114	Thioredoxin reductase
V1138984	hypothetical protein
V1065433	putative NADH oxidase
V1073455	Phosphoenolpyruvate carboxykinase [ATP]
V1067559	Phosphoglycerate kinase
V1085783	Desulfoferrodoxin
V1067562	DNA protection during starvation protein
V1068297	Trigger factor
V1053762	hypothetical protein
V1090535	DNA protection during starvation protein
V1065552	Arginine deiminase
V1069093	Putative aldehyde dehydrogenase AldA
V1066664	Flagellar hook-associated protein 1
V1067088	Fructose-bisphosphate aldolase
V1087726	NAD-specific glutamate dehydrogenase
V1065506	SigL modulation protein
V1067115	Alkyl hydroperoxide reductase subunit C
V1069716	Gamma-DL-glutamyl hydrolase precursor
V1013250	Cold shock protein CspC
V1066640	Elongation factor Tu
V1076687	Ferritin
V1065484	Stage V sporulation protein G
V1066925	Oligopeptide-binding protein AppA precursor
V1386949	hypothetical protein
V1111563	DNA protection during starvation protein
V1066648	DNA-directed RNA polymerase subunit beta
V1341867	50S ribosomal protein L13
V1066160	putative L-ascorbate-6-phosphate lactonase UlaG
V1569324	hypothetical protein
V1051876	NAD-specific glutamate dehydrogenase
V1054120	putative NADH oxidase
V1067450	30S ribosomal protein S20
V1190192	hypothetical protein
V1411137	Flavodoxin
V1464212	hypothetical protein
V1153984	hypothetical protein
V1411952	DNA-binding protein HU
V1085162	(S)-sulfolactate dehydrogenase
V1582926	Flagellin
V1194949	hypothetical protein
V1067955	30S ribosomal protein S9
V1345638	hypothetical protein
V1190145	hypothetical protein
V1558106	hypothetical protein
V1066613	product=enterobactin exporter EntS
V1066645	Cyclomaltodextrinase
V1345614	NADP-dependent isopropanol dehydrogenase
V1235913	ATP synthase subunit alpha
V1066936	hypothetical protein
V1421911	hypothetical protein
V1422497	hypothetical protein
V1201810	hypothetical protein
V1070409	hypothetical protein
V1065438	Stress protein H5
V1068288	Aldehyde-alcohol dehydrogenase
V1068470	Elongation factor P
V1145548	30S ribosomal protein S1
V1054116	N-acetylmuramoyl-L-alanine amidase LytC precursor
V1067278	hypothetical protein
V1201556	DNA-directed RNA polymerase subunit beta'
V1561223	hypothetical protein
V1524769	Hexagonal wall protein
V1362785	maltose ABC transporter periplasmic protein
V1066927	Pyruvate%2C phosphate dikinase
V1044344	hypothetical protein
V1065923	ATP synthase subunit beta%2C sodium ion specific
V1295411	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
V1066655	hypothetical protein
V1440258	hypothetical protein
V1079798	TonB-linked outer membrane protein%2C SusC/RagA family
V1065536	Pyruvate kinase
V1067061	Threonine--tRNA ligase 2
V1081499	hypothetical protein
V1066663	Flagellar hook-associated protein 1
V1067945	hypothetical protein
V1295007	Valine--tRNA ligase
V1010320	putative FAD-linked oxidoreductase
V1229972	hypothetical protein
V1068294	Anaerobic ribonucleoside-triphosphate reductase
V1066917	Alanine--tRNA ligase
V1065446	50S ribosomal protein L19
V1013684	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1175702	hypothetical protein
V1082990	hypothetical protein
V1065511	Gamma-DL-glutamyl hydrolase precursor
V1065454	hypothetical protein
V1051698	D-proline reductase proprotein PrdA
V1145464	hypothetical protein
V1042360	hypothetical protein
V1037377	Rubrerythrin
V1067571	DNA topoisomerase 1
V1190158	hypothetical protein
V1613200	hypothetical protein
