Gene	KEGG_pathwayID	Annotation
V1337358	map04621	NOD-like receptor signaling pathway
V1394389	map02030	Bacterial chemotaxis
V1015704	map00650	Butanoate metabolism
V1009516	map03018	RNA degradation
V1301930	map03010	Ribosome
V1265517	map02010	ABC transporters
V1687741	map02010	ABC transporters
V1020434	map00710	Carbon fixation in photosynthetic organisms
V1036379	map00500	Starch and sucrose metabolism
V1084822	map05152	Tuberculosis
V1079736	map05215	Prostate cancer
V1083661	map04141	Protein processing in endoplasmic reticulum
V1334911	map03010	Ribosome
V1013253	map04626	Plant-pathogen interaction
V1465337	map02010	ABC transporters
V1137315	map02010	ABC transporters
V1080596	map05152	Tuberculosis
V1315998	map00650	Butanoate metabolism
V1239646	map03010	Ribosome
V1198668	map00710	Carbon fixation in photosynthetic organisms
V1012496	map05152	Tuberculosis
V1003154	map00195	Photosynthesis
V1140472	map03010	Ribosome
V1167759	map04930	Type II diabetes mellitus
V1008596	map05152	Tuberculosis
V1437609	map04141	Protein processing in endoplasmic reticulum
V1723757	map03010	Ribosome
V1393333	map00982	Drug metabolism - cytochrome P450
V1302192	map02010	ABC transporters
V1036256	map02010	ABC transporters
V1011906	map05152	Tuberculosis
V1036253	map04112	Cell cycle - Caulobacter
V1038361	map04626	Plant-pathogen interaction
V1395005	map00195	Photosynthesis
V1362787	map03010	Ribosome
V1239069	map03440	Homologous recombination
V1520973	map04141	Protein processing in endoplasmic reticulum
V1006055	map04621	NOD-like receptor signaling pathway
V1032060	map00030	Pentose phosphate pathway
V1038424	map05010	Alzheimer's disease
V1009641	map03020	RNA polymerase
V1301690	map03010	Ribosome
V1009625	map03070	Bacterial secretion system
V1704843	map05152	Tuberculosis
V1484064	map02030	Bacterial chemotaxis
V1884207	map02010	ABC transporters
V1409431	map03010	Ribosome
V1038323	map02010	ABC transporters
V1070888	map04621	NOD-like receptor signaling pathway
V1006125	map03018	RNA degradation
V1086654	map00195	Photosynthesis
V1392446	map00982	Drug metabolism - cytochrome P450
V1083563	map04122	Sulfur relay system
V1409950	map02010	ABC transporters
V1899904	map02060	Phosphotransferase system (PTS)
V1083647	map05010	Alzheimer's disease
V1383841	map03010	Ribosome
V1082705	map00710	Carbon fixation in photosynthetic organisms
V1019613	map05010	Alzheimer's disease
V1019461	map00195	Photosynthesis
V1723592	map03010	Ribosome
V1899842	map00620	Pyruvate metabolism
V1362785	map02010	ABC transporters
V1883469	map00970	Aminoacyl-tRNA biosynthesis
V1464364	map05010	Alzheimer's disease
V1445176	map00710	Carbon fixation in photosynthetic organisms
V1687756	map03070	Bacterial secretion system
V1108326	map04910	Insulin signaling pathway
V1806808	map00710	Carbon fixation in photosynthetic organisms
V1151601	map05010	Alzheimer's disease
V1234581	map03010	Ribosome
V1154084	map05152	Tuberculosis
V1484106	map05152	Tuberculosis
V1724122	map03010	Ribosome
V1883611	map05152	Tuberculosis
V1079719	map04626	Plant-pathogen interaction
V1237403	map00030	Pentose phosphate pathway
V1265596	map00195	Photosynthesis
V1036261	map02010	ABC transporters
V1458477	map03010	Ribosome
V1099394	map02010	ABC transporters
V1016652	map00195	Photosynthesis
V1849102	map03018	RNA degradation
V1195096	map03010	Ribosome
V1384044	map02030	Bacterial chemotaxis
V1035957	map02010	ABC transporters
V1036042	map00710	Carbon fixation in photosynthetic organisms
V1036976	map00240	Pyrimidine metabolism
V1806795	map05010	Alzheimer's disease
V1036497	map00680	Methane metabolism
V1012313	map00230	Purine metabolism
V1291721	map00760	Nicotinate and nicotinamide metabolism
V1265314	map04626	Plant-pathogen interaction
V1528357	map00650	Butanoate metabolism
V1364027	map02010	ABC transporters
V1020162	map03010	Ribosome
V1383974	map03010	Ribosome
V1440555	map00195	Photosynthesis
V1403539	map04141	Protein processing in endoplasmic reticulum
V1035994	map00650	Butanoate metabolism
V1196712	map02010	ABC transporters
V1419972	map04621	NOD-like receptor signaling pathway
V1011667	map03010	Ribosome
V1104365	map00730	Thiamine metabolism
V1038252	map00195	Photosynthesis
V1015427	map00720	Carbon fixation pathways in prokaryotes
V1032287	map03010	Ribosome
V1013906	map04973	Carbohydrate digestion and absorption
V1366835	map03010	Ribosome
V1529154	map05152	Tuberculosis
V1301559	map03010	Ribosome
V1267333	map02010	ABC transporters
V1081232	map00650	Butanoate metabolism
V1198623	map03020	RNA polymerase
V1079670	map00450	Selenocompound metabolism
V1049012	map00650	Butanoate metabolism
V1529905	map05152	Tuberculosis
V1049010	map00620	Pyruvate metabolism
V1049051	map02010	ABC transporters
V1705007	map03070	Bacterial secretion system
V1445419	map04930	Type II diabetes mellitus
V1498668	map00250	Alanine, aspartate and glutamate metabolism
V1012818	map00650	Butanoate metabolism
V1348573	map03010	Ribosome
V1265244	map05152	Tuberculosis
V1168094	map03010	Ribosome
V1013178	map00630	Glyoxylate and dicarboxylate metabolism
V1014147	map03018	RNA degradation
V1009594	map00730	Thiamine metabolism
V1080576	map00250	Alanine, aspartate and glutamate metabolism
V1403101	map00710	Carbon fixation in photosynthetic organisms
V1498789	map03010	Ribosome
V1049011	map00650	Butanoate metabolism
V1009590	map03440	Homologous recombination
V1266138	map00240	Pyrimidine metabolism
V1265160	map03070	Bacterial secretion system
V1553878	map00500	Starch and sucrose metabolism
V1445404	map00970	Aminoacyl-tRNA biosynthesis
V1078971	map00860	Porphyrin and chlorophyll metabolism
V1383863	map03010	Ribosome
V1687738	map00970	Aminoacyl-tRNA biosynthesis
V1368335	map03018	RNA degradation
V1574725	map00195	Photosynthesis
V1031976	map00710	Carbon fixation in photosynthetic organisms
V1265052	map03018	RNA degradation
V1265462	map05152	Tuberculosis
V1458517	map00030	Pentose phosphate pathway
V1009629	map00520	Amino sugar and nucleotide sugar metabolism
V1529708	map05152	Tuberculosis
V1050902	map03010	Ribosome
V1597704	map03010	Ribosome
V1041240	map05152	Tuberculosis
V1104524	map00780	Biotin metabolism
V1459473	map03070	Bacterial secretion system
V1037336	map00650	Butanoate metabolism
V1430683	map00983	Drug metabolism - other enzymes
V1687689	map03020	RNA polymerase
V1337573	map04621	NOD-like receptor signaling pathway
V1276525	map00650	Butanoate metabolism
V1037687	map05152	Tuberculosis
V1141462	map00970	Aminoacyl-tRNA biosynthesis
