Gene	KEGG_module_number	Annotation
V1066646	M00197	Putative fructooligosaccharide transport system
V1010451	M00197	Putative fructooligosaccharide transport system
V1110058	M00179	Ribosome, archaea
V1200593	M00197	Putative fructooligosaccharide transport system
V1011530	M00183	RNA polymerase, bacteria
V1344061	M00239	Peptides/nickel transport system
V1200931	M00178	Ribosome, bacteria
V1013090	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1015187	M00164	ATP synthase
V1018179	M00179	Ribosome, archaea
V1067558	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1015188	M00164	ATP synthase
V1008385	M00002	Glycolysis, core module involving three-carbon compounds
V1066648	M00183	RNA polymerase, bacteria
V1171010	M00178	Ribosome, bacteria
V1239784	M00178	Ribosome, bacteria
V1687090	M00335	Sec (secretion) system
V1200297	M00179	Ribosome, archaea
V1557734	M00346	Formaldehyde assimilation, serine pathway
V1235913	M00164	ATP synthase
V1462237	M00179	Ribosome, archaea
V1067088	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1153240	M00178	Ribosome, bacteria
V1109176	M00164	ATP synthase
V1414483	M00179	Ribosome, archaea
V1103554	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1553939	M00178	Ribosome, bacteria
V1341867	M00179	Ribosome, archaea
V1065923	M00164	ATP synthase
V1139467	M00178	Ribosome, bacteria
V1335458	M00179	Ribosome, archaea
V1067559	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1065536	M00002	Glycolysis, core module involving three-carbon compounds
V1501661	M00178	Ribosome, bacteria
V1067955	M00179	Ribosome, archaea
V1007084	M00178	Ribosome, bacteria
V1066925	M00239	Peptides/nickel transport system
V1403556	M00239	Peptides/nickel transport system
V1105002	M00178	Ribosome, bacteria
V1067061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1421921	M00179	Ribosome, archaea
V1066613	M00276	PTS system, mannose-specific II component
V1509142	M00178	Ribosome, bacteria
V1007441	M00335	Sec (secretion) system
V1066917	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1171477	M00178	Ribosome, bacteria
V1007060	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1362785	M00197	Putative fructooligosaccharide transport system
V1420901	M00179	Ribosome, archaea
V1008929	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1270765	M00178	Ribosome, bacteria
V1201556	M00183	RNA polymerase, bacteria
V1015186	M00164	ATP synthase
V1380123	M00164	ATP synthase
V1012333	M00346	Formaldehyde assimilation, serine pathway
V1370810	M00179	Ribosome, archaea
V1115775	M00374	Dicarboxylate-hydroxybutyrate cycle
V1011847	M00222	Phosphate transport system
V1482700	M00335	Sec (secretion) system
V1502936	M00179	Ribosome, archaea
V1467358	M00179	Ribosome, archaea
V1322281	M00179	Ribosome, archaea
V1074835	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1103115	M00197	Putative fructooligosaccharide transport system
V1010450	M00197	Putative fructooligosaccharide transport system
V1068294	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1553877	M00276	PTS system, mannose-specific II component
V1421267	M00179	Ribosome, archaea
V1421438	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1051831	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1548908	M00183	RNA polymerase, bacteria
V1881259	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1320051	M00178	Ribosome, bacteria
V1065580	M00183	RNA polymerase, bacteria
V1007426	M00188	NitT/TauT family transport system
V1295411	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1104138	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1465337	M00197	Putative fructooligosaccharide transport system
V1505538	M00206	Cellobiose transport system
V1168094	M00179	Ribosome, archaea
V1115738	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1464364	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1137315	M00197	Putative fructooligosaccharide transport system
V1066642	M00179	Ribosome, archaea
V1006879	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1006933	M00183	RNA polymerase, bacteria
V1594748	M00239	Peptides/nickel transport system
V1006063	M00179	Ribosome, archaea
V1295007	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1007968	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1436794	M00197	Putative fructooligosaccharide transport system
V1229971	M00179	Ribosome, archaea
V1203298	M00197	Putative fructooligosaccharide transport system
V1069093	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA
V1881293	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1355409	M00120	Coenzyme A biosynthesis, pantothenate => CoA
V1266177	M00239	Peptides/nickel transport system
V1357096	M00197	Putative fructooligosaccharide transport system
V1483102	M00183	RNA polymerase, bacteria
V1188019	M00178	Ribosome, bacteria
V1036256	M00197	Putative fructooligosaccharide transport system
V1137087	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
V1301930	M00178	Ribosome, bacteria
V1036477	M00183	RNA polymerase, bacteria
V1007076	M00197	Putative fructooligosaccharide transport system
V1145548	M00178	Ribosome, bacteria
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1203459	M00178	Ribosome, bacteria
V1154539	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1115937	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1066643	M00179	Ribosome, archaea
V1431607	M00178	Ribosome, bacteria
V1194354	M00179	Ribosome, archaea
V1136947	M00239	Peptides/nickel transport system
V1038424	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1103096	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1020434	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1524496	M00179	Ribosome, archaea
V1067560	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1606928	M00178	Ribosome, bacteria
V1065939	M00178	Ribosome, bacteria
V1020162	M00179	Ribosome, archaea
V1010393	M00346	Formaldehyde assimilation, serine pathway
V1465915	M00178	Ribosome, bacteria
V1292655	M00179	Ribosome, archaea
V1687049	M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P
V1067111	M00258	Putative ABC transport system
V1014560	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1007432	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1622222	M00178	Ribosome, bacteria
V1355600	M00179	Ribosome, archaea
V1008409	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1724150	M00178	Ribosome, bacteria
V1006934	M00183	RNA polymerase, bacteria
V1014559	M00179	Ribosome, archaea
V1268575	M00179	Ribosome, archaea
V1554041	M00179	Ribosome, archaea
V1565608	M00164	ATP synthase
V1065515	M00335	Sec (secretion) system
V1102799	M00239	Peptides/nickel transport system
V1364027	M00197	Putative fructooligosaccharide transport system
V1603901	M00178	Ribosome, bacteria
V1482694	M00239	Peptides/nickel transport system
V1136920	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1066649	M00178	Ribosome, bacteria
V1074576	M00002	Glycolysis, core module involving three-carbon compounds
V1369364	M00179	Ribosome, archaea
V1036333	M00239	Peptides/nickel transport system
V1066614	M00276	PTS system, mannose-specific II component
V1190263	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1239646	M00178	Ribosome, bacteria
V1036735	M00183	RNA polymerase, bacteria
V1268448	M00179	Ribosome, archaea
V1067921	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1596508	M00178	Ribosome, bacteria
V1066927	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
V1065576	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1162256	M00179	Ribosome, archaea
V1565628	M00179	Ribosome, archaea
V1105537	M00239	Peptides/nickel transport system
V1008940	M00188	NitT/TauT family transport system
