gene	geneProduct
V1034630	DNA protection during starvation protein
V1143274	gram-positive signal peptide%2C YSIRK family
V1000642	Enolase
V1852092	Folate ECF transporter S component FolT
V1464571	Elongation factor Tu-B
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1256184	LPXTG cell wall anchor domain protein
V1912442	6-phosphofructokinase
V1000122	Elongation factor Tu
V1000116	Pyruvate kinase
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1000004	DNA-directed RNA polymerase subunit alpha
V1431607	50S ribosomal protein L21
V1203355	Chaperone protein DnaJ
V1000596	Stress protein H5
V1000079	DNA gyrase subunit A
V1000545	Maltose transport system permease protein MalF
V1580955	Heat shock protein 70
V1339929	L-lactate dehydrogenase
V1000549	Maltose phosphorylase
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1000546	Maltose/maltodextrin-binding protein precursor
V1836823	hypothetical protein
V1852039	RNAP delta factor
V1000487	Fructose-bisphosphate aldolase
V1000836	50S ribosomal protein L31 type B
V1073967	50S ribosomal protein L10
V1000943	50S ribosomal protein L11
V1000129	Tyrosine phosphorylated protein A
V1000627	Ribonuclease Y
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1000527	Vegetative protein 19
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1000638	Central glycolytic genes regulator
V1851967	Heat-inducible transcription repressor HrcA
V1887021	Trigger factor
V1000840	F-ATPase gamma subunit
V1886336	Phosphocarrier protein HPr
V1000305	Enolase
V1392169	hypothetical protein
V1000841	F-type ATPase subunit delta
V1000046	Putative universal stress protein
V1000080	hypothetical protein
V1552772	Pyruvate kinase
V1000548	Beta-phosphoglucomutase
V1306539	50S ribosomal protein L13
V1000640	Phosphoglycerate kinase
V1000075	Ribonuclease P protein component
V1836804	Lysine--tRNA ligase
V1034832	Ribonuclease J 2
V1000944	50S ribosomal protein L1
V1000630	preprotein translocase subunit SecA
V1000106	Formate--tetrahydrofolate ligase 1
V1000570	Rod shape-determining protein MreB
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1000828	ATP-dependent zinc metalloprotease FtsH
V1439186	50S ribosomal protein L19
V1836805	Copper-exporting P-type ATPase B
V1000134	HSP-70 cofactor
V1006020	50S ribosomal protein L2
V1163593	gram-positive signal peptide%2C YSIRK family
V1195882	Fructose-bisphosphate aldolase
V1000625	Helix-turn-helix domain protein
V1162881	Phosphoglucomutase
V1204223	repeat
V1607589	Signal transduction histidine-protein kinase ArlS
V1000018	hypothetical protein
V1852050	Immunoglobulin G-binding protein G precursor
V1135971	gram-positive signal peptide%2C YSIRK family
V1392216	Stress protein H5
V1836833	C protein alpha-antigen precursor
V1000003	hypothetical protein
V1420563	DNA gyrase subunit B
V1000017	50S ribosomal protein L16
V1034595	putative endopeptidase precursor
V1000499	Glutamyl-tRNA(Gln) amidotransferase subunit A
V1000510	hypothetical protein
V1001368	EIIAB-Man
V1036606	F-type ATPase subunit b
V1144358	30S ribosomal protein S20
V1301126	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
V1290863	gram-positive signal peptide%2C YSIRK family
V1000021	50S ribosomal protein L3
V1000845	Glucose-6-phosphate isomerase
V1000001	30S ribosomal protein S9
V1852094	Adenylosuccinate lyase
V1000093	Putative penicillin-binding protein PbpX
V1295196	Cell division protein FtsA
V1000143	Elongation factor Ts
V1191213	type 2 lantibiotic biosynthesis protein LanM
V1144133	hypothetical protein
V1481433	hypothetical protein
V1059001	Phosphoenolpyruvate-protein phosphotransferase
V1000518	Glv operon regulatory protein
V1299127	Penicillin-binding protein B
V1198583	CRISPR-associated endonuclease Cas9 2
V1000172	Stage 0 sporulation protein KC
V1000044	Asparagine synthetase [glutamine-hydrolyzing] 1
V1392006	50S ribosomal protein L19
V1888216	NADH oxidase
V1000023	Ribose-phosphate pyrophosphokinase
V1000171	Oligopeptide-binding protein AppA precursor
V1000643	Ribonuclease R
V1000082	Replicative DNA helicase
V1000835	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
V1000057	Ribose-phosphate pyrophosphokinase
V1364877	F-ATPase epsilon subunit
V1107920	hypothetical protein
V1000563	Guanylate kinase
V1000827	putative tRNA-dihydrouridine synthase
V1574099	PTS system mannose-specific EIIC component
V1553523	Foldase protein PrsA precursor
V1006727	30S ribosomal protein S1
V1006017	Ribonucleoside-diphosphate reductase subunit beta nrdF2
V1836815	Galactose/methyl galactoside import ATP-binding protein MglA
V1000842	F-ATPase subunit 6
V1064534	DNA-directed RNA polymerase subunit beta
V1420590	hypothetical protein
V1381099	F-ATPase gamma subunit
V1000641	Triosephosphate isomerase
V1000132	Single-stranded-DNA-specific exonuclease RecJ
V1390055	hypothetical protein
V1552777	Translation initiation factor IF-2
V1381763	Glucosamine kinase GspK
V1203300	dihydroxyacetone kinase
V1000008	Adenylate kinase
V1102439	Staphylococcal respiratory response protein A
V1000834	DEAD-box ATP-dependent RNA helicase CshA
V1852133	Translation initiation factor IF-3
V1000184	Bacteriophage peptidoglycan hydrolase
V1000634	Excinuclease ABC subunit A
V1000304	Pullulanase
V1356068	Ribonuclease J 1
V1491714	30S ribosomal protein S1
V1836820	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
V1006021	hypothetical protein
V1594784	Diacylglycerol kinase
V1000326	Threonine--tRNA ligase
