Gene	KEGG_pathwayID	Annotation
V1000639	map05010	Alzheimer's disease
V1464571	map04626	Plant-pathogen interaction
V1000642	map03018	RNA degradation
V1000122	map04626	Plant-pathogen interaction
V1000534	map00680	Methane metabolism
V1339929	map00640	Propanoate metabolism
V1000596	map05152	Tuberculosis
V1430275	map00195	Photosynthesis
V1000116	map04930	Type II diabetes mellitus
V1431607	map03010	Ribosome
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1580955	map05152	Tuberculosis
V1912442	map00680	Methane metabolism
V1577228	map05152	Tuberculosis
V1481435	map02060	Phosphotransferase system (PTS)
V1852039	map03020	RNA polymerase
V1000943	map03010	Ribosome
V1000004	map03020	RNA polymerase
V1552804	map05152	Tuberculosis
V1000549	map00500	Starch and sucrose metabolism
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1000836	map03010	Ribosome
V1033803	map00195	Photosynthesis
V1000546	map02030	Bacterial chemotaxis
V1836804	map00970	Aminoacyl-tRNA biosynthesis
V1519450	map00710	Carbon fixation in photosynthetic organisms
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1306539	map03010	Ribosome
V1340131	map00520	Amino sugar and nucleotide sugar metabolism
V1000080	map03010	Ribosome
V1600200	map02060	Phosphotransferase system (PTS)
V1000305	map03018	RNA degradation
V1073967	map03010	Ribosome
V1886517	map00640	Propanoate metabolism
V1392216	map05152	Tuberculosis
V1464170	map00195	Photosynthesis
V1552772	map04930	Type II diabetes mellitus
V1886558	map00710	Carbon fixation in photosynthetic organisms
V1334758	map03440	Homologous recombination
V1000545	map02010	ABC transporters
V1886416	map04930	Type II diabetes mellitus
V1000001	map03010	Ribosome
V1872766	map00240	Pyrimidine metabolism
V1164548	map03020	RNA polymerase
V1000040	map00240	Pyrimidine metabolism
V1381099	map00195	Photosynthesis
V1889488	map05010	Alzheimer's disease
V1000548	map00500	Starch and sucrose metabolism
V1000944	map03010	Ribosome
V1000841	map00195	Photosynthesis
V1000845	map00520	Amino sugar and nucleotide sugar metabolism
V1576144	map03070	Bacterial secretion system
V1033869	map04626	Plant-pathogen interaction
V1036606	map00195	Photosynthesis
V1000023	map00230	Purine metabolism
V1000630	map03070	Bacterial secretion system
V1573648	map03010	Ribosome
V1043485	map03010	Ribosome
V1144304	map03010	Ribosome
V1553618	map03070	Bacterial secretion system
V1000123	map03010	Ribosome
V1006020	map03010	Ribosome
V1203576	map00680	Methane metabolism
V1880077	map00970	Aminoacyl-tRNA biosynthesis
V1033902	map05010	Alzheimer's disease
V1211229	map00195	Photosynthesis
V1491714	map03010	Ribosome
V1439186	map03010	Ribosome
V1006727	map03010	Ribosome
V1592992	map00970	Aminoacyl-tRNA biosynthesis
V1104333	map00330	Arginine and proline metabolism
V1852094	map00250	Alanine, aspartate and glutamate metabolism
V1000564	map04112	Cell cycle - Caulobacter
V1448519	map05010	Alzheimer's disease
V1162881	map00521	Streptomycin biosynthesis
V1448327	map00195	Photosynthesis
V1000171	map02010	ABC transporters
V1136133	map05152	Tuberculosis
V1500383	map05152	Tuberculosis
V1093074	map02030	Bacterial chemotaxis
V1000842	map00195	Photosynthesis
V1000044	map00910	Nitrogen metabolism
V1597389	map03010	Ribosome
V1155228	map04626	Plant-pathogen interaction
V1000641	map00710	Carbon fixation in photosynthetic organisms
V1000840	map00195	Photosynthesis
V1143984	map03018	RNA degradation
V1157115	map03018	RNA degradation
V1000003	map03010	Ribosome
V1136163	map03010	Ribosome
V1576462	map00650	Butanoate metabolism
V1000018	map03010	Ribosome
V1364877	map00195	Photosynthesis
V1580921	map05152	Tuberculosis
V1392051	map00720	Carbon fixation pathways in prokaryotes
V1000017	map03010	Ribosome
V1886387	map03020	RNA polymerase
V1000151	map03010	Ribosome
V1000563	map00230	Purine metabolism
V1000057	map00230	Purine metabolism
V1481366	map03010	Ribosome
V1059001	map02060	Phosphotransferase system (PTS)
V1211201	map03070	Bacterial secretion system
V1076330	map03440	Homologous recombination
V1136265	map03440	Homologous recombination
V1000892	map00520	Amino sugar and nucleotide sugar metabolism
V1000021	map03010	Ribosome
V1000082	map04112	Cell cycle - Caulobacter
V1879897	map00640	Propanoate metabolism
V1213705	map00710	Carbon fixation in photosynthetic organisms
V1879868	map00330	Arginine and proline metabolism
V1136388	map00710	Carbon fixation in photosynthetic organisms
V1144329	map00330	Arginine and proline metabolism
V1301126	map00520	Amino sugar and nucleotide sugar metabolism
V1360328	map03010	Ribosome
V1000093	map05150	Staphylococcus aureus infection
V1581223	map03440	Homologous recombination
V1213480	map03440	Homologous recombination
V1000882	map00720	Carbon fixation pathways in prokaryotes
V1356068	map03018	RNA degradation
V1211334	map03018	RNA degradation
V1136222	map04141	Protein processing in endoplasmic reticulum
V1886965	map00520	Amino sugar and nucleotide sugar metabolism
V1203570	map00520	Amino sugar and nucleotide sugar metabolism
V1880135	map04626	Plant-pathogen interaction
V1213513	map00500	Starch and sucrose metabolism
