Gene	KEGG_module_number	Annotation
V1013090	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1007060	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1012333	M00346	Formaldehyde assimilation, serine pathway
V1074835	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1007084	M00178	Ribosome, bacteria
V1357096	M00197	Putative fructooligosaccharide transport system
V1103115	M00197	Putative fructooligosaccharide transport system
V1007076	M00197	Putative fructooligosaccharide transport system
V1012671	M00159	V/A-type ATPase, prokaryotes
V1010067	M00164	ATP synthase
V1052940	M00179	Ribosome, archaea
V1014360	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1559772	M00346	Formaldehyde assimilation, serine pathway
V1010069	M00164	ATP synthase
V1349964	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1330982	M00197	Putative fructooligosaccharide transport system
V1015220	M00179	Ribosome, archaea
V1102799	M00239	Peptides/nickel transport system
V1103096	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1516671	M00178	Ribosome, bacteria
V1375650	M00335	Sec (secretion) system
V1594514	M00164	ATP synthase
V1035957	M00197	Putative fructooligosaccharide transport system
V1014358	M00002	Glycolysis, core module involving three-carbon compounds
V1585624	M00346	Formaldehyde assimilation, serine pathway
V1012672	M00159	V/A-type ATPase, prokaryotes
V1377757	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1012677	M00159	V/A-type ATPase, prokaryotes
V1523254	M00159	V/A-type ATPase, prokaryotes
V1010068	M00164	ATP synthase
V1047979	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1013969	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
V1012032	M00183	RNA polymerase, bacteria
V1071524	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1018031	M00179	Ribosome, archaea
V1017115	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1465010	M00266	PTS system, maltose/glucose-specific II component
V1048488	M00260	DNA polymerase III complex, bacteria
V1013123	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1042435	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1014079	M00179	Ribosome, archaea
V1014867	M00276	PTS system, mannose-specific II component
V1007054	M00183	RNA polymerase, bacteria
V1585250	M00179	Ribosome, archaea
V1013967	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
V1102328	M00179	Ribosome, archaea
V1012417	M00178	Ribosome, bacteria
V1010070	M00164	ATP synthase
V1585936	M00179	Ribosome, archaea
V1007059	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1301930	M00178	Ribosome, bacteria
V1549656	M00197	Putative fructooligosaccharide transport system
V1007055	M00178	Ribosome, bacteria
V1012676	M00159	V/A-type ATPase, prokaryotes
V1007073	M00197	Putative fructooligosaccharide transport system
V1011337	M00178	Ribosome, bacteria
V1557783	M00164	ATP synthase
V1015262	M00020	Serine biosynthesis, glycerate-3P => serine
V1010065	M00164	ATP synthase
V1012424	M00179	Ribosome, archaea
