Gene	category	Annotation	COGID
V1694047	S	NA	0XUM5
V1033557	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1872766	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0209
V1338863	G	Pyruvate kinase	COG3848
V1033549	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1034259	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1033079	G	Phosphohexokinase	COG0205
V1884596	L	single-stranded DNA-binding protein	COG0629
V1150427	G	Aldolase	COG0191
V1032670	K	transcriptional regulatory protein	COG0217
V1204502	F	(Anaerobic) ribonucleoside-triphosphate reductase	COG1328
V1204335	S	5'-phosphate oxidase	COG3576
V1883114	J	ribosomal subunit Interface protein	COG1544
V1033501	J	Binds directly to 16S ribosomal RNA (By similarity)	COG0268
V1872734	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
V1552800	J	Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity)	COG0539
V1887290	J	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins (By similarity)	COG0290
V1033629	O	Acts as a chaperone (By similarity)	COG0443
V1032829	J	30S ribosomal protein S1	COG0539
V1032341	C	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)	COG0355
V1033003	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1032333	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)	COG0522
V1033120	G	decarboxylase	COG0269
V1033091	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)	COG0102
V1338881	J	30S ribosomal protein S21	COG0828
V1887313	J	Binds together with S18 to 16S ribosomal RNA (By similarity)	COG0360
V1033172	L	DNA-binding protein	COG0776
V1684120	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1033558	G	Phosphoglycerate kinase	COG0126
V1806611	C	d-lactate dehydrogenase	COG1052
V1047264	P	DNA protection during starvation protein	COG0783
V1204587	D	DivIVA protein	COG3599
V1032620	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0208
V1033096	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1216924	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0208
V1002229	L	Transposase (IS4 family	11HCS
V1033444	O	Heat shock protein	COG0071
V1033306	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation	COG0544
V1033493	J	30s ribosomal protein S16	COG0228
V1143661	S	Endoribonuclease that initiates mRNA decay (By similarity)	COG1418
V1034213	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1032513	J	50s ribosomal protein L10	COG0244
V1884575	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)	COG0522
V1032751	J	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)	COG0264
V1885172	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)	COG0056
V1033129	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1883097	G	phosphohexose isomerase	COG0166
V1032750	J	30S ribosomal protein S2	COG0052
V1047240	G	PTS system sugar-specific permease component	COG3037
V1032309	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1047208	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)	COG0480
V1046993	C	Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0) (By similarity)	COG0711
V1032631	G	(ABC) transporter	COG2182
V1886281	S	Inherit from COG: Hemerythrin HHE cation binding domain protein	COG2461
V1032715	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)	COG0008
V1033261	S	Lpxtg-motif cell wall anchor domain protein	0Y44U
V1885167	G	PTS System	COG1440
V1033682	S	L-ascorbate 6-phosphate lactonase	COG2220
V1891370	C	d-lactate dehydrogenase	COG1052
V1886313	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)	COG0465
V1047061	J	threonyL-tRNA synthetase	COG0441
V1033097	F	carbamoyl-phosphate synthetase ammonia chain	COG0458
V1163624	O	ATP-dependent CLP protease ATP-binding subunit	COG0542
V1032563	C	phosphoenolpyruvate carboxykinase	0XT66
V1034296	E	acetolactate synthase	COG0028
V1046991	C	it plays a direct role in the translocation of protons across the membrane (By similarity)	COG0356
V1033133	M	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)	COG0275
V1033848	F	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis (By similarity)	COG0503
V1755566	S	5'-phosphate oxidase	COG3576
V1032825	U	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)	COG0201
V1032826	F	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity)	COG0563
V1033902	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1032978	J	50S ribosomal protein l27	COG0211
V1034179	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1032210	O	Activation of anaerobic ribonucleoside-triphosphate reductase under anaerobic conditions by generation of an organic free radical, using S-adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine (By similarity)	COG0602
V1033464	E	glutamine synthetase	COG0174
V1047181	G	ABC transporter	COG1653
V1032514	J	Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)	COG0222
V1828851	K	Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling (By similarity)	COG3343
V1883385	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0208
V1033550	K	GntR Family Transcriptional Regulator	COG2188
V1032342	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1163652	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)	COG0465
V1033250	S	Veg protein	COG4466
V1806595	G	pts system	COG1762
V1032681	C	L-lactate dehydrogenase	COG0039
V1033375	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation	COG0544
V1338876	P	pyridine nucleotide-disulfide oxidoreductase	COG0446
V1199409	P	phosphonate ABC transporter, periplasmic phosphonate-binding protein	COG3221
