Gene	KEGG_orthology_number	Annotation
V1594594	K02406	zmo:ZMO0629  flagellin domain-containing protein; K02406 flagellin
V1067936	K00656	dtps:38760  e_gw1.22.16.1; .; K00656 formate C-acetyltransferase [EC:2.3.1.54]
V1007844	K00656	dtps:38760  e_gw1.22.16.1; .; K00656 formate C-acetyltransferase [EC:2.3.1.54]
V1421347	K02406	zmo:ZMO0629  flagellin domain-containing protein; K02406 flagellin
V1066646	K10108	ypz:YPZ3_3274  malE; periplasmic maltose-binding protein; K10108 maltose/maltodextrin transport system substrate-binding protein
V1067937	K04069	zmo:ZMO1569  pyruvate formate-lyase activating enzyme (EC:1.97.1.4); K04069 pyruvate formate lyase activating enzyme [EC:1.97.1.4]
V1881261	K02358	dvvi:GSVIVP00023656001  GSVIVT00023656001; assembled CDS; K02358 elongation factor EF-Tu [EC:3.6.5.3]
V1010451	K10108	ypz:YPZ3_3274  malE; periplasmic maltose-binding protein; K10108 maltose/maltodextrin transport system substrate-binding protein
V1110058	K02967	dvvi:GSVIVP00013244001  GSVIVT00013244001; assembled CDS; K02967 small subunit ribosomal protein S2
V1200593	K10117	ttm:Tthe_0754  extracellular solute-binding protein family 1; K10117 multiple sugar transport system substrate-binding protein
V1011530	K03040	dvvi:GSVIVP00035276001  GSVIVT00035276001; assembled CDS; K03040 DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
V1105638	K03545	zpr:ZPR_0628  trigger factor; K03545 trigger factor
V1014561	K02518	dvvi:GSVIVP00013226001  GSVIVT00013226001; assembled CDS; K02518 translation initiation factor IF-1
V1294607	K02406	zmo:ZMO0629  flagellin domain-containing protein; K02406 flagellin
V1268218	K02406	zmo:ZMO0629  flagellin domain-containing protein; K02406 flagellin
V1121000	K02355	dvvi:GSVIVP00019173001  GSVIVT00019173001; assembled CDS; K02355 elongation factor EF-G [EC:3.6.5.3]
V1013092	K00656	dtps:38760  e_gw1.22.16.1; .; K00656 formate C-acetyltransferase [EC:2.3.1.54]
V1344061	K02035	dlja:26036  LjSGA_122921.1; /partial;  
V1200931	K02878	dvvi:GSVIVP00035271001  GSVIVT00035271001; assembled CDS
V1235967	K02398	ypz:YPZ3_1925  flgM; negative regulator of flagellin synthesis; K02398 negative regulator of flagellin synthesis FlgM
V1013090	K01624	dtps:35048  e_gw1.6.315.1; .; K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
V1583622	K02520	dvvi:GSVIVP00017183001  GSVIVT00017183001; assembled CDS; K02520 translation initiation factor IF-3
V1190195	K02406	zmo:ZMO0629  flagellin domain-containing protein; K02406 flagellin
V1066910	K06950	dvvi:GSVIVP00030197001  GSVIVT00030197001; assembled CDS; K06950 
