gene	geneProduct
V1430591	hypothetical protein
V1334911	30S ribosomal protein S2
V1301930	50S ribosomal protein L7/L12
V1086186	putative hydrolase
V1013253	Elongation factor Tu
V1009516	Enolase
V1394389	Cyclodextrin-binding protein precursor
V1239646	hypothetical protein
V1356479	Fimbrial subunit type 1 precursor
V1040547	Putative amidase domain protein
V1602882	hypothetical protein
V1015704	Formate acetyltransferase 1
V1436495	co-chaperonin GroES
V1239069	Helix-destabilizing protein
V1555046	Translation initiation factor IF-1
V1042310	hypothetical protein
V1016650	F-type ATPase subunit b
V1723757	50S ribosomal protein L21
V1037079	Putative HMP/thiamine permease protein YkoE
V1266177	Nickel-binding periplasmic protein precursor
V1038361	Elongation factor Tu
V1237509	Fimbrial subunit type 1 precursor
V1037868	hypothetical protein
V1362787	30S ribosomal protein S15
V1107502	Putative amidase domain protein
V1394405	hypothetical protein
V1157772	Translation initiation factor IF-3
V1884207	Maltose transport system permease protein MalF
V1723592	30S ribosomal protein S16
V1123844	cell division protein GpsB
V1168094	50S ribosomal protein L6
V1140472	50S ribosomal protein L11
V1054643	hypothetical protein
V1265517	Trehalose import ATP-binding protein SugC
V1687741	Maltodextrin-binding protein
V1409431	30S ribosomal protein S4
V1009625	preprotein translocase subunit YajC
V1386117	Elongation factor Ts
V1036253	Cell division protein FtsZ
V1383841	50S ribosomal protein L10
V1819269	50S ribosomal protein L2
V1051284	Phosphocarrier protein HPr
V1687755	30S ribosomal protein S10
V1037518	50S ribosomal protein L7/L12
V1036256	Maltodextrin-binding protein
V1167759	Pyruvate kinase
V1312248	Trigger factor
V1348573	30S ribosomal protein S5
V1687756	preprotein translocase subunit SecY
V1168807	Translation initiation factor IF-1
V1440555	F-type ATPase subunit b
V1422497	hypothetical protein
V1301559	hypothetical protein
V1011667	hypothetical protein
V1195096	30S ribosomal protein S2
V1172284	hypothetical protein
V1162241	gram-positive signal peptide%2C YSIRK family
V1145315	DNA-directed RNA polymerase subunit alpha
V1806808	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1612596	hypothetical protein
V1704984	Phosphomethylpyrimidine synthase
V1019461	ATP synthase subunit beta
V1076325	hypothetical protein
V1585736	single-stranded DNA-binding protein
V1724122	30S ribosomal protein S15
V1526141	Phenylalanine--tRNA ligase beta subunit
V1391997	hypothetical protein
V1421861	hypothetical protein
V1383974	30S ribosomal protein S1
V1200931	50S ribosomal protein L16
V1020161	hypothetical protein
V1351200	trigger factor
V1705007	preprotein translocase subunit SecY
V1036261	Inner membrane ABC transporter permease protein YcjP
V1011230	Alkyl hydroperoxide reductase subunit C
V1009512	Putative thiamine biosynthesis protein
V1498789	hypothetical protein
V1007262	R3H domain protein
V1016652	F-ATPase gamma subunit
V1620435	hypothetical protein
V1395005	F-ATPase subunit 6
V1036379	1%2C4-alpha-glucan branching enzyme GlgB
V1267333	putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW precursor
